v_norm,a_0,w_s_eff,t_0
485,276,470,184
213,54,8,465
46,425,279,64
20,462,413,22
208,451,357,97
189,412,485,100
16,297,206,75
407,478,166,264
26,479,238,6
15,234,116,256
273,332,330,377
90,401,265,451
276,489,370,92
99,471,319,36
259,177,23,300
410,181,163,287
446,268,151,463
282,406,319,36
108,230,228,96
43,240,4,176
394,105,148,410
254,129,137,459
158,193,458,342
106,240,182,357
292,497,444,4
62,214,482,299
181,464,427,35
292,472,480,89
198,165,30,487
115,126,34,348
434,113,451,387
298,116,303,410
318,206,296,332
378,77,258,390
13,445,126,41
425,407,403,45
345,378,81,123
475,149,297,496
392,397,135,120
402,124,28,366
330,35,79,486
192,60,265,382
181,14,453,467
364,1,5,499
446,477,498,156
267,293,16,41
236,133,66,233
165,338,208,74
195,497,461,13
273,468,156,66
43,22,64,448
174,216,78,399
102,335,327,248
432,250,105,26
292,471,267,106
42,115,92,438
184,332,10,76
89,45,159,472
247,455,479,134
23,113,74,370
127,218,275,364
155,461,479,32
477,239,455,317
269,323,276,290
275,167,216,309
496,239,446,221
76,298,94,161
360,378,471,160
418,234,47,349
349,34,290,496
251,0,96,500
7,5,1,470
309,196,486,387
259,381,377,103
348,305,241,307
257,472,480,115
236,124,434,458
490,484,99,284
437,76,46,199
434,141,227,498
169,141,73,193
245,113,307,267
239,348,449,324
223,389,435,126
184,59,1,405
345,314,361,294
446,126,12,344
401,483,471,25
395,145,11,194
93,158,385,198
220,396,497,127
441,1,224,495
322,478,443,18
463,89,290,319
132,154,340,114
306,158,293,279
338,362,20,189
427,411,479,345
349,194,122,368
310,154,216,359
