subject_idx,true_v_norm,recovered_mean_v_norm,recovered_median_v_norm,recovered_std_v_norm,true_a_0,recovered_mean_a_0,recovered_median_a_0,recovered_std_a_0,true_w_s_eff,recovered_mean_w_s_eff,recovered_median_w_s_eff,recovered_std_w_s_eff,true_t_0,recovered_mean_t_0,recovered_median_t_0,recovered_std_t_0
0,1.9355,1.7957,1.8069,0.1347,1.0923,1.0123,1.0040,0.1661,1.4101,1.3674,1.3899,0.1020,0.0945,0.1718,0.1769,0.0503
1,1.3575,1.4481,1.4506,0.1981,1.8320,1.6372,1.6454,0.2058,1.3761,1.1795,1.1798,0.1388,0.2189,0.2316,0.2308,0.0874
2,1.4792,1.5421,1.5468,0.1963,1.2612,1.5679,1.5936,0.2044,0.7516,1.0451,1.0495,0.1408,0.4179,0.3233,0.3348,0.0956
3,1.6496,1.6112,1.6128,0.1719,1.6430,1.4913,1.4892,0.2259,0.7614,0.8717,0.8762,0.1478,0.1229,0.2116,0.2058,0.0805
4,0.3110,0.3287,0.3229,0.1014,1.3199,1.2558,1.2608,0.1734,0.4750,0.4953,0.4950,0.1068,0.2893,0.3293,0.3368,0.0872
5,0.6464,0.5770,0.5728,0.1476,0.5476,0.6465,0.6340,0.0895,0.5966,0.5655,0.5625,0.1388,0.1283,0.1185,0.1200,0.0217
6,1.8542,1.7736,1.7913,0.1231,1.8257,1.8004,1.8165,0.1250,1.2605,1.2218,1.2257,0.1322,0.4593,0.4042,0.4236,0.0737
7,1.6032,1.5038,1.5127,0.2268,1.7360,1.7297,1.7470,0.1746,0.4970,0.5283,0.5303,0.1148,0.2963,0.2324,0.2296,0.0964
8,0.1477,0.2167,0.2119,0.0630,1.5468,1.5793,1.5861,0.1813,1.1508,1.2622,1.2834,0.1389,0.4491,0.3380,0.3455,0.0913
9,1.8378,1.6981,1.7092,0.1678,1.3618,1.1235,1.1260,0.1873,1.0837,0.8157,0.8215,0.1813,0.4371,0.4427,0.4586,0.0540
10,1.5392,1.3449,1.3316,0.1865,1.8810,1.8287,1.8466,0.1110,0.2839,0.2731,0.2651,0.0516,0.4705,0.3179,0.3268,0.1072
11,1.7533,1.7764,1.7925,0.1356,0.9282,0.6864,0.6741,0.0958,0.9135,0.5337,0.5353,0.1257,0.0604,0.1098,0.1110,0.0222
12,1.9021,1.8096,1.8147,0.1158,0.9132,1.1902,1.1891,0.2061,1.0490,1.2528,1.2648,0.1529,0.4188,0.3659,0.3765,0.0768
13,1.3947,1.4962,1.4894,0.1704,1.2984,1.3248,1.3297,0.1994,0.8102,0.9632,0.9707,0.1653,0.4104,0.4109,0.4264,0.0662
14,0.1371,0.1716,0.1649,0.0481,1.0996,1.0188,1.0222,0.1379,0.8262,0.8768,0.8826,0.1450,0.1542,0.1357,0.1326,0.0397
15,1.1815,1.1418,1.1488,0.1698,1.9195,1.8652,1.8820,0.0928,1.1386,1.0277,1.0243,0.1403,0.4696,0.4285,0.4408,0.0557
16,0.1308,0.1922,0.1857,0.0562,1.8970,1.1497,1.1505,0.1659,1.4548,1.0794,1.0894,0.1589,0.0622,0.2759,0.2803,0.0622
17,1.5644,1.4599,1.4680,0.2082,0.9124,0.9587,0.9466,0.1812,1.1590,1.0952,1.0978,0.1788,0.3890,0.3759,0.3886,0.0622
18,1.5036,1.5423,1.5383,0.2010,0.8879,0.8306,0.8164,0.1520,0.7007,0.9020,0.8900,0.1694,0.1262,0.1218,0.1219,0.0324
19,0.3569,0.4498,0.4389,0.1288,0.9275,1.0742,1.0764,0.1864,0.5752,0.5905,0.5787,0.1571,0.2890,0.2188,0.2245,0.0673
20,1.7859,1.5152,1.5169,0.2135,1.3378,1.4184,1.4107,0.1960,0.2580,0.3034,0.2959,0.0601,0.2531,0.2981,0.3069,0.1032
21,0.8192,0.8198,0.8227,0.1576,1.4017,1.6594,1.6702,0.1757,0.2371,0.2555,0.2458,0.0410,0.4328,0.2926,0.3089,0.1142
22,1.8294,1.7733,1.7891,0.1424,1.5825,1.3238,1.3224,0.2022,0.6101,0.5387,0.5323,0.1470,0.2053,0.3371,0.3541,0.0999
23,1.9917,1.6316,1.6420,0.1898,0.7230,0.7666,0.7598,0.1233,1.0644,0.9482,0.9550,0.1814,0.1955,0.1976,0.2016,0.0353
24,0.3453,0.4945,0.4906,0.1353,1.3712,1.1782,1.1793,0.1933,0.3742,0.4623,0.4564,0.1121,0.2301,0.2931,0.3047,0.0857
25,0.4491,0.5956,0.5965,0.1338,1.4610,1.5819,1.5830,0.1957,0.8577,0.9115,0.9143,0.1512,0.3170,0.2744,0.2780,0.0988
26,1.6774,1.6210,1.6345,0.2076,1.1766,1.3149,1.3139,0.1860,0.4808,0.4458,0.4427,0.1114,0.4214,0.3096,0.3186,0.0962
27,0.1107,0.3497,0.3293,0.1347,0.7415,0.5971,0.5765,0.0746,1.2422,1.2381,1.2626,0.1716,0.0846,0.1334,0.1367,0.0205
28,0.3164,0.3710,0.3702,0.1116,1.4170,1.0559,1.0533,0.1732,0.6075,0.6689,0.6624,0.1482,0.1322,0.2884,0.2992,0.0639
29,0.9822,1.2272,1.2226,0.2133,1.4767,1.0855,1.0832,0.1947,0.6559,0.4589,0.4574,0.1195,0.2875,0.3120,0.3265,0.0842
