subject_idx,true_v_norm,recovered_mean_v_norm,recovered_median_v_norm,recovered_std_v_norm,true_a_0,recovered_mean_a_0,recovered_median_a_0,recovered_std_a_0,true_w_s_eff,recovered_mean_w_s_eff,recovered_median_w_s_eff,recovered_std_w_s_eff,true_t_0,recovered_mean_t_0,recovered_median_t_0,recovered_std_t_0
0,1.9736,,,,0.8477,,,,0.3814,,,,0.2819,,,
1,0.2961,0.3880,0.3735,0.1019,1.1186,0.9656,0.9683,0.1019,0.4690,0.4135,0.4105,0.0733,0.0618,0.2310,0.1991,0.1138
2,0.6112,0.6723,0.6497,0.0585,1.0176,0.8999,0.8741,0.0860,0.5652,0.5545,0.5545,0.0655,0.2249,0.2913,0.2935,0.1025
3,0.1714,0.1775,0.1459,0.0668,1.1655,1.1991,1.1914,0.1030,0.3641,0.4511,0.4153,0.0637,0.3058,0.2855,0.3328,0.1251
4,1.5845,1.2636,1.2132,0.1375,1.1762,1.2552,1.2257,0.1070,0.3478,0.3610,0.3539,0.0539,0.3117,0.2720,0.2405,0.1248
5,1.5341,1.4156,1.3704,0.0899,0.8622,0.9053,0.9200,0.0852,1.0477,0.8459,0.8210,0.1181,0.4330,0.2524,0.2638,0.0962
6,1.1768,0.9757,0.9439,0.0942,0.6263,0.7469,0.7646,0.0803,0.8897,0.6855,0.6640,0.1009,0.4583,0.2505,0.2124,0.0947
7,0.4417,0.4319,0.4170,0.0405,0.8182,0.8111,0.8226,0.0654,0.6475,0.7240,0.7310,0.1113,0.1560,0.2826,0.2726,0.1091
8,1.6286,,,,1.5920,,,,1.0722,,,,0.2501,,,
9,1.3865,1.3521,1.3792,0.1006,1.1598,1.2648,1.2871,0.0918,0.8338,0.8639,0.8656,0.0882,0.3867,0.3669,0.3553,0.1081
