subject_idx,true_v_norm,recovered_mean_v_norm,recovered_median_v_norm,recovered_std_v_norm,true_a_0,recovered_mean_a_0,recovered_median_a_0,recovered_std_a_0,true_w_s_eff,recovered_mean_w_s_eff,recovered_median_w_s_eff,recovered_std_w_s_eff,true_t_0,recovered_mean_t_0,recovered_median_t_0,recovered_std_t_0
36,0.7501,0.7658,0.7675,0.0509,0.7696,0.6932,0.6933,0.0421,1.4430,1.3368,1.3375,0.0687,0.2452,0.2458,0.2459,0.0098
37,0.9092,0.8558,0.8567,0.0482,1.3392,1.3966,1.3963,0.0729,0.7151,0.7029,0.7036,0.0419,0.2360,0.2515,0.2521,0.0407
38,1.6781,1.6703,1.6698,0.0886,1.7563,1.7606,1.7594,0.0956,0.6731,0.6928,0.6949,0.0460,0.3832,0.4276,0.4335,0.0439
39,1.6065,1.6917,1.6955,0.0913,1.7464,1.7661,1.7699,0.0946,0.3814,0.3975,0.3990,0.0396,0.3086,0.2155,0.2140,0.0632
40,0.1666,0.2065,0.2059,0.0419,0.5897,0.5801,0.5790,0.0363,0.4315,0.4125,0.4094,0.0549,0.3176,0.3294,0.3294,0.0094
41,0.7557,0.7258,0.7274,0.0449,1.0594,1.0010,0.9992,0.0531,0.8253,0.7806,0.7818,0.0497,0.0683,0.0782,0.0775,0.0151
42,0.9180,0.8962,0.8960,0.0499,0.7494,0.7774,0.7767,0.0419,1.0361,1.0446,1.0468,0.0601,0.4275,0.4352,0.4351,0.0139
43,1.4889,1.5088,1.5104,0.0730,0.5431,0.5664,0.5653,0.0291,1.2670,1.2243,1.2216,0.0665,0.4143,0.4159,0.4159,0.0085
44,0.2479,0.2808,0.2801,0.0353,1.8401,1.8347,1.8380,0.0794,0.2980,0.2753,0.2757,0.0313,0.3365,0.3751,0.3782,0.0553
45,0.2577,0.2289,0.2278,0.0390,0.6261,0.5811,0.5779,0.0382,0.6412,0.6496,0.6498,0.0649,0.4175,0.4422,0.4428,0.0094
46,0.4912,0.4797,0.4792,0.0400,0.9189,0.9160,0.9140,0.0538,0.7888,0.7902,0.7898,0.0569,0.2277,0.2264,0.2267,0.0186
47,0.4080,0.3993,0.4014,0.0444,0.5398,0.5841,0.5827,0.0378,0.8219,0.8537,0.8550,0.0725,0.1724,0.1633,0.1635,0.0088
48,0.8043,0.7371,0.7394,0.0455,1.0166,0.9457,0.9462,0.0530,0.8937,0.7877,0.7867,0.0542,0.1426,0.1756,0.1759,0.0195
49,0.5281,0.5451,0.5450,0.0369,1.5957,1.5025,1.5016,0.0672,0.2640,0.2915,0.2919,0.0282,0.0995,0.1213,0.1208,0.0342
