subject_idx,true_v_norm,recovered_mean_v_norm,recovered_median_v_norm,recovered_std_v_norm,true_a_0,recovered_mean_a_0,recovered_median_a_0,recovered_std_a_0,true_w_s_eff,recovered_mean_w_s_eff,recovered_median_w_s_eff,recovered_std_w_s_eff,true_t_0,recovered_mean_t_0,recovered_median_t_0,recovered_std_t_0
0,1.6153,,,,1.1162,,,,0.2798,,,,0.0921,,,
1,0.4944,0.3892,0.3905,0.0989,1.6625,1.7402,1.7574,0.1520,0.6608,0.5767,0.5708,0.1092,0.2813,0.2138,0.2137,0.0798
2,0.4517,0.7055,0.6981,0.1556,1.6484,1.1372,1.1277,0.2026,0.7407,0.8098,0.8114,0.1662,0.1497,0.2682,0.2810,0.0779
3,1.1993,1.1139,1.1064,0.1982,0.7957,0.7130,0.7067,0.1087,1.2329,1.1585,1.1638,0.1726,0.1107,0.0912,0.0910,0.0195
4,0.7111,0.7932,0.7939,0.1567,1.7449,1.5765,1.5852,0.2045,1.2002,1.2382,1.2497,0.1324,0.2533,0.1958,0.1916,0.0717
5,1.3222,1.3573,1.3619,0.2122,1.2766,1.3238,1.3038,0.2417,1.0159,0.8742,0.8862,0.1564,0.3412,0.2987,0.3154,0.0950
6,1.1398,,,,1.5927,,,,0.5103,,,,0.1593,,,
7,0.2755,0.2114,0.1996,0.0732,0.8454,0.7148,0.7163,0.1123,0.7646,0.6486,0.6576,0.1465,0.0564,0.1565,0.1583,0.0296
8,0.7758,0.8106,0.8072,0.1658,1.9498,1.7271,1.7442,0.1563,0.5603,0.5633,0.5615,0.1019,0.1229,0.2189,0.2144,0.0759
9,1.9828,1.7895,1.8232,0.1520,0.8347,0.8652,0.8574,0.1486,1.1247,0.9933,0.9985,0.1853,0.3738,0.3548,0.3622,0.0514
10,0.3108,0.3423,0.3382,0.1086,1.1502,1.1791,1.1674,0.1683,1.1752,1.2313,1.2454,0.1580,0.4136,0.4369,0.4456,0.0475
11,0.7039,0.8933,0.8911,0.1934,0.9067,0.7151,0.6975,0.1204,1.0016,0.9580,0.9574,0.2018,0.4109,0.4261,0.4337,0.0356
12,1.5680,,,,1.2168,,,,0.4928,,,,0.1328,,,
13,0.5800,0.7487,0.7393,0.1451,1.7969,1.7819,1.7923,0.1266,0.3213,0.3462,0.3386,0.0703,0.4695,0.3941,0.4012,0.0690
14,1.2223,,,,1.9075,,,,1.4689,,,,0.2062,,,
15,1.8328,,,,1.4849,,,,1.4493,,,,0.1857,,,
16,0.5284,0.3112,0.3095,0.1024,0.5767,0.6546,0.6480,0.0910,1.3455,1.3107,1.3391,0.1336,0.4799,0.4671,0.4704,0.0225
17,1.7976,,,,1.7600,,,,0.7025,,,,0.4182,,,
18,1.1879,1.2193,1.2076,0.1970,1.0647,1.1069,1.1041,0.1943,1.1261,0.9986,1.0010,0.1669,0.2435,0.2378,0.2463,0.0675
19,0.3460,0.3445,0.3339,0.0951,1.5689,1.5815,1.5819,0.1742,0.4024,0.3722,0.3691,0.0769,0.2412,0.1745,0.1696,0.0710
20,1.8655,,,,1.7021,,,,0.2400,,,,0.0601,,,
21,1.0476,,,,1.4955,,,,1.1990,,,,0.4862,,,
22,0.4632,0.7121,0.7122,0.1647,1.5426,1.4250,1.4155,0.2071,0.6959,0.7816,0.7839,0.1450,0.1820,0.2401,0.2393,0.0837
23,0.5557,0.8898,0.8816,0.1607,1.9056,1.6647,1.6741,0.1731,0.7499,1.0092,1.0165,0.1437,0.2986,0.3954,0.4137,0.0785
24,1.2634,,,,1.8499,,,,0.8581,,,,0.2022,,,
25,1.7347,,,,1.9038,,,,1.2547,,,,0.4776,,,
26,0.6873,0.9534,0.9376,0.1840,1.3391,1.2012,1.1858,0.2026,0.4200,0.3790,0.3748,0.0793,0.0629,0.1062,0.1037,0.0313
27,1.1661,1.0709,1.0691,0.1859,0.8533,0.9215,0.9140,0.1724,1.1957,1.2643,1.2835,0.1456,0.4148,0.4242,0.4352,0.0495
28,1.3147,1.2518,1.2448,0.2399,0.5381,0.6510,0.6339,0.0975,0.8146,1.1907,1.2122,0.1651,0.4711,0.4486,0.4533,0.0291
29,1.9355,,,,1.3401,,,,0.7027,,,,0.1399,,,
