subject_idx,true_v_norm,recovered_mean_v_norm,recovered_median_v_norm,recovered_std_v_norm,true_a_0,recovered_mean_a_0,recovered_median_a_0,recovered_std_a_0,true_w_s_eff,recovered_mean_w_s_eff,recovered_median_w_s_eff,recovered_std_w_s_eff,true_t_0,recovered_mean_t_0,recovered_median_t_0,recovered_std_t_0
0,0.4173,0.4746,0.4744,0.0395,1.3475,1.3691,1.3716,0.0750,0.7771,0.8422,0.8433,0.0485,0.3826,0.4022,0.4042,0.0346
1,1.9437,1.8285,1.8288,0.0841,0.6838,0.6558,0.6559,0.0476,1.2438,1.1870,1.1878,0.0713,0.2528,0.2562,0.2567,0.0107
2,0.6331,0.6390,0.6392,0.0473,1.9677,1.8500,1.8544,0.0843,0.5885,0.5969,0.5994,0.0410,0.1279,0.1311,0.1282,0.0406
3,0.3514,0.3909,0.3916,0.0365,1.1109,1.0794,1.0775,0.0580,0.7661,0.7930,0.7926,0.0534,0.3002,0.2942,0.2951,0.0255
4,0.3098,0.2956,0.2963,0.0382,1.1210,1.0409,1.0413,0.0650,1.0799,1.0203,1.0207,0.0644,0.3587,0.3741,0.3759,0.0217
5,1.9131,1.8222,1.8244,0.0808,1.7465,1.7144,1.7148,0.1090,0.9620,0.8691,0.8692,0.0553,0.2361,0.2539,0.2549,0.0615
6,1.7703,1.6592,1.6540,0.0913,0.8808,0.8613,0.8595,0.0469,0.3013,0.2438,0.2387,0.0280,0.0680,0.0659,0.0641,0.0114
7,1.2884,1.2928,1.2946,0.0648,1.3725,1.3471,1.3461,0.0774,0.9743,0.9514,0.9520,0.0575,0.2247,0.2177,0.2215,0.0386
8,0.6724,0.6197,0.6210,0.0409,0.9805,1.0459,1.0451,0.0555,0.7514,0.7344,0.7342,0.0522,0.1429,0.1048,0.1052,0.0186
9,1.8541,1.7971,1.7994,0.0845,1.7652,1.6212,1.6213,0.0993,0.7038,0.5950,0.5956,0.0470,0.2770,0.3696,0.3750,0.0595
10,1.3363,1.2921,1.2935,0.0683,1.5076,1.5864,1.5895,0.0886,1.0059,1.0689,1.0715,0.0577,0.0662,0.1043,0.1022,0.0297
11,1.5411,1.6722,1.6721,0.0831,1.2225,1.1679,1.1656,0.0721,0.7568,0.7717,0.7698,0.0545,0.3759,0.3900,0.3936,0.0310
12,0.4100,0.3515,0.3497,0.0377,1.5332,1.6242,1.6240,0.0918,1.1264,1.1868,1.1909,0.0633,0.4957,0.4580,0.4628,0.0276
13,0.2386,0.2173,0.2174,0.0377,1.1984,1.2090,1.2105,0.0704,1.2461,1.2400,1.2416,0.0800,0.4911,0.4821,0.4850,0.0144
14,0.6725,0.6662,0.6666,0.0429,1.7524,1.7387,1.7412,0.0918,1.2469,1.2949,1.2960,0.0618,0.1294,0.1236,0.1216,0.0383
15,0.2893,0.2486,0.2484,0.0341,1.1805,1.2977,1.3001,0.0708,0.8257,0.8667,0.8675,0.0571,0.3903,0.3658,0.3672,0.0323
16,1.2043,1.2674,1.2699,0.0650,1.6916,1.5946,1.5973,0.0947,0.8510,0.8844,0.8868,0.0499,0.1557,0.2093,0.2116,0.0540
17,1.8080,1.8542,1.8596,0.0826,1.9002,1.7767,1.7817,0.1105,0.5489,0.5920,0.5933,0.0458,0.1922,0.2908,0.2946,0.0608
18,0.2437,0.2941,0.2942,0.0402,0.8768,0.8330,0.8294,0.0580,0.9695,0.9496,0.9502,0.0711,0.4965,0.4802,0.4821,0.0128
19,0.1381,0.1502,0.1478,0.0276,1.4499,1.5565,1.5549,0.0822,0.5546,0.6294,0.6292,0.0460,0.4961,0.4086,0.4115,0.0424
20,1.6374,1.5993,1.5987,0.0774,1.3168,1.4456,1.4421,0.0873,0.7784,0.7975,0.7980,0.0487,0.3495,0.2646,0.2658,0.0492
21,1.8190,1.8332,1.8364,0.0825,1.3221,1.2715,1.2706,0.0788,0.4772,0.4096,0.4102,0.0414,0.1114,0.1760,0.1765,0.0398
22,0.3182,0.2460,0.2459,0.0382,0.7078,0.7499,0.7509,0.0500,0.4119,0.4078,0.4066,0.0473,0.4155,0.4154,0.4163,0.0124
23,1.6281,1.5835,1.5822,0.0843,0.6361,0.6656,0.6658,0.0453,0.9860,0.9571,0.9567,0.0638,0.1684,0.1496,0.1504,0.0108
24,0.2348,0.2097,0.2081,0.0357,0.8746,0.9059,0.9055,0.0552,0.9914,0.9883,0.9917,0.0777,0.1167,0.1036,0.1046,0.0151
25,0.4431,0.4460,0.4443,0.0429,0.6519,0.6705,0.6705,0.0426,0.2931,0.2667,0.2638,0.0350,0.4042,0.3970,0.3974,0.0103
26,1.3277,1.2709,1.2710,0.0702,1.6704,1.7025,1.6982,0.0905,0.7531,0.7477,0.7461,0.0459,0.4994,0.4489,0.4555,0.0372
27,0.8081,0.8717,0.8725,0.0517,1.9442,1.8654,1.8728,0.0802,0.5945,0.5885,0.5883,0.0388,0.2779,0.3998,0.4033,0.0503
28,0.7690,0.7637,0.7650,0.0469,1.3595,1.4379,1.4384,0.0711,0.6379,0.6895,0.6893,0.0442,0.2899,0.2294,0.2292,0.0434
29,0.7516,0.6674,0.6669,0.0415,1.1397,1.2964,1.2992,0.0714,1.0778,1.1366,1.1374,0.0628,0.1337,0.1044,0.1041,0.0240
30,0.5338,0.5766,0.5759,0.0425,1.7939,1.8184,1.8223,0.0887,1.0964,1.0842,1.0850,0.0520,0.1571,0.1735,0.1713,0.0506
31,0.3206,0.2784,0.2784,0.0386,0.8431,0.9057,0.9064,0.0558,0.5467,0.6093,0.6092,0.0520,0.4165,0.4047,0.4053,0.0179
32,0.7218,0.7042,0.7039,0.0466,1.8032,1.8217,1.8256,0.0883,1.0338,1.0018,1.0028,0.0475,0.4540,0.4411,0.4465,0.0386
33,1.0131,0.9795,0.9784,0.0537,1.1843,1.1422,1.1415,0.0595,0.7399,0.7327,0.7336,0.0489,0.3464,0.3448,0.3469,0.0302
34,0.8749,0.9686,0.9697,0.0548,1.4169,1.3728,1.3737,0.0763,1.2617,1.2410,1.2429,0.0598,0.2255,0.2544,0.2560,0.0353
35,1.2007,1.1504,1.1500,0.0691,0.5651,0.6204,0.6208,0.0392,0.7378,0.7068,0.7083,0.0569,0.1590,0.1479,0.1484,0.0093
36,1.8076,1.7795,1.7729,0.0839,0.7613,0.8253,0.8246,0.0539,0.2433,0.3668,0.3662,0.0419,0.3691,0.3616,0.3630,0.0187
37,0.6195,0.6371,0.6373,0.0428,0.8354,0.9891,0.9890,0.0570,0.6395,0.7933,0.7930,0.0504,0.4431,0.4070,0.4078,0.0202
38,1.3369,1.3648,1.3605,0.0699,0.8805,0.9197,0.9198,0.0490,0.4163,0.4933,0.4935,0.0415,0.0551,0.0630,0.0612,0.0095
39,0.3372,0.3355,0.3373,0.0369,0.9118,1.0416,1.0380,0.0594,0.8699,1.0146,1.0154,0.0688,0.1614,0.1518,0.1521,0.0219
40,0.5574,0.5528,0.5526,0.0457,0.5363,0.6369,0.6367,0.0497,1.0077,1.1443,1.1417,0.0900,0.0862,0.0775,0.0776,0.0096
41,0.7019,0.7112,0.7101,0.0441,1.3829,1.2970,1.2978,0.0695,1.2397,1.2207,1.2253,0.0651,0.1299,0.1244,0.1244,0.0268
42,1.7994,1.9118,1.9213,0.0616,1.4474,1.6332,1.6311,0.0908,0.3081,0.3951,0.3952,0.0412,0.4537,0.4317,0.4378,0.0428
43,1.5430,1.5072,1.5051,0.0713,0.9273,1.0024,1.0011,0.0616,1.1666,1.2319,1.2324,0.0632,0.2584,0.2401,0.2410,0.0207
44,1.8482,1.9040,1.9124,0.0662,1.3706,1.3511,1.3492,0.0862,0.9077,0.9300,0.9317,0.0610,0.0542,0.0841,0.0806,0.0221
45,1.0396,0.9579,0.9591,0.0582,1.8216,1.8148,1.8219,0.0931,0.9063,0.8977,0.8998,0.0487,0.3004,0.2608,0.2634,0.0606
46,0.1025,0.1361,0.1337,0.0236,1.1637,1.0816,1.0803,0.0533,0.4070,0.3893,0.3904,0.0425,0.2164,0.2393,0.2411,0.0251
47,0.5124,0.4597,0.4594,0.0409,0.5733,0.6584,0.6568,0.0468,0.4840,0.4846,0.4852,0.0511,0.1631,0.1468,0.1471,0.0109
48,1.0791,0.9992,0.9986,0.0580,1.8723,1.8528,1.8632,0.0921,1.2926,1.2012,1.2029,0.0573,0.2575,0.2534,0.2549,0.0578
49,0.7951,0.8124,0.8117,0.0502,1.6497,1.5908,1.5884,0.0848,0.8774,0.9004,0.8998,0.0503,0.2214,0.2634,0.2654,0.0535
