w_n_eff,a_nes,t_nes
0.18763779,0.9016862,0.23725897
0.44198126,0.8012851,0.30173692
0.26341853,1.1330603,0.24255839
0.14804533,1.0260515,0.26145396
0.51015365,0.8086628,0.24785924
0.25654453,0.7101669,0.31408557
0.41716987,1.207295,0.28804594
0.6214315,1.2705048,0.18571457
0.5883376,0.891334,0.29200023
0.31725332,1.0502565,0.25225165
0.3396801,1.1298853,0.26077205
0.7587805,1.0247622,0.22010633
0.15436365,0.95540535,0.26169965
0.17650913,0.8087504,0.29529423
0.2947761,1.0830508,0.25578225
0.55569327,0.8402073,0.28832322
0.6210884,0.58848494,0.29614764
0.4775161,1.0347615,0.20541756
0.21872877,1.0164138,0.28444955
0.34303632,1.1442841,0.22879043
0.22820601,0.833245,0.29583284
0.10209752,1.0561306,0.26611647
0.43426773,1.0092034,0.276532
0.19061805,1.0430291,0.23801693
0.11466802,1.2333257,0.26070383
0.6005631,1.0070356,0.26345286
0.667686,1.1896188,0.310612
0.8495027,1.103771,0.20937242
0.657265,1.2153459,0.16237968
0.3463656,0.9121333,0.23012468
0.6181787,0.83631325,0.24269105
0.6509912,0.6406762,0.33629647
0.9069255,0.8717663,0.33275658
0.4616618,1.0581365,0.23084302
0.5478924,0.59768325,0.34364215
0.44062412,0.9120822,0.26104042
0.8087526,1.2115171,0.17529094
0.49940112,0.83330065,0.25885698
0.5137134,0.68834376,0.2817642
0.87140447,0.8218829,0.36119604
0.60057634,1.0487741,0.24410045
0.21458006,0.6786149,0.28201306
0.27658227,1.0228364,0.28824562
0.42604208,0.8135344,0.26307923
0.22321436,1.0357809,0.24633636
0.28691918,0.8379937,0.26994178
0.9106245,1.2894831,0.18852435
0.5610553,0.98420846,0.28688046
0.16215171,0.99996203,0.25309345
0.11066004,0.6970884,0.30613458
0.6200721,0.85261416,0.22446784
0.75906277,1.0803535,0.1926077
0.35972518,1.2680119,0.24035099
0.8789627,0.5405801,0.34855837
0.27327862,1.0386208,0.23277543
0.20826863,0.99587375,0.29384178
0.32423362,0.6815811,0.24811815
0.44167647,0.73444337,0.32764208
0.46802557,0.873165,0.21026757
0.5604646,1.1479299,0.28202677
0.639031,0.9025335,0.25866315
1.0469213,0.7409837,0.29795858
0.49692065,0.74333274,0.3035198
0.7840312,1.0168116,0.1695723
0.5284697,0.9139354,0.20379601
0.44229344,1.188019,0.22941533
0.3648504,0.8662221,0.22785749
0.16851984,1.0008225,0.28635767
0.4588942,0.7347544,0.23263872
0.7584559,1.2942394,0.2153183
0.15043747,0.8697597,0.27545542
0.220913,0.6917997,0.304748
0.2418494,1.0181717,0.26818648
0.5816994,1.0121244,0.2947411
0.10031841,0.9779623,0.23811783
0.13057809,0.7666474,0.293391
0.20056872,1.2505858,0.20493527
0.31543246,1.1082734,0.25753608
0.5988875,0.8311069,0.20650138
0.43245807,0.8221039,0.31418148
0.21381196,0.95636165,0.2698569
0.108142845,1.3939893,0.23860633
0.736193,0.701391,0.26436874
0.73601735,0.85562843,0.3049679
0.37117395,1.0017779,0.26378927
0.3228806,0.9378808,0.24071836
0.25859225,1.0251309,0.28129938
0.32890934,1.0748463,0.27317008
0.6214864,1.1404521,0.256058
0.54368806,1.1449404,0.14595002
0.77362585,1.0794182,0.17626634
0.61283976,1.0703075,0.26308396
0.2633834,0.8199672,0.27776343
0.8536293,0.7176375,0.24777986
0.6408825,0.78445536,0.3351166
0.2653706,0.91895694,0.22777253
0.49878907,0.64767814,0.29066053
0.3135551,0.9334362,0.22992736
0.403504,0.68057615,0.31102207
0.3044774,0.9297916,0.23163086
