subject_id,mean_v_norm,median_v_norm,std_v_norm,mean_a_0,median_a_0,std_a_0,mean_w_s_eff,median_w_s_eff,std_w_s_eff,mean_t_0,median_t_0,std_t_0,error,posterior_samples_shape,framing_effect_ntc_obs,framing_effect_tc_obs,framing_effect_avg_obs
166,1.0723,1.0852,0.5362,1.4552,1.4457,0.5794,0.8484,0.8439,0.3780,0.3691,0.3700,0.1877,,"(1000, 4)",0.4444,0.7435,0.5940
167,1.0249,1.0027,0.5466,1.4963,1.5040,0.5712,0.8622,0.8570,0.3711,0.3756,0.3758,0.1887,,"(1000, 4)",0.0833,0.1976,0.1405
168,1.0562,1.0583,0.5361,1.4711,1.4719,0.5771,0.8427,0.8442,0.3721,0.3805,0.3815,0.1888,,"(1000, 4)",0.1111,-0.0613,0.0249
169,1.0774,1.1026,0.5651,1.4820,1.4470,0.5888,0.8546,0.8636,0.3749,0.3793,0.3804,0.1882,,"(1000, 4)",0.1111,0.3833,0.2472
170,1.0484,1.0774,0.5394,1.4822,1.4753,0.5645,0.8525,0.8567,0.3745,0.3774,0.3789,0.1848,,"(1000, 4)",-0.0833,0.2535,0.0851
171,1.0388,1.0534,0.5556,1.4821,1.4592,0.5718,0.8433,0.8263,0.3771,0.3699,0.3663,0.1933,,"(1000, 4)",0.1724,0.1907,0.1816
173,1.0399,1.0552,0.5431,1.5016,1.4734,0.5775,0.8494,0.8467,0.3810,0.3772,0.3842,0.1857,,"(1000, 4)",-0.0139,0.1923,0.0892
174,1.0650,1.0631,0.5461,1.4982,1.5030,0.5715,0.8601,0.8619,0.3733,0.3696,0.3703,0.1888,,"(1000, 4)",0.0000,0.0705,0.0352
175,1.0360,1.0471,0.5383,1.5092,1.5236,0.5842,0.8430,0.8296,0.3732,0.3844,0.3876,0.1846,,"(1000, 4)",0.0694,0.0243,0.0469
178,1.0733,1.0666,0.5429,1.4661,1.4484,0.5801,0.8532,0.8462,0.3785,0.3727,0.3727,0.1888,,"(1000, 4)",0.0972,0.4445,0.2709
