w_n_eff,a_nes,t_nes
0.9622132,1.2584845,0.22020753
0.91359115,1.2941496,0.20316674
1.1225935,0.9484546,0.40174404
1.145362,0.8998786,0.42137656
1.3142368,1.0043155,0.36548755
1.1622039,1.0560936,0.386571
0.90143496,1.1606401,0.3497346
1.0278428,1.0157791,0.3577086
0.7058807,1.2506126,0.29271054
1.0545404,1.1212099,0.31287342
0.9960138,1.2084818,0.30029342
1.0173974,1.2013696,0.37353513
1.1612284,1.0049138,0.41659713
0.9464524,1.1093096,0.39370403
1.1195868,1.0806079,0.32458094
1.1153629,1.1642305,0.2777339
0.7687151,1.0813706,0.3548104
1.0609381,1.2594327,0.27751338
1.0269948,1.1239395,0.30330655
1.0321178,1.1135159,0.47983962
1.2963129,1.121984,0.3128208
1.0024705,0.9645554,0.36652392
1.0974128,1.0236832,0.3903466
1.0325687,1.0323601,0.35986772
0.94271743,1.1000546,0.3708349
1.1013736,0.983058,0.3796437
1.0704163,1.1623613,0.2907799
0.82543147,1.378246,0.21687777
1.1756895,0.90111285,0.3660162
1.0179497,1.2579033,0.26775727
1.0433773,0.94556665,0.37792215
0.7579975,1.417297,0.27590126
1.1424214,0.9541597,0.3787088
1.5014514,0.83458865,0.32638463
1.0232849,1.1787527,0.3022642
0.7808138,1.2905318,0.30236214
1.1756253,0.99217886,0.40087283
1.0265821,1.2165458,0.24558197
1.1881049,1.0708594,0.3816846
1.2099384,0.7465668,0.36377198
1.3210852,1.0118183,0.37376115
1.0871176,1.2369963,0.30425087
0.8261353,1.3298997,0.20336355
0.83562136,1.104014,0.3160724
0.7128043,1.4654566,0.2513491
1.0715485,1.1209862,0.3793159
1.1878716,1.1191974,0.398248
1.1721188,1.0479517,0.34060264
1.0582224,1.198045,0.28203973
1.0485983,1.142185,0.35015854
1.0891389,1.1114749,0.36930722
1.2750163,1.0183705,0.36105785
1.0285635,1.1630635,0.36912656
1.0189059,1.2144797,0.2810827
1.2521555,1.0315263,0.38404143
0.82776946,1.1852945,0.310135
0.9565177,1.1656129,0.40339506
0.96211183,1.2375131,0.36530828
1.0649999,1.2856146,0.2902642
1.0737486,1.0733602,0.2946762
1.0452384,1.2720172,0.22881378
1.0842562,0.911718,0.38966307
1.3019892,0.87728024,0.42450756
1.1137493,1.0584031,0.36216018
1.2479279,0.9884307,0.3781835
0.7488131,1.0922896,0.37841338
1.0933837,1.0585214,0.34096143
1.096156,1.1651777,0.3122736
1.1726147,1.0335734,0.39749026
1.1540059,0.6930856,0.3878839
0.9835606,1.256393,0.2350392
1.077326,1.1122366,0.32716298
1.2347313,1.1359153,0.2942921
1.123679,0.98934317,0.40927127
0.79875004,1.143251,0.37652674
0.948654,0.9539511,0.38650706
1.2649734,1.0208381,0.3532097
1.2358218,1.0826875,0.33545786
0.93519026,1.09601,0.28275383
0.97193074,1.1617478,0.3354866
0.8907215,1.2397134,0.3167564
0.84512216,1.3329148,0.22317857
1.2576556,0.93353266,0.33341777
1.0470096,1.0195379,0.37010884
1.2757573,1.1035427,0.30651367
1.2230175,1.0663562,0.38521698
1.0758296,0.8469468,0.35987124
1.1752341,0.94288224,0.3740886
0.9349226,1.1835731,0.29321468
1.1139702,1.0187155,0.40127704
1.0350373,1.3751541,0.25433365
0.98528135,1.3772885,0.23025058
1.0655174,1.1929407,0.2935713
1.1841496,0.9618176,0.38266355
0.7745015,1.3311068,0.318732
0.8983684,1.2313453,0.36363727
0.85717005,1.2846981,0.29772478
1.2467084,1.1237184,0.34071016
0.71445984,1.1539028,0.26295868
1.23714,0.87692934,0.43106318
