subj_idx,rt,response,condition,original_choice,is_correct
0,0.21999999999999997,0,L1_00,1,False
0,2.5699999999999914,1,L0_00,1,True
0,10.0,1,L1_00,0,True
0,0.6900000000000003,1,L0_25,1,True
0,8.879999999999857,1,L0_25,1,True
0,10.0,1,L1_00,0,True
0,10.0,1,L1_00,0,True
0,10.0,1,L0_75,0,True
0,0.8200000000000004,1,L0_00,1,True
0,10.0,1,L0_50,0,True
0,0.8700000000000004,1,L0_00,1,True
0,10.0,1,L0_50,0,True
0,0.43000000000000016,0,L0_75,1,False
0,8.309999999999869,0,L0_50,1,False
0,0.13,0,L0_75,1,False
0,0.8000000000000004,0,L1_00,1,False
0,0.3700000000000001,0,L0_75,1,False
0,0.9300000000000005,0,L0_50,1,False
0,10.0,1,L1_00,0,True
0,0.13,0,L1_00,1,False
0,1.1500000000000008,1,L0_25,1,True
0,0.13,0,L1_00,1,False
0,10.0,1,L0_50,0,True
0,0.41000000000000014,1,L0_25,1,True
0,0.33000000000000007,1,L0_25,1,True
0,0.17,0,L1_00,1,False
0,1.2200000000000009,1,L0_00,1,True
0,10.0,1,L1_00,0,True
0,4.4899999999999505,0,L0_50,1,False
0,10.0,1,L0_75,0,True
0,10.0,0,L0_25,0,False
0,10.0,1,L0_75,0,True
0,0.6000000000000002,0,L0_75,1,False
0,0.43000000000000016,0,L0_50,1,False
0,0.22999999999999998,0,L1_00,1,False
0,10.0,1,L0_75,0,True
0,0.7900000000000004,0,L0_75,1,False
0,10.0,1,L1_00,0,True
0,0.5800000000000003,0,L0_75,1,False
0,10.0,1,L1_00,0,True
0,1.5700000000000012,0,L0_75,1,False
0,3.2199999999999775,0,L0_50,1,False
0,4.869999999999942,0,L0_75,1,False
0,4.799999999999944,0,L0_50,1,False
0,3.489999999999972,1,L0_00,1,True
0,10.0,1,L1_00,0,True
0,0.19,0,L0_50,1,False
0,2.1999999999999993,0,L0_50,1,False
0,0.19,0,L1_00,1,False
0,10.0,1,L0_75,0,True
0,0.30000000000000004,0,L0_75,1,False
0,10.0,1,L1_00,0,True
0,10.0,1,L1_00,0,True
0,10.0,1,L1_00,0,True
0,10.0,1,L0_75,0,True
0,0.5300000000000002,0,L0_50,1,False
0,2.399999999999995,1,L0_00,1,True
0,0.31000000000000005,1,L0_00,1,True
0,0.43000000000000016,1,L0_25,1,True
0,10.0,1,L0_50,0,True
0,0.3600000000000001,0,L1_00,1,False
0,1.9800000000000015,0,L0_50,1,False
0,0.42000000000000015,0,L0_75,1,False
0,0.44000000000000017,0,L0_75,1,False
0,10.0,1,L0_50,0,True
0,0.5800000000000003,1,L0_25,1,True
0,1.7100000000000013,0,L0_50,1,False
0,0.19,0,L1_00,1,False
0,10.0,1,L1_00,0,True
0,8.209999999999871,0,L0_50,1,False
0,10.0,1,L0_75,0,True
0,3.909999999999963,0,L0_50,1,False
0,10.0,1,L0_50,0,True
0,10.0,1,L0_75,0,True
0,10.0,1,L1_00,0,True
0,0.9900000000000005,0,L0_50,1,False
0,10.0,0,L0_25,0,False
0,0.21,0,L1_00,1,False
0,10.0,1,L0_75,0,True
0,0.29000000000000004,0,L1_00,1,False
0,1.9300000000000015,0,L0_75,1,False
0,1.0500000000000007,1,L0_00,1,True
0,10.0,1,L1_00,0,True
0,10.0,1,L1_00,0,True
0,10.0,1,L0_75,0,True
0,0.5700000000000003,0,L1_00,1,False
0,10.0,0,L0_25,0,False
0,0.9900000000000005,0,L0_50,1,False
0,10.0,1,L0_50,0,True
0,10.0,1,L0_75,0,True
0,0.16,0,L1_00,1,False
0,10.0,1,L1_00,0,True
0,10.0,1,L0_75,0,True
0,10.0,1,L0_75,0,True
0,10.0,1,L0_75,0,True
0,0.15000000000000002,0,L1_00,1,False
0,10.0,0,L0_25,0,False
0,10.0,1,L0_75,0,True
0,0.12000000000000001,0,L1_00,1,False
0,0.3600000000000001,0,L1_00,1,False
0,10.0,1,L1_00,0,True
0,10.0,1,L1_00,0,True
0,2.9799999999999827,1,L0_00,1,True
0,0.5600000000000003,1,L0_25,1,True
0,0.9000000000000005,1,L0_25,1,True
0,10.0,1,L0_75,0,True
0,10.0,1,L0_75,0,True
0,0.8200000000000004,1,L0_00,1,True
0,5.879999999999921,0,L0_50,1,False
0,1.6100000000000012,0,L0_50,1,False
0,0.6500000000000002,0,L0_75,1,False
0,0.30000000000000004,0,L1_00,1,False
0,3.5999999999999694,0,L0_75,1,False
0,0.4900000000000002,0,L1_00,1,False
0,0.3500000000000001,0,L0_75,1,False
0,10.0,1,L0_50,0,True
0,0.30000000000000004,0,L1_00,1,False
0,0.5900000000000003,1,L0_25,1,True
0,0.5900000000000003,0,L1_00,1,False
0,10.0,1,L0_75,0,True
0,0.30000000000000004,0,L1_00,1,False
0,10.0,1,L0_50,0,True
0,10.0,1,L0_50,0,True
0,10.0,1,L0_75,0,True
0,0.9200000000000005,1,L0_25,1,True
0,1.9300000000000015,1,L0_00,1,True
0,0.27,0,L0_50,1,False
0,10.0,1,L1_00,0,True
0,0.16,0,L1_00,1,False
0,10.0,1,L0_50,0,True
0,0.3500000000000001,0,L1_00,1,False
0,2.2899999999999974,1,L0_00,1,True
0,9.739999999999839,1,L0_00,1,True
0,10.0,1,L1_00,0,True
0,2.439999999999994,1,L0_00,1,True
0,10.0,1,L1_00,0,True
0,1.6200000000000012,0,L0_50,1,False
0,2.0500000000000016,1,L0_25,1,True
0,10.0,1,L1_00,0,True
0,0.32000000000000006,0,L0_75,1,False
0,10.0,1,L1_00,0,True
0,10.0,1,L0_75,0,True
0,4.389999999999953,1,L0_00,1,True
0,0.8400000000000004,1,L0_25,1,True
0,0.6800000000000003,1,L0_00,1,True
0,3.3099999999999756,1,L0_25,1,True
0,3.09999999999998,0,L0_50,1,False
0,0.7300000000000003,1,L0_00,1,True
0,0.9600000000000005,0,L1_00,1,False
0,10.0,1,L0_75,0,True
0,3.3499999999999748,0,L0_75,1,False
0,0.15000000000000002,0,L1_00,1,False
0,5.759999999999923,0,L0_75,1,False
0,0.7000000000000003,0,L0_75,1,False
0,0.7700000000000004,0,L1_00,1,False
0,10.0,1,L0_75,0,True
0,10.0,1,L0_50,0,True
0,0.3600000000000001,0,L1_00,1,False
0,10.0,1,L0_50,0,True
0,10.0,1,L0_75,0,True
0,10.0,1,L0_50,0,True
0,10.0,1,L0_75,0,True
0,10.0,1,L0_75,0,True
0,10.0,1,L0_75,0,True
0,10.0,1,L0_50,0,True
0,10.0,1,L0_75,0,True
0,10.0,1,L0_50,0,True
0,10.0,1,L1_00,0,True
0,1.8400000000000014,1,L0_25,1,True
0,0.17,0,L1_00,1,False
0,1.410000000000001,0,L0_50,1,False
0,0.13,0,L1_00,1,False
0,10.0,1,L0_50,0,True
0,10.0,1,L0_50,0,True
0,3.339999999999975,0,L1_00,1,False
0,1.8700000000000014,1,L0_00,1,True
0,0.6700000000000003,0,L1_00,1,False
0,0.8600000000000004,0,L1_00,1,False
0,2.6999999999999886,0,L0_75,1,False
0,4.189999999999957,0,L0_75,1,False
0,10.0,1,L0_75,0,True
0,4.209999999999956,1,L0_00,1,True
0,0.9100000000000005,1,L0_00,1,True
0,2.0200000000000014,0,L0_75,1,False
0,10.0,1,L1_00,0,True
0,1.8800000000000014,0,L0_75,1,False
0,1.320000000000001,1,L0_00,1,True
0,0.3800000000000001,0,L1_00,1,False
0,10.0,1,L1_00,0,True
0,0.8900000000000005,0,L0_50,1,False
0,1.480000000000001,0,L0_75,1,False
0,2.6199999999999903,1,L0_25,1,True
0,3.09999999999998,1,L0_25,1,True
0,10.0,1,L1_00,0,True
0,5.779999999999923,0,L0_75,1,False
0,0.5800000000000003,0,L0_75,1,False
0,10.0,1,L0_75,0,True
0,10.0,1,L1_00,0,True
0,0.26,0,L1_00,1,False
0,0.26,0,L1_00,1,False
0,4.359999999999953,0,L0_50,1,False
0,10.0,1,L1_00,0,True
0,10.0,1,L1_00,0,True
0,5.3799999999999315,1,L0_00,1,True
0,1.330000000000001,1,L0_00,1,True
0,10.0,0,L0_25,0,False
0,10.0,1,L0_50,0,True
0,2.0300000000000016,0,L0_50,1,False
0,1.370000000000001,1,L0_00,1,True
0,10.0,1,L0_75,0,True
0,8.439999999999866,0,L0_50,1,False
0,10.0,1,L0_75,0,True
0,10.0,1,L1_00,0,True
0,1.9800000000000015,0,L0_50,1,False
0,0.8400000000000004,1,L0_00,1,True
0,0.7000000000000003,0,L1_00,1,False
0,0.8100000000000004,0,L0_75,1,False
0,0.7000000000000003,0,L0_50,1,False
0,0.2,0,L1_00,1,False
0,0.7300000000000003,0,L1_00,1,False
0,10.0,1,L0_75,0,True
0,10.0,1,L0_50,0,True
0,3.909999999999963,1,L0_00,1,True
0,0.7100000000000003,0,L0_50,1,False
0,0.3500000000000001,0,L1_00,1,False
0,5.5699999999999275,1,L0_00,1,True
0,0.3400000000000001,0,L0_50,1,False
0,6.199999999999914,0,L0_75,1,False
0,10.0,1,L1_00,0,True
0,0.6100000000000002,0,L1_00,1,False
0,10.0,1,L0_50,0,True
0,10.0,1,L0_50,0,True
0,1.6100000000000012,1,L0_25,1,True
0,0.4700000000000002,0,L1_00,1,False
0,10.0,1,L0_50,0,True
0,10.0,1,L0_75,0,True
0,10.0,1,L1_00,0,True
0,1.260000000000001,1,L0_00,1,True
0,0.25,0,L1_00,1,False
0,10.0,1,L1_00,0,True
0,10.0,1,L0_75,0,True
0,10.0,1,L0_75,0,True
0,10.0,1,L0_75,0,True
0,10.0,1,L1_00,0,True
0,0.7100000000000003,1,L0_00,1,True
0,6.509999999999907,1,L0_00,1,True
0,1.0800000000000007,0,L0_50,1,False
0,2.689999999999989,1,L0_25,1,True
0,10.0,1,L1_00,0,True
0,0.6200000000000002,0,L1_00,1,False
0,3.3499999999999748,1,L0_25,1,True
0,2.1500000000000004,0,L0_50,1,False
0,2.399999999999995,0,L0_75,1,False
0,0.13,0,L1_00,1,False
0,1.2300000000000009,0,L0_50,1,False
0,10.0,1,L0_75,0,True
0,2.499999999999993,0,L0_75,1,False
0,10.0,1,L1_00,0,True
0,0.17,0,L1_00,1,False
0,1.1000000000000008,0,L0_75,1,False
0,3.289999999999976,0,L0_50,1,False
0,0.5200000000000002,0,L0_50,1,False
0,0.8400000000000004,0,L0_50,1,False
0,10.0,1,L0_75,0,True
0,0.7400000000000003,0,L1_00,1,False
0,0.25,0,L1_00,1,False
0,10.0,1,L1_00,0,True
0,0.44000000000000017,0,L1_00,1,False
0,1.1300000000000008,0,L1_00,1,False
0,4.98999999999994,0,L0_75,1,False
0,2.2399999999999984,0,L1_00,1,False
0,10.0,1,L0_75,0,True
0,2.5199999999999925,1,L0_00,1,True
0,10.0,1,L1_00,0,True
0,0.19,0,L1_00,1,False
0,2.259999999999998,1,L0_00,1,True
0,0.24,0,L0_75,1,False
0,10.0,1,L0_50,0,True
0,10.0,1,L0_75,0,True
0,0.17,0,L1_00,1,False
0,0.4700000000000002,0,L0_50,1,False
0,0.41000000000000014,0,L0_75,1,False
0,10.0,1,L0_75,0,True
0,0.19,0,L1_00,1,False
0,4.139999999999958,0,L0_50,1,False
0,2.0300000000000016,1,L0_00,1,True
0,10.0,1,L0_75,0,True
0,10.0,1,L0_75,0,True
0,10.0,1,L1_00,0,True
0,10.0,1,L0_50,0,True
0,1.6400000000000012,0,L0_50,1,False
0,0.22999999999999998,0,L0_75,1,False
0,1.6900000000000013,0,L0_75,1,False
0,10.0,1,L0_75,0,True
0,10.0,1,L0_75,0,True
0,10.0,1,L1_00,0,True
0,1.0800000000000007,1,L0_00,1,True
0,0.9300000000000005,1,L0_25,1,True
0,0.25,0,L1_00,1,False
0,0.28,0,L1_00,1,False
0,10.0,1,L1_00,0,True
0,10.0,1,L1_00,0,True
0,10.0,1,L1_00,0,True
0,0.2,0,L1_00,1,False
0,1.330000000000001,0,L0_75,1,False
0,1.0100000000000007,0,L0_75,1,False
0,10.0,1,L1_00,0,True
0,0.14,0,L1_00,1,False
0,0.5300000000000002,0,L0_50,1,False
0,10.0,1,L1_00,0,True
0,0.31000000000000005,0,L0_75,1,False
0,1.360000000000001,1,L0_00,1,True
0,7.359999999999889,1,L0_25,1,True
0,0.26,0,L1_00,1,False
0,8.24999999999987,0,L0_50,1,False
0,10.0,1,L1_00,0,True
0,0.3400000000000001,0,L0_75,1,False
0,0.6700000000000003,0,L1_00,1,False
0,0.3600000000000001,0,L1_00,1,False
0,0.9900000000000005,1,L0_00,1,True
0,0.6000000000000002,0,L1_00,1,False
0,0.6100000000000002,0,L0_75,1,False
0,0.4900000000000002,0,L0_50,1,False
0,10.0,1,L0_75,0,True
0,10.0,0,L0_25,0,False
0,0.5300000000000002,0,L0_50,1,False
0,10.0,1,L1_00,0,True
0,10.0,1,L0_75,0,True
0,10.0,1,L0_75,0,True
0,10.0,1,L1_00,0,True
0,10.0,1,L1_00,0,True
0,1.2400000000000009,1,L0_00,1,True
0,0.5700000000000003,0,L0_75,1,False
0,1.5900000000000012,0,L0_50,1,False
0,0.3400000000000001,0,L0_75,1,False
0,10.0,1,L1_00,0,True
0,7.649999999999883,0,L0_50,1,False
0,4.899999999999942,0,L1_00,1,False
0,1.320000000000001,0,L0_75,1,False
0,10.0,1,L1_00,0,True
0,0.5700000000000003,0,L0_50,1,False
0,10.0,1,L0_75,0,True
0,0.32000000000000006,0,L0_75,1,False
0,0.3400000000000001,0,L0_50,1,False
0,0.24,0,L0_75,1,False
0,1.7200000000000013,0,L0_50,1,False
0,2.1799999999999997,0,L1_00,1,False
0,0.44000000000000017,0,L0_75,1,False
0,10.0,1,L0_75,0,True
0,10.0,1,L1_00,0,True
0,10.0,1,L0_75,0,True
0,0.12000000000000001,0,L1_00,1,False
0,0.32000000000000006,1,L0_00,1,True
0,0.9600000000000005,0,L1_00,1,False
0,10.0,1,L1_00,0,True
0,0.8300000000000004,0,L0_75,1,False
0,6.309999999999912,0,L0_50,1,False
0,10.0,1,L0_50,0,True
0,10.0,1,L1_00,0,True
0,10.0,1,L0_50,0,True
0,10.0,1,L1_00,0,True
0,1.480000000000001,1,L0_00,1,True
0,10.0,1,L1_00,0,True
0,10.0,1,L1_00,0,True
0,10.0,1,L0_50,0,True
0,10.0,1,L1_00,0,True
0,10.0,1,L0_50,0,True
0,10.0,0,L0_25,0,False
0,10.0,1,L0_75,0,True
0,10.0,1,L1_00,0,True
0,7.729999999999881,1,L0_25,1,True
0,1.2100000000000009,0,L0_75,1,False
0,10.0,0,L0_25,0,False
0,2.2899999999999974,0,L0_75,1,False
0,0.9800000000000005,1,L0_25,1,True
0,0.3600000000000001,0,L1_00,1,False
0,10.0,1,L1_00,0,True
0,10.0,1,L1_00,0,True
0,10.0,1,L1_00,0,True
0,10.0,1,L0_50,0,True
0,1.270000000000001,0,L0_75,1,False
0,10.0,1,L0_50,0,True
0,0.5800000000000003,0,L0_75,1,False
0,10.0,1,L0_50,0,True
0,10.0,1,L1_00,0,True
0,0.3600000000000001,0,L0_75,1,False
0,4.069999999999959,0,L0_50,1,False
0,0.19,0,L1_00,1,False
0,2.7499999999999876,0,L0_50,1,False
0,4.679999999999946,0,L0_75,1,False
0,10.0,1,L0_75,0,True
0,0.29000000000000004,0,L1_00,1,False
0,1.0300000000000007,0,L0_75,1,False
0,0.6600000000000003,0,L0_50,1,False
0,10.0,1,L0_75,0,True
0,5.309999999999933,1,L0_25,1,True
0,0.4600000000000002,0,L0_75,1,False
0,10.0,1,L0_75,0,True
0,10.0,1,L0_75,0,True
0,0.7200000000000003,0,L0_50,1,False
0,2.299999999999997,0,L0_50,1,False
0,10.0,1,L0_50,0,True
0,10.0,1,L1_00,0,True
0,10.0,1,L1_00,0,True
0,10.0,1,L0_75,0,True
0,10.0,1,L1_00,0,True
0,10.0,1,L1_00,0,True
0,10.0,1,L0_75,0,True
0,10.0,1,L1_00,0,True
0,10.0,1,L0_75,0,True
0,0.22999999999999998,0,L0_75,1,False
0,2.9999999999999822,1,L0_25,1,True
0,10.0,1,L0_75,0,True
0,7.989999999999876,0,L0_50,1,False
0,10.0,1,L1_00,0,True
0,0.3700000000000001,0,L1_00,1,False
0,10.0,0,L0_25,0,False
0,5.509999999999929,1,L0_00,1,True
0,1.330000000000001,1,L0_25,1,True
0,10.0,1,L1_00,0,True
0,10.0,1,L1_00,0,True
0,10.0,1,L0_50,0,True
0,0.3900000000000001,1,L0_25,1,True
0,10.0,1,L1_00,0,True
0,3.299999999999976,0,L0_75,1,False
0,10.0,1,L0_75,0,True
0,10.0,1,L0_75,0,True
0,10.0,1,L1_00,0,True
0,2.969999999999983,0,L0_75,1,False
0,0.25,0,L1_00,1,False
0,1.8400000000000014,0,L0_75,1,False
0,0.21,0,L0_75,1,False
0,10.0,1,L1_00,0,True
0,0.29000000000000004,0,L0_75,1,False
0,10.0,1,L0_50,0,True
0,8.69999999999986,0,L0_50,1,False
0,1.5100000000000011,1,L0_00,1,True
0,0.8700000000000004,1,L0_00,1,True
0,0.3600000000000001,0,L0_75,1,False
0,0.25,0,L1_00,1,False
0,1.1800000000000008,0,L1_00,1,False
0,10.0,1,L0_50,0,True
0,0.3800000000000001,0,L0_75,1,False
0,0.3400000000000001,0,L1_00,1,False
0,0.2,0,L1_00,1,False
0,0.7900000000000004,0,L0_75,1,False
0,10.0,1,L1_00,0,True
0,10.0,1,L1_00,0,True
0,10.0,1,L0_75,0,True
0,0.19,0,L1_00,1,False
0,1.0300000000000007,1,L0_00,1,True
0,0.29000000000000004,0,L1_00,1,False
0,1.8600000000000014,1,L0_00,1,True
0,0.5800000000000003,0,L0_50,1,False
0,4.269999999999955,0,L0_50,1,False
0,1.1200000000000008,1,L0_25,1,True
0,10.0,1,L1_00,0,True
0,1.5300000000000011,0,L0_50,1,False
0,0.6300000000000002,1,L0_25,1,True
0,1.380000000000001,0,L0_50,1,False
1,10.0,1,L1_00,0,True
1,10.0,1,L1_00,0,True
1,10.0,1,L1_00,0,True
1,10.0,1,L1_00,0,True
1,0.16,0,L0_75,1,False
1,10.0,1,L1_00,0,True
1,10.0,0,L0_25,0,False
1,10.0,1,L0_75,0,True
1,10.0,1,L0_75,0,True
1,0.44000000000000017,0,L0_50,1,False
1,10.0,1,L0_50,0,True
1,1.9200000000000015,1,L0_25,1,True
1,10.0,1,L1_00,0,True
1,1.440000000000001,0,L0_50,1,False
1,10.0,1,L1_00,0,True
1,0.7100000000000003,0,L0_75,1,False
1,0.4900000000000002,0,L0_75,1,False
1,0.32000000000000006,0,L1_00,1,False
1,1.5600000000000012,1,L0_00,1,True
1,1.2500000000000009,1,L0_00,1,True
1,10.0,1,L1_00,0,True
1,10.0,1,L0_50,0,True
1,10.0,1,L0_75,0,True
1,10.0,1,L0_50,0,True
1,10.0,1,L0_50,0,True
1,9.19999999999985,0,L0_50,1,False
1,2.6199999999999903,1,L0_25,1,True
1,10.0,1,L0_50,0,True
1,10.0,1,L0_75,0,True
1,0.25,0,L1_00,1,False
1,10.0,0,L0_25,0,False
1,10.0,1,L1_00,0,True
1,10.0,1,L1_00,0,True
1,10.0,1,L0_75,0,True
1,10.0,1,L1_00,0,True
1,0.2,0,L1_00,1,False
1,10.0,1,L1_00,0,True
1,6.709999999999903,1,L0_25,1,True
1,0.32000000000000006,0,L0_75,1,False
1,0.15000000000000002,0,L1_00,1,False
1,0.22999999999999998,0,L0_75,1,False
1,10.0,1,L1_00,0,True
1,0.14,0,L1_00,1,False
1,0.6300000000000002,1,L0_25,1,True
1,5.669999999999925,0,L0_75,1,False
1,1.8400000000000014,0,L0_50,1,False
1,1.1300000000000008,1,L0_25,1,True
1,10.0,1,L0_75,0,True
1,1.8300000000000014,0,L0_50,1,False
1,10.0,1,L1_00,0,True
1,0.5000000000000002,1,L0_00,1,True
1,6.299999999999912,1,L0_25,1,True
1,10.0,1,L1_00,0,True
1,10.0,1,L1_00,0,True
1,0.43000000000000016,1,L0_00,1,True
1,10.0,1,L1_00,0,True
1,0.6300000000000002,0,L0_75,1,False
1,9.369999999999846,0,L0_75,1,False
1,10.0,1,L0_75,0,True
1,0.8900000000000005,0,L1_00,1,False
1,0.18,0,L1_00,1,False
1,10.0,1,L0_75,0,True
1,1.0900000000000007,1,L0_00,1,True
1,0.16,0,L1_00,1,False
1,0.5800000000000003,0,L0_50,1,False
1,3.239999999999977,1,L0_25,1,True
1,4.589999999999948,1,L0_00,1,True
1,4.149999999999958,0,L0_75,1,False
1,10.0,1,L1_00,0,True
1,10.0,1,L1_00,0,True
1,10.0,1,L0_75,0,True
1,10.0,1,L1_00,0,True
1,0.7600000000000003,0,L0_75,1,False
1,0.2,0,L1_00,1,False
1,0.14,0,L1_00,1,False
1,0.25,0,L0_75,1,False
1,0.28,0,L1_00,1,False
1,0.24,0,L1_00,1,False
