w_n_eff,a_nes,t_nes
0.7501975,1.0079883,0.06092812
0.59916764,1.0513626,0.2656404
0.4165483,0.8193338,0.061774906
0.39754525,0.9083369,0.051809493
0.11117296,0.74280995,0.30082873
0.13914803,0.86211723,0.22218484
0.4394376,0.77103186,0.23890118
0.60888165,0.9125182,0.28642815
0.3859451,0.6743628,0.35300764
0.37278712,1.048418,0.14401434
0.303323,1.029259,0.16331208
0.5591928,1.0237681,0.06646987
0.42526007,0.7429907,0.19770311
0.39072543,0.8353923,0.1474855
0.23238796,0.7003578,0.1334088
0.61075896,0.8049138,0.23022649
0.6403371,1.0499845,0.18149495
0.46551886,0.9302095,0.3141347
0.41927174,1.1027356,0.054530933
0.5695847,0.68544,0.47051957
0.1606176,0.8023105,0.17333928
0.2938298,0.6502908,0.22778375
0.39711815,0.80091614,0.2871998
0.7620428,0.96417564,0.26808712
0.5553368,0.9017973,0.26656264
0.6254196,0.88707006,0.06574576
0.2044637,0.7249201,0.05471415
0.4284819,1.3277414,0.10186293
0.5371635,0.9985182,0.081028774
0.2632753,0.843572,0.16047075
0.40951818,0.71888727,0.3294749
0.26355857,1.091141,0.21367288
0.5169257,0.94183064,0.31199828
0.36483803,1.3196398,0.11567213
0.26709896,0.85166025,0.05008825
0.54968244,0.7884827,0.3669661
0.25046167,0.8960844,0.3286579
0.7274685,0.9458114,0.37116945
0.52167267,0.85110074,0.09200044
0.49827427,0.86385846,0.2815377
0.4867545,0.5124657,0.47847572
0.3039139,0.78492004,0.2088761
0.6080212,0.8940112,0.11056046
0.5730297,1.0946034,0.0820186
0.54381335,1.0341563,0.06422045
0.37007177,0.8535497,0.058539752
0.6139158,0.82488847,0.4455294
0.47656998,0.8711467,0.08084883
0.390108,1.0479367,0.26443788
0.124785826,0.93836284,0.098740965
0.5551944,0.95393574,0.21549818
1.1606263,0.98262924,0.25712532
0.22324386,0.8222766,0.32293627
0.16053832,0.85140085,0.22527787
0.50539136,1.057712,0.13548882
0.6482717,1.0159838,0.16872603
0.46626022,0.91903806,0.111929044
0.6047077,1.1482254,0.10533793
0.34633332,1.1095296,0.24378057
0.8659968,0.8938888,0.3536863
0.49615213,0.91578996,0.25148377
0.2743545,0.8596263,0.31527475
0.11892562,0.7655544,0.07426517
0.39709076,1.1303122,0.087878436
0.47072816,0.91555524,0.054860957
0.4116747,0.8260511,0.32869714
0.34671196,0.654202,0.39966586
0.30901,0.85161036,0.24784343
0.38139474,0.81300306,0.42966145
0.64877355,0.99199915,0.1252885
0.59849983,0.7955312,0.2781817
0.4560881,0.93365204,0.24518843
0.5691739,0.97739613,0.19901311
0.58392817,0.79473674,0.39533064
0.37563995,0.8480456,0.28962442
0.3424446,0.8585514,0.14655334
0.6550016,1.0040778,0.3285998
0.3435107,1.0982382,0.11125948
0.50132775,0.6464155,0.44380745
0.6158036,0.94918,0.18467474
0.46295863,0.70579076,0.12993781
0.4294221,0.7466658,0.4867292
0.25196174,0.71463263,0.31248984
0.3872981,0.6970521,0.23891333
0.50144845,1.1335906,0.13649984
0.24185301,0.76332355,0.22655709
0.4781369,0.68407005,0.43126878
0.338956,1.0539861,0.062556535
0.5789622,0.8319605,0.3105492
0.24425338,0.8805284,0.23305675
0.40917373,0.79839855,0.28225684
0.26425385,0.8121517,0.30179536
0.49488798,0.8794642,0.12524787
0.38391298,1.0484678,0.22346126
0.5048959,0.63530165,0.36816627
0.22698805,0.75407726,0.10751698
0.34169474,0.89599645,0.3057738
0.33011433,0.6564668,0.38234913
0.22524266,0.7429199,0.3121812
0.46634647,0.99159634,0.12020711
