true_w_n,sbc_rank,n_posterior_samples,posterior_mean
0.2301,,0,
1.6697,,0,
1.978,,0,
1.5677,,0,
0.227,,0,
0.2301,,0,
1.6697,,0,
1.978,,0,
1.5677,,0,
0.227,,0,
0.2301,,0,
1.6697,,0,
1.978,,0,
1.5677,,0,
0.227,,0,
0.2301,,0,
1.6697,,0,
1.978,,0,
1.5677,,0,
0.227,,0,
0.2301,,0,
1.6697,,0,
1.978,,0,
1.5677,,0,
0.227,,0,
0.2301091327795579,,0,
0.2301091327795579,,0,
1.6696842973312989,,0,
1.9780230269512,,0,
1.5676647016115013,,0,
0.226976943787299,,0,
0.2301091327795579,0.0,100,
1.6696842973312989,0.0,100,
1.9780230269512,75.0,100,
1.5676647016115013,0.0,100,
0.226976943787299,0.0,100,
0.749080237694725,9.0,100,
0.7568473223435939,,0,
0.1206975830412226,4.0,100,
1.185535882657538,,0,
1.5301795260898226,,0,
0.749080237694725,54.0,150,0.7738722339626545
1.9351865793748384,148.0,150,1.6297949185763732
0.6213190640308612,24.0,150,0.7245413240811158
0.0575412201230711,20.0,150,0.1549338144963603
0.3907305865456423,48.0,150,0.4301577330788484
1.994484595474177,146.0,150,1.8729922068811276
1.1440658663434964,47.0,150,1.2319717575785971
0.6810387875717048,148.0,150,0.4468722689250194
0.987455374773576,103.0,150,0.9488112303980116
1.6498908871236757,94.0,150,1.5787855253473977
1.6714439291732996,10.0,150,1.841986545137648
0.0678113182614164,67.0,150,0.0798168930239555
1.3141125729633856,101.0,150,1.2318547210517763
1.7898139014938477,63.0,150,1.803700052287907
1.945057034234401,149.0,150,1.7032504392839976
1.2982334470400525,45.0,150,1.3762769477721075
1.7663551587760042,133.0,150,1.5754400965498307
0.6985372300837347,21.0,150,0.8007925453607146
0.2264312768734309,85.0,150,0.2122756826907781
0.3919640390160519,18.0,150,0.4945467036863892
0.749080237694725,46.0,150,0.7931609572347852
0.749080237694725,,0,
1.839529267626896,,0,
1.2231810537054584,,0,
0.8698210279426684,,0,
1.0089074103633644,,0,
0.4104351598605269,,0,
0.8989718271703708,,0,
1.911398516464228,,0,
1.342347450947,,0,
0.47905249064746,,0,
1.359687566304198,,0,
1.4075467833019104,,0,
1.716353484786564,,0,
0.6397925684143042,,0,
0.7148020624519567,,0,
0.8850210573045729,,0,
1.3422765845954208,,0,
0.4754788255376059,,0,
0.0295454096472744,,0,
0.8545139966955153,,0,
1.184774186688352,,0,
0.606550109579959,,0,
0.7322954855476456,,0,
1.9952077936465435,,0,
0.4242884166159724,,0,
0.4266860509845207,,0,
0.110238767215729,,0,
1.1909129920066412,,0,
0.9506459290659182,,0,
0.521643255802305,,0,
0.97811901141408,,0,
0.274703769510136,,0,
1.7933069417686525,,0,
0.6699685319527307,,0,
0.93446835366541,,0,
0.0289042017011877,,0,
1.0039380160605045,,0,
1.233388264158643,,0,
1.7668618043404651,,0,
1.475320454012138,,0,
1.882358755850173,,0,
1.6140596473994735,,0,
1.8972265073046004,,0,
