true_w_n,posterior_mean,sbc_rank,n_posterior_samples
0.749080237694725,0.7738722339626545,54,150
1.9351865793748384,1.6297949185763732,148,150
0.6213190640308612,0.7245413240811158,24,150
0.05754122012307117,0.1549338144963603,20,150
0.3907305865456423,0.4301577330788484,48,150
1.994484595474177,1.8729922068811273,146,150
1.1440658663434964,1.2319717575785973,47,150
0.6810387875717048,0.4468722689250194,148,150
0.9874553747735759,0.9488112303980117,103,150
1.6498908871236757,1.5787855253473977,94,150
1.6714439291732996,1.841986545137648,10,150
0.0678113182614164,0.07981689302395556,67,150
1.3141125729633856,1.2318547210517765,101,150
1.7898139014938477,1.803700052287907,63,150
1.945057034234401,1.7032504392839976,149,150
1.2982334470400523,1.3762769477721075,45,150
1.7663551587760042,1.5754400965498307,133,150
0.6985372300837347,0.8007925453607146,21,150
0.2264312768734309,0.2122756826907781,85,150
0.3919640390160519,0.49454670368638926,18,150
