v_norm,a_0,w_s_eff,t_0,alpha_gain
0.6848908,1.0463855,1.473686,0.46014357,0.809137
0.5474803,0.9734771,1.4912753,0.45820996,0.88394696
0.57922006,1.0407699,1.4536171,0.42485395,0.8687076
0.6901364,1.1388927,1.485156,0.4204446,0.79910463
0.62970245,1.159841,1.4002838,0.4074463,0.75399554
0.64973027,1.1835201,1.3994362,0.4174571,0.7444798
0.66823,1.0252402,1.476932,0.4593099,0.8366073
0.53061116,0.967445,1.4778461,0.45813507,0.8408756
0.6181445,1.0286207,1.4455981,0.43550742,0.87493163
0.7017376,1.0751544,1.4762074,0.44693652,0.73849165
0.655185,1.0162592,1.4795381,0.46576276,0.7098608
0.6932199,1.0441884,1.4714451,0.45860565,0.81015843
0.5787676,1.1099519,1.4804606,0.41757855,0.78204495
0.69931424,0.9738583,1.3706307,0.47255313,0.8255272
0.6867931,1.0509241,1.4939289,0.43868968,0.85504836
0.6246934,1.0035964,1.442998,0.45018983,0.92582726
0.69104904,1.090372,1.4172767,0.42556223,0.77156407
0.55163634,0.99784094,1.3742546,0.471155,0.7589445
0.8134212,1.0685121,1.4973663,0.48033938,0.73422545
0.64662147,0.9336417,1.4925178,0.49123976,0.8479893
0.6985539,1.0088671,1.4923158,0.45449987,0.8115852
0.8272469,1.0929662,1.467847,0.46590215,0.6943744
0.6220486,1.0001526,1.4632349,0.45537785,0.8850642
0.66872454,1.0250711,1.3282709,0.48527735,0.75126636
0.59825253,0.92829525,1.4548236,0.4711363,0.8636522
0.63270557,0.9762201,1.431986,0.47644597,0.8107245
0.65657574,1.0221034,1.46539,0.4549431,0.7856171
0.756486,1.0050968,1.4319077,0.4932159,0.7198526
0.7364055,1.0204296,1.4887053,0.48021132,0.7170046
0.7128748,1.1015849,1.467322,0.45962384,0.7387164
0.6842711,1.0853517,1.439202,0.42317173,0.7713608
0.69722664,0.9163959,1.4514999,0.5114203,0.7760889
0.69926107,1.1004955,1.4724939,0.4239835,0.75257
0.762415,1.1260566,1.4782041,0.43330088,0.70202005
0.7796378,1.0742048,1.49668,0.44984156,0.73534465
0.7273739,1.0324593,1.4558328,0.4475391,0.79165906
0.60411376,1.080748,1.4664758,0.44425148,0.8125315
0.69157124,1.0473087,1.3872135,0.46250996,0.7321239
0.6205817,1.0427703,1.4531208,0.4549091,0.8433705
0.7566091,1.0556988,1.4585431,0.45974126,0.7229305
0.74032015,1.1424948,1.4989572,0.44095898,0.740319
0.70333016,1.1617086,1.4976662,0.41968524,0.74160224
0.6610259,1.0945824,1.4195465,0.4320867,0.8061645
0.76087946,1.1436355,1.4860766,0.4388864,0.7424458
0.656636,1.1458368,1.4809027,0.41659424,0.86794525
0.6914357,1.1040126,1.4811343,0.45006743,0.7883348
0.74006814,1.1501472,1.4742386,0.43603903,0.71571887
0.74350476,1.010862,1.4988325,0.45955124,0.7839957
0.6509453,0.9158179,1.4862472,0.4799661,0.7754848
0.7184439,1.0419617,1.4812893,0.47688478,0.7385537
0.65652657,1.0077384,1.3791425,0.45918036,0.7810312
0.5954951,1.0329864,1.4771198,0.44634846,0.8572007
0.6440983,0.98670894,1.4980438,0.46379998,0.8344919
0.7050634,0.98219144,1.4716547,0.4492628,0.83120537
0.5054668,0.8758863,1.4515051,0.48388764,0.81931853
0.50754124,1.1461288,1.4282814,0.40096486,0.89318675
0.6745254,1.0561924,1.4445739,0.4549929,0.7063104
0.65767723,1.030654,1.4049594,0.46761402,0.8109109
0.7434533,1.010194,1.3889095,0.47376364,0.6657664
0.67303085,0.9648025,1.4336411,0.47336918,0.83840495
0.60906273,0.9570289,1.4691978,0.45422855,0.8834562
0.7050232,1.109363,1.4634913,0.45724595,0.7511907
0.6615909,1.2129807,1.4691359,0.39738217,0.8007492
0.6156265,1.0270473,1.4831225,0.41642293,0.8599447
0.6155919,1.0169004,1.4903737,0.4724676,0.82486373
0.792516,0.98388994,1.4498581,0.46099326,0.79866356
0.6460929,0.8967286,1.4865409,0.4910009,0.77286494
0.78317344,1.1887574,1.4788502,0.41947743,0.70428437
0.6168936,1.1217719,1.4395385,0.39428642,0.8026567
0.5243471,1.0541507,1.4481094,0.42853215,0.9352198
0.78507614,1.1009079,1.4161143,0.45123845,0.72880507
0.76105106,1.0084198,1.4490522,0.46191153,0.81289303
0.6826532,1.1559964,1.4111106,0.42458656,0.7351508
0.6280948,0.9871458,1.490182,0.46043494,0.82292825
0.7374726,1.1424711,1.4988831,0.44089222,0.7237654
0.6350704,1.0386959,1.4530551,0.45862013,0.8745394
0.58880866,0.97494394,1.4346145,0.45197076,0.89454997
0.6190877,1.0607942,1.4966005,0.43261883,0.7811871
0.8224242,1.2547656,1.4737532,0.40273833,0.66086894
0.6203356,1.0214576,1.3593408,0.4644935,0.78090525
0.6368803,0.9574662,1.4681041,0.4720056,0.8150764
0.74681437,0.92387885,1.4683712,0.48068044,0.8165998
0.731733,1.0609337,1.490636,0.4517595,0.8020574
0.56237644,1.0271323,1.3874928,0.4613303,0.85810375
0.82916635,1.0759168,1.4817584,0.45366257,0.7059838
0.6593212,1.1311738,1.4803548,0.4541094,0.832823
0.64310914,1.0679196,1.495875,0.44338706,0.78036743
0.66933453,0.98072803,1.4919151,0.46593243,0.8197515
0.81830806,1.2198604,1.4904643,0.3877795,0.7520741
0.8444043,1.1942248,1.4923671,0.4148391,0.61486363
0.73281103,0.977266,1.487444,0.5097202,0.7258694
0.67095757,1.0439712,1.486002,0.46691447,0.7881239
0.703045,1.0674622,1.4004164,0.45208487,0.71726584
0.67436993,1.2024363,1.4625789,0.40930465,0.7371442
0.73470336,1.0313945,1.4911482,0.44668767,0.7597751
0.7052151,0.88834345,1.4952496,0.46593553,0.858963
0.63267404,0.91796917,1.4778154,0.48409256,0.84844524
0.56040406,0.95064133,1.4347463,0.464858,0.8084177
0.79334027,0.94796467,1.4525988,0.47752044,0.7556884
0.76444656,1.0524101,1.4516752,0.4601545,0.7063349
0.5791276,0.9366039,1.4474326,0.4658583,0.9123768
0.55084443,0.88559365,1.471715,0.49111053,0.86354774
0.64333403,0.97649544,1.4264574,0.4729098,0.77871186
0.68222505,1.0579484,1.4812752,0.46605632,0.7973586
0.6482404,1.0197412,1.4313934,0.47254822,0.8073298
0.7435711,1.0914975,1.4482776,0.45547807,0.7406453
0.7378325,1.0734626,1.4173709,0.42738944,0.7961508
0.6735002,1.0074787,1.4991057,0.47274107,0.8012233
0.6573516,0.92966944,1.4150584,0.48959425,0.80931187
0.616342,0.9641993,1.3688864,0.4781226,0.8390932
0.8027237,1.0391495,1.4698676,0.48477206,0.62573
0.7823724,1.1009204,1.4788349,0.4486874,0.80775446
0.6655936,1.0821033,1.431016,0.47332692,0.7639585
0.6095265,1.0761281,1.4542943,0.42500463,0.83076894
0.70081574,1.161482,1.4055665,0.43640453,0.67836964
0.6589037,1.0223188,1.4838164,0.45246813,0.79117405
0.63667876,0.9528456,1.4105899,0.48109016,0.8110592
0.8153338,1.058736,1.4740422,0.4695603,0.635186
0.80072427,1.1780016,1.4885799,0.44387722,0.698033
0.588342,1.0401485,1.4311402,0.44842708,0.9024983
0.7816795,1.1161097,1.4253951,0.43759114,0.7944452
0.6596925,0.9537405,1.4640253,0.466989,0.8552783
0.6379309,1.0136083,1.406134,0.44227442,0.7515083
0.72621053,1.0880425,1.4798045,0.45207044,0.7162459
0.7209679,1.0950885,1.4775622,0.438296,0.77473146
0.6545764,1.05077,1.4404042,0.44536877,0.81182325
0.6728081,1.1027161,1.4835113,0.42777267,0.8274597
0.57697874,0.9505129,1.490152,0.45851997,0.9255595
0.7329001,0.9803008,1.4359217,0.49162692,0.7477445
0.7964309,1.0943292,1.3720589,0.4415942,0.6684194
0.78168625,1.0735894,1.4851512,0.42271802,0.75633204
0.64169115,0.99386275,1.3612887,0.4646665,0.8647122
0.6905474,1.0509361,1.4602041,0.424681,0.883557
0.77210224,1.043338,1.3472536,0.4804165,0.63658625
0.6300065,0.94790936,1.3666388,0.4682885,0.85549605
0.58818406,0.94302857,1.4639293,0.49362817,0.7761778
0.8037945,1.0910943,1.4680318,0.44047183,0.708393
0.7250017,1.0673609,1.4963231,0.45704406,0.7574265
0.77579516,1.0980185,1.4755793,0.46420693,0.7653487
0.7016994,1.1063533,1.4782057,0.44430876,0.7624295
0.6509638,0.9927203,1.4995059,0.444087,0.849407
0.7747831,1.0825284,1.3679371,0.4481778,0.7297172
0.62283945,1.195341,1.4576708,0.41523778,0.7291813
0.7098249,1.1091844,1.4788897,0.42714664,0.8029107
0.6685759,0.96883893,1.4748776,0.47670156,0.73033726
0.7328537,1.1052938,1.3930358,0.4461136,0.70840544
0.79765683,0.97781354,1.4574909,0.47978994,0.72739464
0.64410853,1.1117152,1.4312885,0.40965843,0.8262676
0.70344675,1.1070255,1.4997208,0.4381456,0.7859306
0.70022964,1.1394742,1.422248,0.44170412,0.76440656
0.61739933,0.9722604,1.443332,0.48704174,0.77245164
0.6701748,0.98157614,1.4967586,0.46372926,0.82103103
0.54504937,1.0204947,1.4533594,0.45149407,0.90500313
0.6581952,0.9742583,1.4952741,0.4704836,0.8832151
0.7023844,1.045338,1.4945481,0.46293524,0.73658323
0.58747256,1.0710189,1.4936044,0.44528344,0.77418023
0.70665705,0.90068173,1.4705962,0.523316,0.78590703
0.691203,1.0406721,1.4525328,0.45060492,0.7780503
0.6875076,1.0181817,1.4703354,0.4731914,0.7537165
0.84201604,0.98238677,1.4694161,0.46710235,0.6845554
0.819063,0.97947985,1.4866524,0.49379012,0.7396208
0.7976867,1.0959945,1.431978,0.4282612,0.71688604
0.77781874,1.0418175,1.4911623,0.45569044,0.7406655
0.6766042,1.0122031,1.4626404,0.46123022,0.74457115
0.6410724,1.0207127,1.4258556,0.45687878,0.850847
0.7230955,1.014402,1.456156,0.46932516,0.829634
0.6520283,1.0727482,1.459736,0.44501117,0.81967366
0.590785,1.0214355,1.449691,0.44916922,0.8318934
0.6837467,1.0140709,1.4692409,0.44700003,0.7569958
0.6860739,1.0758095,1.4097545,0.4418828,0.8699363
0.6455696,0.9950044,1.4452945,0.4480108,0.7981513
0.58291614,1.0017903,1.485435,0.4523084,0.8389261
0.66036147,1.0174525,1.434159,0.46393058,0.73664814
0.5708125,0.8675748,1.4145155,0.51239294,0.8877496
0.5878054,1.0409527,1.4211453,0.4308876,0.8367233
0.58346564,1.0827868,1.4356636,0.45685273,0.7691817
0.6356349,0.970904,1.3981909,0.49346772,0.8476259
0.706624,1.033899,1.4560918,0.47997186,0.7439161
0.76672846,1.0139135,1.382984,0.46558183,0.7291458
0.6830195,1.1177751,1.3834653,0.42309672,0.7575839
0.6385624,0.95560217,1.4525304,0.46908402,0.852274
0.8064173,1.1706891,1.4611037,0.4295345,0.6960759
0.76815563,1.017359,1.4204545,0.47941536,0.695246
0.73746264,1.0906079,1.4492762,0.42811632,0.77432746
0.6091334,0.9702991,1.4807732,0.4633299,0.84638083
0.7095486,1.0614326,1.4891968,0.43527845,0.78659457
