v_norm,a_0,w_s_eff,t_0,alpha_gain
0.31615332,0.8330386,1.4766407,0.43073004,0.908891
0.46037486,0.87498873,1.4888132,0.41707107,0.74461395
0.409891,0.823596,1.4870948,0.43513337,0.75250304
0.3165033,1.0433304,1.4725802,0.39769006,0.7218157
0.3034097,0.93101346,1.4248252,0.3795821,0.77765775
0.45978868,0.8760979,1.4418792,0.4178852,0.73210084
0.31111327,0.8279184,1.4842918,0.40320498,0.8700171
0.32726714,0.9585357,1.4958906,0.37774605,0.8302318
0.44207296,0.77555406,1.4969491,0.4028467,0.8781105
0.30890116,0.7697639,1.4138613,0.44258672,0.84305936
0.3706214,0.83259827,1.4834251,0.41550457,0.72234184
0.3919794,0.79794663,1.3684734,0.45240748,0.79613125
0.29811406,0.869931,1.4432154,0.42259783,0.879887
0.4086594,1.0087553,1.4926643,0.37414274,0.7036014
0.30883908,0.8698679,1.4546672,0.4318634,0.7222566
0.3751114,0.96185344,1.4922146,0.38081968,0.77959216
0.39011982,0.92972374,1.3982172,0.41549176,0.77629995
0.36679617,0.9803472,1.4645923,0.34759822,0.74952394
0.3621472,0.87391627,1.4723655,0.39298475,0.82944465
0.45921293,0.7867503,1.4654795,0.44639498,0.71071076
0.4347454,0.8625183,1.4806565,0.40806416,0.7385925
0.37043345,0.883272,1.4990073,0.4210606,0.74495524
0.41318902,0.8315853,1.4656198,0.40157697,0.8657721
0.33376274,0.8945529,1.4837726,0.3866328,0.8537868
0.1951382,0.87321025,1.4049178,0.38186786,0.7880167
0.2821678,0.830794,1.4808279,0.390855,0.93232226
0.3092688,0.8623586,1.4800436,0.38799632,0.87357575
0.33907527,0.8239708,1.4599586,0.38932016,0.9317036
0.30892897,0.8755217,1.494137,0.39849576,0.8655285
0.30875468,0.81078935,1.482958,0.4002153,0.84101725
0.38256583,0.97435653,1.475744,0.41648728,0.71827865
0.21153636,0.95367396,1.432535,0.36451474,0.8628295
0.16889936,0.9495169,1.463269,0.35356417,0.8605443
0.28135923,0.9081181,1.4804437,0.3948392,0.81112295
0.4197496,0.85801196,1.4841467,0.4332535,0.82410645
0.3084819,0.78970724,1.4554726,0.45140994,0.7948033
0.35877162,0.8111413,1.4824332,0.4198519,0.8624588
0.3729933,0.95346487,1.4981834,0.3934892,0.7931035
0.3421449,0.8649353,1.4446359,0.4009145,0.7917604
0.38833952,0.93110347,1.4926122,0.39490595,0.8493017
0.3818033,0.92895997,1.3764651,0.38706338,0.7997697
0.3151711,0.91309565,1.497637,0.3901223,0.7976326
0.32913274,0.8338968,1.4401048,0.39826608,0.7981502
0.32700747,0.99204874,1.4398087,0.35583204,0.8309423
0.3723232,0.7951873,1.4684415,0.4140059,0.85691744
0.28024974,0.8748067,1.4895635,0.383049,0.8318845
0.22463827,0.82378614,1.4910165,0.38728893,0.9046117
0.32463232,0.8615387,1.4486094,0.42399633,0.71665907
0.33132353,0.8351382,1.4579921,0.41962627,0.8798987
0.31323808,0.82855326,1.4780903,0.434908,0.8186475
0.40454844,1.0101216,1.4843255,0.38233843,0.6688894
0.34120157,0.9366298,1.4585733,0.38356456,0.79922324
0.3122596,0.73004204,1.3616322,0.43244436,0.88906735
0.413799,0.877331,1.4880557,0.43867394,0.7761925
0.3274744,1.0729693,1.4181052,0.37719512,0.68073314
0.3752386,0.82831436,1.4607806,0.4249795,0.80950165
0.30920032,0.9856329,1.4797837,0.35225502,0.82799274
0.29226273,0.87989444,1.4310564,0.39831337,0.8968977
0.30302966,0.8162165,1.4018731,0.42221698,0.79219663
0.41439342,0.8671326,1.4377769,0.40028265,0.7938017
0.31863618,0.8267888,1.4575255,0.43332627,0.8840479
0.33874282,0.7518798,1.4440246,0.4443335,0.7958525
0.34199354,0.88248664,1.4674183,0.39867604,0.84069675
0.33464196,0.89343524,1.4701263,0.40664744,0.8289462
0.32285458,0.91147816,1.4923816,0.41166607,0.81744295
0.3227634,0.9323591,1.4547005,0.4113486,0.7618341
0.351443,0.81876534,1.491881,0.43336323,0.8563418
0.28498077,0.82046866,1.3829058,0.4052973,0.81936234
0.2529826,0.86630243,1.391866,0.40879107,0.71418023
0.32409653,0.94152087,1.4214829,0.38646695,0.7722825
0.19412784,0.8349592,1.4724958,0.38854027,0.914709
0.29487813,0.86100286,1.4548482,0.40412146,0.84171695
0.26312727,0.834483,1.4916544,0.41101807,0.8886181
0.4020559,0.94831115,1.4953349,0.36565354,0.71995044
0.34296227,0.7604062,1.3733954,0.45443344,0.8118683
0.4114479,0.78099644,1.4702826,0.44143036,0.8267568
0.26843348,0.8345233,1.4990244,0.402002,0.83225596
0.35569134,0.876789,1.4669931,0.4183112,0.80189294
0.34828222,1.0556548,1.4720824,0.3802531,0.7534742
0.39135915,0.89015514,1.49871,0.39744982,0.71349853
0.32062578,0.84374326,1.4307479,0.39807788,0.83948874
0.24908257,0.77883244,1.4870169,0.4406672,0.8804017
0.34587198,0.86775374,1.4841353,0.435035,0.8233669
0.2977031,0.8132522,1.4403746,0.4371536,0.86698395
0.3276854,0.7956557,1.4763925,0.439395,0.8250097
0.3401605,0.8334951,1.4307537,0.40454638,0.81777763
