v_norm,a_0,w_s_eff,t_0,alpha_gain
0.51499593,1.6807747,1.2913456,0.46917105,0.7354108
0.48070902,1.7200868,1.4447623,0.42597052,0.85197794
0.60534805,1.9581474,1.2845347,0.40731692,0.60964715
0.55806834,1.7757467,1.1679457,0.45850024,0.586369
0.50520235,1.7748094,1.4006569,0.40436155,0.6993452
0.6290119,1.8477663,1.4102092,0.4025766,0.7065474
0.60255075,1.7471473,1.4347402,0.461717,0.69587725
0.5024049,1.7973546,1.3298572,0.4355597,0.7188013
0.53064764,1.7579496,1.4550269,0.4573077,0.7295339
0.5660829,1.8790358,1.4111377,0.42743772,0.7084017
0.54009914,1.9113182,1.4629354,0.4556995,0.6823887
0.4828683,1.851941,1.4696907,0.4182446,0.73862505
0.54765636,1.7857348,1.4872226,0.41233635,0.7956734
0.607546,1.7023954,1.4073175,0.4904785,0.74293786
0.56309104,1.8056682,1.4183105,0.4974304,0.64963114
0.57123196,1.8159022,1.3808848,0.4504775,0.69326514
0.54325664,1.7834073,1.4858761,0.40827274,0.78221947
0.5590639,1.7381117,1.4862391,0.47257033,0.6992703
0.5638945,2.0028868,1.4577003,0.39633298,0.6479233
0.49516466,1.650987,1.4751073,0.44444925,0.8027539
0.58202153,1.683637,1.3397133,0.53221744,0.6955117
0.6285378,1.6902294,1.4910002,0.5112636,0.7027394
0.4713323,1.8797722,1.4007728,0.36136654,0.7850008
0.5660246,1.6969889,1.3586819,0.52419305,0.643555
0.57180625,1.8549262,1.4175062,0.4125848,0.67032456
0.52537954,1.979126,1.4843596,0.36458552,0.75614184
0.5906342,1.7186466,1.4321334,0.45491692,0.73552126
0.57520455,1.9707013,1.3880842,0.3855791,0.6578485
0.613022,1.7680811,1.4295126,0.4671233,0.6623663
0.589328,1.7052068,1.3746096,0.504328,0.6246662
0.5967638,1.9599527,1.4310416,0.4390541,0.6897585
0.5519747,1.797298,1.4517365,0.446468,0.7510655
0.48018545,1.6653608,1.2547033,0.4352621,0.79403627
0.563617,1.8703865,1.490983,0.46585944,0.7091028
0.6282553,1.8270012,1.3292193,0.39888874,0.6533061
0.5352338,2.0278995,1.3649212,0.36454603,0.67508405
0.61063355,2.1867352,1.3866357,0.37094435,0.5875523
0.50124425,1.6765628,1.4358746,0.5344397,0.6857622
0.4848607,1.8494933,1.4296315,0.40097672,0.8052178
0.5758933,1.7884945,1.3797556,0.44047207,0.6992528
0.60288215,1.5548667,1.4755195,0.49110642,0.7565855
0.5256445,1.8075442,1.3746032,0.446196,0.64127386
0.52588236,1.6854892,1.2658559,0.50025254,0.70089537
0.50206786,1.6788512,1.4084332,0.4484218,0.77502984
0.52586406,1.7514206,1.4642769,0.44231716,0.72403926
0.53692204,1.8797147,1.4897041,0.45326945,0.75295806
0.6004536,1.7064124,1.391781,0.4801554,0.6007771
0.66638607,1.9831728,1.4060565,0.38860387,0.6607851
0.5475337,1.6961108,1.4422162,0.4246691,0.7504666
0.62759733,1.8723326,1.3327088,0.43834054,0.6348984
0.50029784,1.6208179,1.4779338,0.4546919,0.7881804
0.57927316,1.9454757,1.4934946,0.36509657,0.70037013
0.567253,1.9649202,1.4017893,0.46739432,0.611422
0.56294566,1.7426106,1.358577,0.42349893,0.7437437
0.5367127,2.022779,1.4702322,0.30121595,0.742624
0.569841,1.6509342,1.4789779,0.4679593,0.7350335
0.5675866,1.5961467,1.4884651,0.47947472,0.78679216
0.56036884,1.763507,1.4406536,0.38847876,0.78786534
0.56228065,1.8386585,1.4946624,0.4481658,0.6620761
0.5900193,1.7779952,1.4805636,0.43803248,0.68984115
0.46206707,1.7570091,1.3688618,0.41601148,0.7899239
0.6391664,2.0468004,1.4678606,0.44113207,0.59858626
0.530303,1.6947142,1.3309277,0.45098346,0.76662546
0.57067966,1.4547473,1.4480013,0.48716912,0.7953938
0.56217,2.1367972,1.3710226,0.33357206,0.6240056
0.58457875,1.7906663,1.4151182,0.43862772,0.7279168
0.5751186,1.8907697,1.32795,0.42557168,0.6898178
0.56297153,1.8781507,1.4230789,0.39905947,0.7112672
0.48197684,1.5593557,1.3506689,0.47082204,0.7637209
0.5384815,1.9564513,1.3679615,0.3642291,0.69418955
0.5763894,1.817523,1.4257389,0.47323862,0.7197541
0.532887,2.0661564,1.4694868,0.40065947,0.7040105
0.61338055,1.6549737,1.4490044,0.4994809,0.68010056
0.55175775,1.5519485,1.3559339,0.50049156,0.74963737
0.5230798,2.0412827,1.4124469,0.39092463,0.6759202
0.459864,2.01721,1.4155846,0.33783245,0.69434136
0.49939993,1.5949007,1.4806696,0.46255773,0.8014937
0.46311054,1.7372813,1.3645073,0.41966018,0.8536415
0.5338701,1.8762485,1.4891787,0.41450447,0.7508531
0.5751333,1.6615309,1.479854,0.44149232,0.8098967
0.60095304,1.8576546,1.4630874,0.44819772,0.632322
0.6281019,2.0067608,1.3785936,0.4184364,0.60802794
0.5820843,1.8419573,1.3954545,0.41514376,0.7688632
0.5529722,1.8454318,1.4305757,0.45207378,0.64400554
0.581763,1.6785074,1.3553228,0.5041007,0.64510167
0.5017256,1.6191922,1.3858113,0.4714955,0.8456463
0.56604415,1.6615573,1.1098533,0.47549504,0.71891475
0.48759997,1.6783656,1.2946725,0.4277014,0.7872057
0.51730955,1.4431304,1.2781978,0.52102745,0.7582027
0.53925633,2.0077474,1.2837641,0.39099956,0.719823
0.51277155,1.8096529,1.4959224,0.401218,0.83376956
0.620298,1.6198488,1.4443034,0.4852007,0.72111124
0.53765035,1.6869097,1.4780902,0.4497989,0.73906505
0.553672,1.7461847,1.4183613,0.47902936,0.7058124
0.55325556,1.7052109,1.3563911,0.49132934,0.64791214
0.50089854,1.4866146,1.3293054,0.5147693,0.81362015
0.51667696,1.5227319,1.2561322,0.48956504,0.73685336
0.52476364,1.7641114,1.4800115,0.48631635,0.7171718
0.5402412,1.8842151,1.4406728,0.3967574,0.7588449
0.5548053,1.9486591,1.4555942,0.35003906,0.71543074
0.53846186,1.7115235,1.4681706,0.46839064,0.732551
0.5978764,1.8329877,1.3358827,0.4639043,0.6727795
0.53182584,1.906942,1.3835595,0.3923402,0.68623173
0.5158124,1.6032075,1.2544589,0.46511516,0.72537386
0.54847926,2.036027,1.4362164,0.4086304,0.61586684
0.5223071,1.7602423,1.4070143,0.4347803,0.749617
0.513565,1.7850438,1.3918284,0.4036546,0.7580865
0.51501805,1.7484002,1.3273563,0.437098,0.6874824
0.5443529,1.5098208,1.3308401,0.5066936,0.755265
0.510287,1.8864366,1.4927033,0.38528416,0.8093337
0.5433374,1.7298627,1.2726239,0.44409153,0.77216715
0.51294124,1.6079437,1.3676925,0.4798966,0.7428148
0.5479855,2.0129983,1.4709454,0.34492433,0.79579014
0.55712414,1.6688888,1.3351954,0.48566398,0.7606452
0.57308656,1.8356327,1.4782997,0.4687871,0.76311505
0.5799343,1.7431465,1.446374,0.45354724,0.699091
0.5374238,1.7329229,1.34156,0.47384548,0.73715574
0.48040563,1.7052177,1.4136115,0.3832862,0.83686227
0.47923273,1.6820455,1.4017419,0.42312652,0.7691493
0.4987581,1.5416415,1.3342769,0.5276411,0.7157285
0.56665355,1.6208299,1.3982741,0.52496666,0.6795569
0.50922036,1.537185,1.427936,0.45888388,0.783009
0.54227155,1.3769065,1.4444983,0.5294029,0.8269477
0.5511463,1.6540415,1.350655,0.4597649,0.73117036
0.598685,1.7382681,1.3458539,0.4348556,0.695024
0.58992994,1.7909117,1.4589894,0.4165647,0.6596072
0.60473377,1.6104282,1.4211531,0.5277112,0.7331644
0.5161307,1.6619315,1.3768853,0.4584324,0.7430122
0.65933233,2.073054,1.376139,0.41983053,0.6054762
0.5794993,1.6913599,1.3483602,0.45188257,0.6927524
0.54924417,1.4783094,1.3218448,0.48406336,0.8153186
0.49042776,1.6945802,1.4446812,0.44647944,0.7970303
0.5732666,1.605754,1.3420467,0.42347816,0.78668654
0.53549105,1.6471275,1.2861395,0.4603403,0.7819245
0.5639743,1.7341738,1.4982256,0.43151653,0.8094149
0.5740044,1.5624086,1.1705948,0.51918024,0.661936
0.4769588,1.8477583,1.3463868,0.3990193,0.8117106
0.56528026,1.8432298,1.4716297,0.46761107,0.70017433
0.66684145,1.7671199,1.4278235,0.4312631,0.71497285
0.576277,1.5853392,1.2976035,0.5187423,0.7035803
0.52569824,1.6927458,1.4661313,0.5102643,0.76295227
0.5493213,1.7433833,1.3752675,0.46618435,0.7742194
0.5172557,1.6989266,1.4215233,0.41957307,0.8070583
0.5276183,1.7846354,1.390515,0.41725376,0.70203215
0.5734387,1.6305996,1.4692876,0.51526093,0.6987546
0.57195896,1.7473716,1.409633,0.45880765,0.6757596
0.539398,1.9057008,1.4107944,0.476162,0.6462633
0.545177,1.7829531,1.3512441,0.42110905,0.7411623
0.52954984,1.7907332,1.4680221,0.43674988,0.82265174
0.5677464,1.8567683,1.4192247,0.4316776,0.70371497
0.49528158,1.8536385,1.369509,0.38710326,0.78178334
0.5307021,1.6607914,1.304342,0.47181073,0.650606
0.52847403,1.9084634,1.4872353,0.4294516,0.68540466
0.51712745,1.7996904,1.3322,0.41850427,0.7379461
0.48963144,1.8978708,1.4597622,0.43701547,0.73424804
0.46469748,1.6682225,1.3019372,0.5079434,0.6735108
0.58283854,1.7660064,1.3392537,0.41285294,0.70553976
0.57729053,1.5072573,1.4105619,0.521344,0.7849464
0.6175446,1.7786973,1.4541222,0.44639578,0.6843127
0.55728847,1.7332839,1.344333,0.45063764,0.72850525
0.52277505,1.59015,1.4286844,0.49194348,0.7935514
0.6068452,1.7237793,1.2559646,0.46400985,0.69613785
0.55847096,1.6644007,1.365153,0.4101056,0.83136785
0.520096,1.7524023,1.2750196,0.46480396,0.7048571
0.49213636,1.9222549,1.4771471,0.39204243,0.7438278
0.5442972,1.6736889,1.4453048,0.4097546,0.75731087
0.6068373,1.8121053,1.3308623,0.39626372,0.64734674
0.58917975,1.8225857,1.4689296,0.43299258,0.6791837
0.54173964,1.8707457,1.4215165,0.41840553,0.64862
0.55341995,1.7393199,1.4219459,0.482256,0.66666967
0.5289716,1.3088042,1.3345126,0.54552805,0.8235613
0.5988731,1.7951523,1.3613288,0.46823344,0.67557555
0.58613575,1.6670272,1.2814419,0.4875444,0.7247351
0.5209756,1.7058161,1.4531344,0.48565027,0.6839557
0.6019514,1.6595491,1.4295018,0.50405806,0.71124786
0.5343568,1.7590147,1.4292474,0.43545038,0.7476266
0.6285988,1.7871994,1.4488952,0.42098144,0.73063046
0.51376295,1.7428608,1.42742,0.4964826,0.75264126
0.55911946,1.5920336,1.2255309,0.51911145,0.67673284
0.6098848,1.7624502,1.4079285,0.4595436,0.67094713
0.5835035,1.7377281,1.4447165,0.47892204,0.643295
0.518312,1.8002279,1.4738455,0.43236095,0.74018776
0.58636016,1.8888469,1.4016359,0.4427355,0.6677911
0.5544223,1.6512822,1.3587601,0.43337145,0.79055786
0.52552235,1.8318492,1.4747446,0.44707653,0.7179778
0.5278878,1.8299916,1.4972091,0.4150468,0.81445396
0.5871301,1.4807967,1.4556715,0.5317989,0.706954
0.59647214,1.5899985,1.4171098,0.4716583,0.74618703
0.5603421,1.9697778,1.4567794,0.3804958,0.6989922
0.574101,1.7099946,1.4004099,0.4574913,0.78396153
0.531077,1.8803946,1.4521865,0.38359755,0.8140439
0.4977746,1.4065555,1.3955324,0.51002103,0.8556282
0.5255656,2.0173125,1.4401311,0.37011975,0.7403808
0.5468501,1.5691873,1.3443929,0.4817598,0.7583175
0.5069186,1.477837,1.2744954,0.47242135,0.8452889
0.5496024,1.7275518,1.3597833,0.39876333,0.74960315
0.528831,1.4797258,1.2944202,0.5356025,0.7283145
0.5198837,1.6986704,1.4443411,0.43974137,0.74111485
