v_norm,a_0,w_s_eff,t_0,alpha_gain
1.9189256,0.5362082,0.25963783,0.5553195,0.5005349
1.849429,0.53786474,0.29195926,0.5646834,0.5008032
1.9216372,0.52910227,0.38697094,0.5524538,0.5357303
1.9108227,0.5899765,0.7190126,0.5522176,0.5399126
1.9229282,0.5308891,0.3191565,0.54970616,0.5551184
1.917248,0.5277514,0.36759412,0.5610475,0.5023402
1.7814206,0.61376584,0.25501272,0.5531754,0.53618485
1.9940712,0.58631736,0.2620517,0.5423285,0.5505497
1.9173875,0.52747095,0.38185808,0.5697464,0.5175724
1.848149,0.5991634,0.22849853,0.5189327,0.5567595
1.8676776,0.6000063,0.20951255,0.5551613,0.5106329
1.9281656,0.54142195,0.31978744,0.5688224,0.5038379
1.9865828,0.52800375,0.40792754,0.55522954,0.58769447
1.974319,0.5127536,0.21038237,0.56018174,0.5447708
1.9886508,0.57079285,0.58568627,0.5627211,0.53741074
1.974215,0.519235,0.3485473,0.5670483,0.51196283
1.9643673,0.52404314,0.46674535,0.5689329,0.6032636
1.9152099,0.5206136,0.34784943,0.5640071,0.5529337
1.7300291,0.53626186,0.3749234,0.55604655,0.6004172
1.8557374,0.6016821,0.30946103,0.53425837,0.5910582
1.9982259,0.5587389,0.22351536,0.567844,0.53612244
1.8656831,0.5453748,0.22321993,0.5573996,0.5191888
1.824773,0.528214,0.24820043,0.5734295,0.5340031
1.9615285,0.5434612,0.2894837,0.57024837,0.5299194
1.9859486,0.5196509,0.34157217,0.57542044,0.5230019
1.9375969,0.51189816,0.6729662,0.57727075,0.5490592
1.8752477,0.5651712,0.22906329,0.55487263,0.5054447
1.9783818,0.5181115,0.6517248,0.560524,0.59415203
1.7968584,0.522174,0.42375678,0.5537755,0.5771574
1.9156317,0.57560915,0.55570555,0.5720777,0.50845736
1.9886523,0.5985646,0.4730382,0.5539318,0.5050703
1.7864202,0.57445157,0.24553068,0.5560079,0.53933316
1.7393607,0.6012264,0.43395585,0.5505614,0.5190801
1.9878781,0.5773662,0.44381824,0.57056975,0.5163736
1.9624219,0.5373689,0.20937604,0.56288975,0.51161224
1.8947036,0.5987547,0.53604865,0.5670672,0.50101864
1.9122734,0.5017868,0.4472706,0.5893411,0.5039019
1.8235618,0.56599903,0.40353137,0.55736023,0.5334721
1.8798652,0.5230755,0.20909508,0.57936066,0.50058085
1.9649206,0.53928125,0.35726333,0.5746107,0.50588894
1.8984303,0.51054186,0.22360402,0.55894786,0.509576
1.827664,0.6105954,0.4586754,0.5486539,0.5402011
1.9590596,0.51301837,0.24270475,0.55896145,0.5214685
1.9579974,0.5557785,0.41102287,0.5599529,0.53362167
1.9188544,0.5760523,0.3652682,0.5480039,0.50328696
1.951403,0.53213125,0.5019597,0.55991066,0.5780881
1.9694414,0.63980615,0.2853492,0.533699,0.5052048
1.8231403,0.50070083,0.71886253,0.5659592,0.5317599
1.9831496,0.5368901,0.45965877,0.56043667,0.51191723
