v_norm,a_0,w_s_eff,t_0,alpha_gain
0.35240594,1.3398677,1.4091872,0.452033,0.8014477
0.33861724,1.2569386,1.3587282,0.4345611,0.9607038
0.4101857,1.4172975,1.3504782,0.4525384,0.8490223
0.2920753,1.2444915,1.4909931,0.44806263,0.95285267
0.37421766,1.4028326,1.4985297,0.4136403,0.8357216
0.4826153,1.4296285,1.4115084,0.44387174,0.8101259
0.32165065,1.5381404,1.4854709,0.35540512,0.896898
0.3750935,1.2569915,1.4531813,0.47028312,0.8757355
0.36466336,1.5680609,1.3560718,0.35552716,0.93111825
0.3860837,1.2386472,1.4783173,0.4616513,0.8207382
0.36392388,1.223767,1.4909633,0.4543435,0.894615
0.36587697,1.5020651,1.4653784,0.3561467,0.8718436
0.45418414,1.5232683,1.4398153,0.40454847,0.8083676
0.28840557,1.2663767,1.3373953,0.41885984,0.93186116
0.36635226,1.061751,1.4015883,0.47138947,0.9570448
0.38077116,1.2743593,1.4345434,0.45098963,0.91934305
0.44115734,1.2466167,1.426979,0.4873574,0.81655663
0.35617924,1.476322,1.4851459,0.34950167,0.8739662
0.46619144,1.315296,1.3620288,0.4844523,0.8098292
0.3225672,1.4155184,1.401055,0.42226845,0.93694544
0.39667925,1.4557812,1.3966575,0.37400532,0.89267594
0.31617892,1.3088465,1.4776344,0.44225425,0.8533847
0.35636917,1.4209039,1.435419,0.40718454,0.90019363
0.34225735,1.4648373,1.3448039,0.35856694,0.91984004
0.40787175,1.3923626,1.4072239,0.4162376,0.812127
0.32052636,1.3990086,1.47421,0.42530477,0.7884717
0.44705355,1.425022,1.4168789,0.39294317,0.89445454
0.35193065,1.3663487,1.3399272,0.394125,0.9500765
0.36271748,1.3869202,1.4455352,0.37673417,0.9625728
0.43004987,1.3202065,1.4939017,0.42562708,0.89537907
0.50105333,1.617551,1.4641241,0.3577755,0.7527672
0.4081426,1.3130302,1.4249722,0.45884728,0.77454644
0.37617633,1.3501256,1.3995289,0.43305793,0.93823266
0.41303083,1.5303329,1.4324908,0.3889632,0.8062971
0.33075643,1.365966,1.4590803,0.44642878,0.80419666
0.466518,1.5359087,1.4601128,0.38764036,0.8213817
0.37146914,1.3703238,1.4646779,0.38508174,0.97065955
0.39257142,1.4941212,1.3473803,0.35437697,0.88908994
0.3446629,1.3611006,1.4038466,0.41600138,0.8723199
0.33373213,1.4310062,1.4915724,0.38800028,0.9407843
0.34362176,1.0887088,1.4823524,0.49575776,0.9222323
0.41218376,1.2989643,1.4353594,0.4725667,0.86899436
0.36096793,1.2009348,1.4424154,0.46095777,0.969876
0.33594006,1.3329171,1.465233,0.43135563,0.8609884
0.32714257,1.3861301,1.4486,0.45467973,0.8281377
0.31049037,1.3629578,1.4854238,0.38527566,0.94464856
0.4194553,1.5363728,1.4817057,0.41112116,0.877883
0.42008853,1.4103034,1.4077075,0.4522129,0.76901007
0.40964296,1.4003093,1.4481195,0.41011694,0.91240144
0.33474004,1.2707595,1.4711809,0.42227304,0.96946037
0.42017445,1.3001068,1.4900512,0.4284946,0.9095421
0.31127137,1.3976039,1.4801139,0.41880217,0.8394789
0.315768,1.446265,1.4629604,0.39272302,0.9231744
0.35801086,1.3230083,1.4090906,0.43655178,0.9472333
0.30674446,1.2687223,1.447005,0.4695943,0.9465861
0.41371876,1.1715636,1.3707312,0.5108883,0.94195473
0.33387744,1.2547185,1.4130948,0.4394931,0.98282576
0.40867656,1.3505442,1.4798375,0.4229355,0.9310405
0.3086642,1.1638584,1.4240869,0.45953673,0.967326
0.32882658,1.3532898,1.4787371,0.42294344,0.97552603
0.41412058,1.4111401,1.4778249,0.4095963,0.80838305
0.37366867,1.4718887,1.3403641,0.38751283,0.82971054
0.36419988,1.2762169,1.446578,0.47186968,0.9041725
0.24935858,1.2914318,1.4334148,0.45855784,0.89117295
0.35952818,1.5301766,1.484791,0.38686687,0.781959
0.34187487,1.3329915,1.4864686,0.42312685,0.97240937
0.30775452,1.3133537,1.3450701,0.39818266,0.9849923
0.368196,1.4255923,1.3479983,0.40496707,0.82000166
0.34487146,1.3356906,1.4099814,0.41389742,0.9153465
0.46791777,1.5057347,1.4862914,0.3619965,0.8937245
0.32981074,1.4985319,1.4965225,0.32717806,0.96042925
0.345591,1.2668662,1.4011258,0.42588368,0.93663734
0.3272929,1.2983558,1.4452991,0.42388144,0.8984257
0.3277703,1.420714,1.338516,0.41732237,0.89896655
0.43877944,1.210811,1.3752469,0.4581088,0.8521367
0.3832821,1.3089087,1.4757965,0.46203983,0.9107469
0.31815726,1.2591829,1.2659507,0.48851788,0.8737411
0.3555802,1.4454209,1.4862255,0.40649202,0.9353306
0.41433948,1.3087988,1.4423022,0.47735792,0.81901675
0.35764357,1.455923,1.4946336,0.32829842,0.9172924
0.33450037,1.2862742,1.4435898,0.4307402,0.9683168
0.40257052,1.5017164,1.446837,0.38456115,0.883987
0.40421405,1.3600414,1.4642369,0.41991624,0.8646585
0.41257867,1.4267522,1.4548813,0.35279593,0.9248356
0.26177824,1.2484792,1.4573047,0.43321544,0.99181896
0.2835428,1.3360049,1.3790829,0.42228553,0.97476536
0.34040686,1.3472236,1.4284236,0.3735166,0.96738195
0.4588166,1.2757498,1.4883285,0.4623204,0.82528126
0.3980054,1.5081983,1.4920466,0.3950148,0.9192026
0.3478811,1.4169992,1.4777358,0.40362936,0.86671466
0.32793877,1.4449905,1.3363379,0.3986803,0.8695263
0.41043544,1.4222785,1.4974295,0.40213987,0.9305788
0.43172842,1.3987712,1.4173449,0.42384845,0.87530994
0.28946236,1.281731,1.324817,0.44621685,0.9274788
0.40154752,1.326059,1.4403465,0.4161742,0.8680338
0.31981084,1.3819195,1.4522628,0.4041964,0.8872585
0.33339024,1.1626858,1.4407206,0.5027442,0.91658765
