v_norm,a_0,w_s_eff,t_0,alpha_gain
0.63845193,1.5878296,1.3917125,0.46458268,0.75067323
0.6251249,1.81654,1.4340279,0.48743063,0.6580574
0.6218086,1.9445969,1.4459344,0.40553313,0.7470632
0.62990075,1.6443323,1.3446807,0.44768614,0.8298016
0.5895297,1.7133867,1.446956,0.45928207,0.7709891
0.6359953,1.832125,1.4582322,0.43190292,0.7732346
0.63351196,1.7403675,1.4707966,0.4948138,0.7271019
0.6267961,1.9603633,1.4117411,0.5079162,0.626105
0.65514964,1.8286731,1.3994474,0.41188473,0.6540589
0.55140406,1.7143217,1.4625721,0.4727374,0.8019904
0.63325566,1.8542998,1.416705,0.42859873,0.71195805
0.6581207,1.5339062,1.4791157,0.5100691,0.7674753
0.52765286,1.6259567,1.4202822,0.48588163,0.8103683
0.6635492,1.6890787,1.3863617,0.45433518,0.738109
0.620475,1.8698802,1.4421475,0.36815855,0.80533516
0.65893203,2.0065503,1.494869,0.41677317,0.6727838
0.58878636,2.0021405,1.4488064,0.3676865,0.69802034
0.5749157,1.661893,1.3907267,0.47213855,0.7295863
0.5287953,1.7718124,1.4266768,0.45455584,0.80128473
0.6213897,1.7994188,1.2487775,0.38417217,0.72224915
0.5925226,1.6282698,1.3217927,0.4936045,0.78266835
0.59503144,1.5253893,1.3232223,0.5007461,0.78448623
0.6615321,1.835236,1.4574562,0.43524867,0.689107
0.5545328,1.9520168,1.4867281,0.40754104,0.7186628
0.6860809,2.037678,1.4659654,0.3589045,0.7142515
0.63158727,2.013892,1.4802494,0.4572612,0.6552041
0.57432324,1.8921125,1.3693184,0.37070972,0.72320837
0.6426124,1.8360813,1.3505622,0.45978874,0.6558258
0.5937776,1.9711813,1.4885081,0.38860673,0.78641707
0.6943529,1.9904925,1.3897303,0.38507774,0.698041
0.5303472,1.7572922,1.4109225,0.46838692,0.76437986
0.5984775,1.7220563,1.4239773,0.43988964,0.7726062
0.6104678,1.8389962,1.3173062,0.44520932,0.68095875
0.62318546,1.9114633,1.4374363,0.4066829,0.72955
0.6050988,1.6818877,1.4550042,0.5107086,0.6618869
0.65672386,1.7267058,1.4345082,0.42421287,0.7379509
0.6695442,1.7242069,1.4989994,0.45527366,0.7764957
0.60574824,1.6882622,1.4532005,0.40884858,0.8206987
0.61460745,1.6149069,1.4287523,0.5132429,0.73984987
0.5751393,1.7004626,1.4909738,0.45598093,0.75832546
0.61115843,1.9228377,1.3319864,0.44888824,0.73795587
0.65199053,1.8354949,1.473972,0.39512533,0.7781015
0.6323648,1.7836123,1.3676327,0.45114583,0.6891549
0.5621349,1.9100136,1.4035099,0.38240153,0.7581554
0.62353855,1.9446294,1.4256525,0.43321937,0.69359845
0.5806,2.018322,1.4191134,0.40292907,0.65105206
0.6462216,1.9302315,1.387478,0.43559694,0.678558
0.5461239,1.7703346,1.4525337,0.42914724,0.83083194
0.55486035,1.6235092,1.4149182,0.4649497,0.8206983
0.53901297,1.633797,1.3764303,0.44220042,0.84699035
0.5952749,1.8411416,1.4803244,0.4462291,0.7280965
0.6059006,1.7414687,1.4094763,0.46425137,0.7799768
0.585023,1.6441518,1.3279133,0.45458996,0.81510925
0.66592425,1.7986815,1.389506,0.4434275,0.698888
