v_norm,a_0,w_s_eff,t_0,alpha_gain
0.5077444,1.5451291,0.28931817,0.2967312,0.63468164
0.38786265,1.3920792,0.3834343,0.42416,0.81326747
0.46978134,1.560296,0.41057923,0.3809304,0.6843368
0.37076178,1.3979748,0.63649225,0.38127032,0.94525373
0.44573307,1.5712811,0.6392465,0.31082815,0.8181912
0.40232697,1.6448765,0.62288105,0.2732137,0.81442916
0.39006355,1.2455189,0.59168667,0.4112083,0.8093917
0.36773068,1.1846701,0.3211663,0.38037702,0.92319775
0.35846055,1.6761355,0.6855952,0.25942543,0.79648966
0.3527216,1.5321991,0.5818255,0.30737853,0.8245703
0.4161788,1.729366,0.25537091,0.24232484,0.63896465
0.3537418,1.6936214,0.31623748,0.28656954,0.7281605
0.49455407,1.8751961,0.54599446,0.32228652,0.64212644
0.4370343,1.3133917,0.40229526,0.3893622,0.8842169
0.3766476,1.4087019,0.24328873,0.369699,0.793734
0.38320807,1.6318948,0.56369686,0.3155505,0.75822914
0.41882694,1.6204139,0.5890454,0.3420052,0.7925411
0.30787754,1.5176611,0.33772713,0.33508253,0.7825895
0.36126053,1.4751608,0.4724185,0.376137,0.78460497
0.45344147,1.1597483,0.5036017,0.44730762,0.935292
0.31948495,1.525434,0.6933517,0.29479033,0.9333533
0.34324163,1.6495695,0.4531293,0.32815316,0.6902893
0.44461152,1.5076826,0.46912104,0.38050446,0.77981603
0.33011916,1.5981466,0.4967386,0.30552047,0.7924653
0.39365184,1.5898783,0.58580774,0.3113019,0.7626756
0.30752146,1.4069915,0.30811906,0.40461913,0.8065068
0.3905308,1.5994434,0.24159922,0.29217598,0.73003507
0.4109304,1.4628234,0.60063446,0.34296155,0.7895132
0.4333956,1.448253,0.44329438,0.3358652,0.7163924
0.3921094,1.5321391,0.4178261,0.27473468,0.8257011
0.46021402,1.6365396,0.41435283,0.37261552,0.7378119
0.44112688,1.5875432,0.61557114,0.31987643,0.7750223
0.4649643,1.6710963,0.56452495,0.30459496,0.69496137
0.37849572,1.3850118,0.52798563,0.37002912,0.91887695
0.41819444,1.829462,0.7366733,0.2869823,0.78593266
0.44853595,1.7165996,0.24748167,0.2780243,0.7246131
0.40158197,1.3966357,0.27055544,0.37458542,0.7519708
0.37205452,1.6164268,0.41612238,0.18096742,0.84995157
0.36505786,1.4897219,0.66081536,0.3324156,0.9054498
0.4080072,1.3986889,0.51828617,0.32808182,0.86110026
0.4428843,1.4711621,0.50360316,0.43145415,0.6953468
0.35099533,1.570259,0.72803295,0.27874553,0.8208973
0.40860415,1.5291975,0.5587229,0.32072482,0.8205539
0.4066892,1.4635607,0.32164693,0.33073142,0.76313436
0.42099422,1.186719,0.2610269,0.44841373,0.79302156
0.38203168,1.5704802,0.35839686,0.2984796,0.7669787
0.5020832,1.468089,0.5318406,0.41784483,0.7155035
0.40419462,1.6737736,0.5464843,0.23480904,0.8143512
0.33876827,1.477215,0.31296426,0.28455946,0.8348244
0.3672398,1.3817506,0.6489415,0.3725516,0.87421185
0.43410543,1.7308766,0.5077417,0.27950191,0.7243626
0.3807315,1.5956339,0.4524846,0.29256013,0.81768507
0.4313028,1.499882,0.264752,0.30899197,0.8254487
0.4255444,1.4387057,0.46612665,0.27143836,0.84014463
0.32772934,1.4535389,0.64508975,0.4197855,0.8003405
0.41065392,1.700812,0.5111162,0.24899817,0.7296519
0.4401169,1.3725963,0.39932513,0.40018353,0.84568405
0.35212234,1.428665,0.6416403,0.44320777,0.79277426
0.42950472,1.555207,0.372372,0.2812009,0.7162523
0.35526368,1.7103015,0.36084008,0.22290505,0.7903143
0.33108306,1.5328728,0.38243303,0.30993322,0.84408736
0.41112745,1.6431249,0.6914728,0.32127967,0.80169845
0.379093,1.2302915,0.40568483,0.4082744,0.8142504
0.40335375,1.693937,0.6877761,0.2765239,0.7371299
0.41847798,1.6510991,0.3556335,0.33407047,0.7660209
0.34414354,1.3687432,0.20643325,0.36745048,0.862604
0.47226137,1.465437,0.52372515,0.37514454,0.71129686
0.32784674,1.3661271,0.47255233,0.30739352,0.83229727
0.4360734,1.809624,0.4509673,0.29529554,0.6620738
0.34351063,1.6102716,0.6685802,0.23460785,0.8846888
0.33553723,1.5734819,0.38485768,0.32167324,0.74009115
0.4358464,1.5923809,0.4106776,0.3130708,0.68925136
0.35795715,1.4879409,0.60917383,0.25807837,0.9896814
0.34573433,1.6662481,0.4239458,0.25621405,0.79061157
0.37012404,1.5172122,0.39868394,0.2988898,0.858667
0.4078647,1.4720436,0.63082093,0.31812963,0.8767095
0.47642234,1.6557256,0.54090244,0.24921267,0.6692342
0.3367825,1.2150367,0.3672362,0.394572,0.9333393
0.41599098,1.3906595,0.5300266,0.34871227,0.9235351
0.37905324,1.9709742,0.7950823,0.20530869,0.7678564
0.42999968,1.5643802,0.5335034,0.34495947,0.7613875
0.33204374,1.3578641,0.39470872,0.34480414,0.9554291
0.3727734,1.4180171,0.5020342,0.34125304,0.8957813
0.35926986,1.660328,0.6225799,0.31426868,0.76136065
0.4047824,1.6881944,0.335277,0.27026618,0.738537
0.4304134,1.5407864,0.47657174,0.29781258,0.76123583
0.424708,1.4385353,0.44583678,0.3228226,0.8841351
0.4349048,1.2797613,0.27197272,0.47315753,0.7519903
0.40145782,1.3808852,0.34707,0.42707673,0.8230792
0.3907459,1.4751071,0.68349314,0.37117243,0.8465572
0.38146934,1.4487238,0.26072943,0.34592697,0.7363248
0.4127037,1.5985712,0.556543,0.30219385,0.7937346
0.37935486,1.134952,0.28551766,0.41558573,0.83323413
0.40301168,1.5897548,0.46361443,0.3280785,0.7213286
0.31628484,1.5872548,0.40632895,0.259057,0.83651924
0.5112423,1.6031662,0.47030348,0.29483345,0.683583
0.36174875,1.3888962,0.38643414,0.36565545,0.7929569
0.37990794,1.4653898,0.21989234,0.2723494,0.7658207
0.3944533,1.4345738,0.369364,0.3443751,0.8518839
0.36647168,1.2477078,0.22645183,0.38983947,0.81151605
0.3217912,1.3416768,0.40233362,0.38988087,0.89102465
0.41421333,1.2675701,0.43275115,0.4292117,0.7911656
0.41730586,1.4616841,0.42155328,0.32049745,0.77353466
0.39355332,1.4174825,0.4150767,0.36151332,0.8329657
0.4670577,1.4858576,0.6396329,0.293798,0.88526535
0.3506716,1.5287507,0.41587108,0.34163886,0.87839854
0.41659972,1.5260671,0.5996246,0.30969185,0.8436672
0.4068204,1.6322589,0.5044673,0.3236522,0.8376283
0.39387658,1.3954642,0.44368878,0.37282157,0.8185797
0.4038562,1.4324831,0.47847724,0.33059642,0.8972805
0.42923692,1.5644066,0.5508301,0.34618512,0.8157423
0.40487686,1.5305306,0.5535546,0.34711003,0.7525138
0.3980362,1.5404861,0.36833197,0.29986364,0.8149157
0.37389502,1.3426849,0.3914071,0.3818451,0.88575697
0.3843479,1.3148296,0.5049534,0.38682777,0.87681127
0.40443873,1.6188865,0.45199645,0.28620008,0.77563655
0.3287797,1.3514626,0.32591358,0.41194355,0.7978822
0.45183638,1.6958266,0.55917525,0.26606902,0.7696381
0.43140602,1.4631548,0.4149579,0.3101401,0.78156006
0.4892351,1.6917281,0.46600157,0.2630104,0.75754714
0.42814568,1.3810817,0.37514415,0.38699389,0.76831985
0.37185946,1.4397712,0.40715498,0.32699367,0.7710754
0.34917498,1.7020719,0.83573556,0.25800878,0.87823004
0.3734465,1.6684214,0.6380626,0.2919287,0.8713324
0.36572772,1.3067882,0.4260975,0.39751083,0.8044644
