v_norm,a_0,w_s_eff,t_0,alpha_gain
0.6631999,1.7447876,1.4714881,0.41620174,0.74972945
0.57118064,1.7383935,1.359042,0.36612573,0.77231306
0.6096721,1.6566036,1.393459,0.435623,0.6437657
0.6343999,1.7925599,1.483662,0.4082279,0.7639535
0.6774502,1.6671228,1.4329083,0.42519975,0.67471987
0.60511935,1.6639564,1.4919512,0.37776902,0.7892759
0.6510908,1.52534,1.4613708,0.4610473,0.73840487
0.62111425,1.5595056,1.4902841,0.4513306,0.77870804
0.64351004,1.7775903,1.3853827,0.39739937,0.71005124
0.6804873,1.6317482,1.4429129,0.45962843,0.6621622
0.54352534,1.6919627,1.357985,0.43358308,0.7514835
0.5967855,1.694697,1.4414612,0.3844627,0.82924384
0.5210312,1.3513391,1.4785936,0.47629675,0.8436269
0.61137295,1.7660569,1.4937036,0.42521444,0.7752589
0.6614444,1.997144,1.4407613,0.36244434,0.5803213
0.60701543,1.8586731,1.4624534,0.35793296,0.70907646
0.6493387,1.821384,1.444881,0.41185874,0.71200764
0.58422863,1.6891594,1.4995155,0.42092976,0.7561657
0.6221032,1.7562146,1.4478114,0.42849734,0.67864114
0.6260034,1.6858988,1.4479784,0.3943663,0.71759284
0.60337055,1.6792938,1.4349158,0.42887726,0.68655175
0.65728295,1.6582943,1.4745824,0.43349344,0.6911777
0.65608513,1.6509955,1.4886345,0.41590795,0.6885243
0.66612035,2.0942712,1.4988045,0.31339443,0.7034496
0.59467983,1.64773,1.3840277,0.44156387,0.7310786
0.638084,1.7265168,1.4449214,0.43331295,0.7179533
0.64709747,1.7257428,1.4015523,0.45952997,0.7280569
0.67209107,1.5888413,1.4511435,0.4407787,0.734396
0.5796269,1.6308697,1.4758878,0.43206266,0.77803355
0.5901983,1.9191566,1.4736791,0.36155933,0.65861666
0.57606566,1.6735212,1.4582859,0.3943203,0.84168637
0.6208564,1.9266402,1.4863491,0.35319728,0.69207424
0.6000364,1.6784948,1.4762597,0.43574166,0.7779281
0.6213132,1.5697898,1.4254346,0.40749973,0.8311877
0.53080887,1.6070052,1.4872463,0.4303311,0.7693782
0.68981797,1.6717701,1.391197,0.4125649,0.69174856
0.6923651,1.5259426,1.4839612,0.46911323,0.67157197
0.6655875,1.7041966,1.4153726,0.408446,0.6623294
0.5386471,1.6883566,1.4845606,0.4461256,0.7046109
0.5710759,1.6580291,1.4348541,0.4468771,0.68905807
0.61133194,1.7612587,1.4824793,0.38525596,0.7043255
0.625352,1.7047381,1.4867889,0.42881468,0.65308845
0.61791635,1.7995954,1.416834,0.38388583,0.6735706
0.546158,1.5171156,1.4510934,0.4822893,0.7658681
0.5882722,1.5776763,1.4140131,0.43019298,0.7556244
0.57495946,1.5566566,1.3141259,0.45355883,0.7129022
0.59374315,1.700182,1.4175117,0.40367305,0.7713507
0.60573924,1.6909878,1.4688013,0.41649145,0.7229796
0.56591666,1.7856827,1.4918389,0.35725385,0.79149854
0.616264,1.696079,1.4547573,0.40645862,0.7515864
0.58908856,1.6996145,1.4409703,0.4354104,0.72611463
0.5946138,1.6172123,1.4421993,0.45531115,0.68932277
0.6558483,1.6299601,1.3936872,0.4459665,0.71165955
0.55704206,1.7696335,1.3878359,0.38129184,0.74010634
0.6038183,1.605124,1.4517502,0.39445284,0.7233262
0.60719705,1.7129332,1.4196242,0.4476831,0.70861894
0.65680164,1.7759658,1.4689249,0.38962826,0.72619355
0.47416428,1.6796062,1.4346685,0.36950418,0.7348461
0.6042233,1.9519329,1.4847614,0.3257852,0.723153
0.5767714,1.5565788,1.4239202,0.46151415,0.7490632
0.5375869,1.4909909,1.4435252,0.4464574,0.94404185
0.59896123,1.9481345,1.4527913,0.35900494,0.6393335
0.6031877,1.6366023,1.4229416,0.37818477,0.82139957
0.67237973,1.6683205,1.4021926,0.40526426,0.6998427
0.66032517,1.626867,1.3067272,0.41897467,0.6971819
0.7058498,1.7477973,1.4483203,0.42290574,0.6772874
0.74350524,1.6357719,1.4227564,0.45512852,0.7150725
0.59715986,1.7005249,1.3489219,0.4116954,0.7327535
0.58334553,1.812265,1.4939098,0.36297768,0.74263775
0.5655543,1.8452325,1.4283605,0.3741977,0.7340287
0.65771705,1.7080855,1.3713436,0.39281905,0.70528656
0.5584704,1.7597419,1.4845961,0.38812512,0.7499513
0.6294618,1.6698097,1.499612,0.39451984,0.82816744
0.6386842,2.0024207,1.4995149,0.3492071,0.69405746
0.53226036,1.7071778,1.4898036,0.4145588,0.7001597
0.565279,1.661895,1.488602,0.40338153,0.7361895
0.5844763,1.7981725,1.411998,0.38759336,0.6881785
0.60818964,1.5386161,1.4857848,0.45897248,0.79977757
0.6360584,1.6476134,1.4521044,0.45426726,0.68250364
0.58086205,1.6361507,1.4678252,0.44547817,0.7106679
0.56667256,1.7338818,1.4071122,0.4238889,0.6748161
0.5840716,1.6309474,1.464281,0.4041496,0.7840841
0.6306336,1.7352412,1.4760282,0.43460482,0.6506416
0.6181347,1.666766,1.4503407,0.40134543,0.70870626
0.5779189,1.5535367,1.4040293,0.41128042,0.8014837
0.6011731,1.740925,1.3528198,0.41588005,0.68734944
0.6104592,1.6401745,1.3929272,0.41745123,0.73831844
0.5629206,1.5981033,1.3975712,0.4383508,0.704222
0.5788889,1.7602981,1.4106375,0.37238005,0.74582124
0.59334624,1.4275156,1.278493,0.45074785,0.75600433
0.6338056,1.7272522,1.4984633,0.39993626,0.74281454
0.72495925,1.7742032,1.4455966,0.39488497,0.68605024
0.6141628,1.7109189,1.4869609,0.43452495,0.7651176
0.62573177,1.6095781,1.4292737,0.40555125,0.752235
0.6190391,1.8152157,1.4322064,0.37584782,0.7245856
0.6453791,1.6579275,1.4629284,0.3916639,0.767448
0.54525745,1.4979993,1.4973054,0.4725353,0.82195807
0.60598534,1.728662,1.4953837,0.4383744,0.6350347
0.72127074,1.5514933,1.493293,0.48890284,0.7004317
0.58618635,1.6892871,1.4875302,0.42546505,0.7164389
0.6490763,1.7124835,1.380447,0.42751107,0.72273624
0.5627647,1.5029607,1.4595556,0.43681952,0.8166736
0.6627539,1.6416155,1.387094,0.43604556,0.72267395
0.6014218,1.6980592,1.4711449,0.3847745,0.7868238
0.57187265,1.8194355,1.4206494,0.4330724,0.61899203
0.5910882,1.747516,1.4002079,0.38960102,0.7504442
0.70464236,1.716371,1.4755276,0.44920808,0.6277914
0.60230684,1.4872832,1.4568361,0.4890904,0.80755335
0.5681039,1.578296,1.412776,0.43622425,0.69283813
0.50395364,1.768278,1.4507447,0.4286042,0.7106822
0.6378048,1.5849093,1.4074717,0.45915774,0.7034465
0.62336355,1.6765821,1.3959479,0.43414116,0.7492151
