v_norm,a_0,w_s_eff,t_0,alpha_gain
0.28081974,0.8679179,1.3762801,0.42170718,0.8928257
0.34539148,0.8772267,1.4379681,0.4432289,0.75132835
0.30518615,0.9132345,1.4408295,0.41806397,0.828563
0.3494491,0.82376677,1.4725319,0.44091964,0.91133666
0.39693218,0.89318275,1.4999782,0.4572386,0.7925406
0.38306046,0.85900426,1.4299235,0.4581978,0.7866611
0.3782125,0.8508422,1.4807869,0.4151862,0.8654718
0.3493897,0.92791486,1.4478855,0.4229152,0.7619996
0.28851032,1.0095628,1.4713167,0.38818327,0.8546541
0.24006923,0.7180514,1.4229058,0.49362922,0.88681346
0.32710686,0.9120722,1.4754502,0.40512428,0.8835891
0.22311178,0.81030554,1.4922837,0.43573403,0.93133855
0.27096707,0.90663165,1.4941292,0.41818324,0.89041114
0.3243822,0.8673156,1.470662,0.43969622,0.88079476
0.3209214,0.94230795,1.490646,0.3970626,0.8440104
0.1990839,0.9115665,1.4806478,0.41640833,0.9027023
0.34652328,0.99246234,1.4599143,0.43069836,0.82270426
0.19327387,0.9300721,1.4054964,0.37323517,0.8835099
0.30446982,0.75626034,1.4376132,0.4493685,0.891766
0.24252196,0.8899536,1.488345,0.43173772,0.81381
0.39349493,0.86039364,1.4292158,0.44948927,0.78423876
0.31855568,0.758682,1.4854554,0.4465364,0.91375786
0.2000587,0.87606466,1.4990176,0.4451641,0.8738392
0.3066987,0.9520841,1.4789363,0.38602418,0.8906476
0.37645295,0.88356745,1.4704837,0.42876568,0.87317
0.33176255,0.96825397,1.4186695,0.39135796,0.88192636
0.4126181,0.9644162,1.4546134,0.41783968,0.76676404
0.3220522,0.8580074,1.4847717,0.42996916,0.8808341
0.33587587,0.9376838,1.4128287,0.39612845,0.89143825
0.35129204,0.97586375,1.3869686,0.3711925,0.8646104
0.3073988,0.88239855,1.4984108,0.43869123,0.87799627
0.3061885,0.8545418,1.4327984,0.4565605,0.8362147
0.33388913,0.97289133,1.4994528,0.39993814,0.8215728
0.3122035,0.87336355,1.4409459,0.3981238,0.95155275
0.28794372,0.88638824,1.4466949,0.47307053,0.7380552
0.2287096,0.84358394,1.4635503,0.44755363,0.94683415
0.2047771,0.8719846,1.4899333,0.4597917,0.7426941
0.36997637,0.8544508,1.3686501,0.42216253,0.9068883
0.30749443,0.9372582,1.4429928,0.37011093,0.952713
0.45658678,0.8143368,1.4909307,0.45372826,0.863515
0.27899948,0.85281605,1.4831891,0.46187562,0.84482527
0.3298988,0.8527178,1.4658432,0.4653293,0.8864602
0.3029511,0.9420064,1.330485,0.42230883,0.77338856
0.3685922,0.8121641,1.4931782,0.45118827,0.8873792
0.28643996,0.7841785,1.4093186,0.4635336,0.8161945
0.35760102,0.8819671,1.4258996,0.43560493,0.76811916
0.36526793,0.9351024,1.4404409,0.40304232,0.7764855
0.35002437,0.92540014,1.4960529,0.41449642,0.82619184
0.2983704,0.9286955,1.4796664,0.3826155,0.9665539
0.32100308,0.76335883,1.4186528,0.4722287,0.83224744
