v_norm,a_0,w_s_eff,t_0,alpha_gain
0.70445424,1.1801689,1.4566602,0.44611272,0.6052915
0.7045079,1.2280428,1.4802736,0.41197127,0.61163384
0.8222097,1.2975391,1.4935216,0.44542462,0.5891635
0.73944354,1.2651908,1.3582224,0.41282654,0.5454532
0.7959515,1.1642818,1.4956256,0.4520522,0.51888937
0.9028266,1.1378585,1.4857161,0.48654714,0.508466
0.6558873,1.1275998,1.4755015,0.45258492,0.6232655
0.6981561,1.1655163,1.4948909,0.42613208,0.63275623
0.74810725,1.0993477,1.4611676,0.4535159,0.6602337
0.57169235,1.0581173,1.4592288,0.41885152,0.76726496
0.8481342,1.3097461,1.3953263,0.41617948,0.5264448
0.6289409,1.2571219,1.4542673,0.39995435,0.7118152
0.7407536,1.1634057,1.4778584,0.46558705,0.65305835
0.7904219,1.1712735,1.4665035,0.45172235,0.57858944
0.7173892,1.170589,1.4590816,0.45482072,0.6261946
0.7455142,1.2192045,1.3999636,0.43799508,0.58628
0.7933825,1.1588718,1.4312639,0.45799562,0.55432504
0.7577029,1.2141176,1.4580725,0.42426297,0.556734
0.66911364,1.193085,1.361287,0.41318047,0.58670044
0.786976,1.1951092,1.4902328,0.45598283,0.58451235
0.71493673,1.1482033,1.4751319,0.4403192,0.57016164
0.7030651,1.2662117,1.4815441,0.4189318,0.5816546
0.6874983,1.2694362,1.4534568,0.39994693,0.6439352
0.855646,1.3997374,1.4905696,0.39522332,0.52515626
0.7124201,1.0164495,1.4805803,0.45562595,0.7484459
0.6512133,1.1639843,1.4920075,0.4540431,0.68347776
0.718252,1.2128322,1.475411,0.43538484,0.5924105
0.7081531,1.2321444,1.4390703,0.40020186,0.5839736
0.9029394,1.2613463,1.4484175,0.44212317,0.5390758
0.61603266,1.1199554,1.3767388,0.4591516,0.6401733
0.78604823,1.2025216,1.4999503,0.44591463,0.5742762
0.7354494,1.226421,1.4370717,0.43915096,0.54518384
0.7402712,1.2995018,1.4854368,0.41480157,0.59181887
0.79608667,1.0980835,1.4650892,0.49432305,0.5655515
0.82925105,1.3549536,1.451456,0.4047334,0.568857
0.64016116,1.206666,1.4524876,0.40642434,0.653665
0.6976849,1.2759998,1.4788831,0.4151465,0.64568585
0.69601864,1.2266107,1.4980882,0.40449032,0.6481289
0.86053616,1.2164946,1.4885274,0.430602,0.5625308
0.65548927,1.1264286,1.4465195,0.45513755,0.64012307
0.7599017,1.152998,1.4806515,0.45279518,0.5968638
0.69156057,1.1739521,1.4596015,0.4434571,0.63607675
0.69502825,1.1470356,1.4957081,0.4487253,0.6366306
0.69265527,1.2414206,1.3931415,0.42910948,0.6215971
0.82408166,1.2612395,1.4814895,0.44508624,0.5947844
0.7024907,1.0726889,1.4817228,0.45734972,0.66998684
0.7168185,1.1908383,1.4257932,0.4235238,0.60454357
0.65152156,1.096928,1.4368976,0.44167775,0.65716434
0.8141306,1.2699677,1.40841,0.42076167,0.62380284
0.83687115,1.3296164,1.3790673,0.4063783,0.5430183
0.73941076,1.1458417,1.4799025,0.44101503,0.5645998
0.6989583,1.2388068,1.4849298,0.4296897,0.6764806
0.8847958,1.2286457,1.4388179,0.45691663,0.5178244
0.86526304,1.2414576,1.4910179,0.44108644,0.5208746
0.71741235,1.2657981,1.4545155,0.40102372,0.6385831
0.81183946,1.1571611,1.4434092,0.4481294,0.58853346
