v_norm,a_0,w_s_eff,t_0,alpha_gain
0.42869532,1.3104769,1.4476042,0.35478494,0.81246805
0.38960898,1.302347,1.4975991,0.32680643,0.88857555
0.48859045,1.4101999,1.4793353,0.25879598,0.9324082
0.3786733,1.3938706,1.421447,0.32057846,0.91303045
0.38296723,1.299806,1.4781606,0.33291128,0.9133809
0.39254236,1.2615776,1.4971005,0.3358771,0.90505755
0.4196285,1.2445691,1.4326556,0.36966914,0.88566875
0.35934654,1.3923668,1.4657519,0.30837262,0.871239
0.40189752,1.3513929,1.4954392,0.3025695,0.8870445
0.40994835,1.3956519,1.4354961,0.28956875,0.89854705
0.44298226,1.238976,1.4797374,0.33316725,0.84782404
0.48353326,1.400398,1.4722208,0.28138492,0.93669844
0.3692754,1.2264687,1.4707413,0.39511827,0.7684486
0.39749396,1.2456642,1.4965264,0.37003592,0.8869707
0.38390833,1.1632812,1.4814509,0.3684249,0.9178688
0.38475412,1.3302112,1.3792297,0.30132216,0.8783517
0.4400537,1.434083,1.400143,0.30624577,0.85999894
0.40549257,1.381209,1.4965622,0.27448922,0.9207321
0.3677656,1.1050059,1.4205008,0.37119263,0.95661175
0.40564194,1.2459604,1.4838018,0.35164905,0.8905877
0.38990864,1.3872138,1.4660432,0.30946746,0.86442244
0.32997388,1.3226198,1.4724888,0.31344253,0.9117518
0.36458328,1.3341872,1.4975815,0.352481,0.84867394
0.35583043,1.0947027,1.4835471,0.38165227,0.9544135
0.3693262,1.2845323,1.4984485,0.325206,0.9036402
0.40474877,1.2032768,1.4229912,0.34692475,0.9797573
0.50411725,1.4120245,1.4411211,0.32232898,0.8353445
0.47810614,1.4062244,1.3461719,0.3060206,0.8315932
0.4111856,1.441999,1.4896783,0.27504265,0.9231405
0.39577806,1.3640106,1.4956068,0.290717,0.9066523
0.43216902,1.2506522,1.3604778,0.32314378,0.8933639
0.554467,1.4572738,1.4605359,0.3216472,0.81869763
0.45240948,1.4513527,1.4550512,0.24116348,0.9610705
0.42930117,1.4765929,1.494773,0.28372064,0.8851364
0.36690634,1.3138348,1.371832,0.35345918,0.8703379
0.3683721,1.3544445,1.4737794,0.29239926,0.90067047
0.44297633,1.36259,1.4453119,0.33937907,0.8015452
0.47590363,1.4985018,1.4838771,0.289226,0.83930457
0.48810363,1.3847098,1.4969487,0.31057042,0.85858333
0.38697276,1.4998888,1.44661,0.26611447,0.94650686
0.46511197,1.2986803,1.4562601,0.34955826,0.839865
0.39421576,1.3450195,1.4986295,0.3444039,0.914661
0.38928512,1.3179506,1.4804556,0.3384091,0.87067163
0.38733348,1.1986235,1.4816325,0.35498342,0.9578687
0.36035758,1.3507411,1.4484428,0.31747258,0.9020733
0.36294335,1.1321201,1.4161116,0.3640139,0.96416664
