v_norm,a_0,w_s_eff,t_0,alpha_gain
0.5880464,1.3089111,1.4559869,0.48533833,0.7161411
0.5668111,1.2529719,1.4265125,0.5001697,0.7336489
0.53251755,1.2076077,1.4595177,0.4595393,0.8205833
0.47190925,1.250276,1.4379803,0.4779933,0.8087688
0.45228356,1.3689795,1.4610049,0.38434985,0.9015432
0.38562047,1.2037518,1.4665159,0.4973607,0.8608932
0.6181585,1.315319,1.4733055,0.4767049,0.7859739
0.47119033,1.1404419,1.4771218,0.50228775,0.85749286
0.48845604,1.3006716,1.3881035,0.4470721,0.76601356
0.4700146,1.1838913,1.4262122,0.471308,0.8024105
0.51596785,1.1572652,1.499974,0.5092907,0.824182
0.5281867,1.3697363,1.4936777,0.47246802,0.6881045
0.571627,1.1994488,1.4759585,0.5157363,0.7198841
0.60046124,1.3510888,1.4250089,0.4880886,0.7613336
0.49585947,1.2238867,1.332487,0.488245,0.72870415
0.57625556,1.2119534,1.4334917,0.4887997,0.7748723
0.5817895,1.3140192,1.4196289,0.4883518,0.6747681
0.5972546,1.1495414,1.482823,0.5259893,0.7554413
0.6409194,1.2880113,1.4528564,0.50532997,0.6747564
0.47828078,1.1304108,1.465694,0.5169925,0.75184876
0.42509595,1.1730899,1.4507413,0.50154155,0.88193977
0.360984,1.1112461,1.4803909,0.49650905,0.8677411
0.48313057,1.3823597,1.4390459,0.41670832,0.7580034
0.5164881,1.3047974,1.4389832,0.4372715,0.75308746
0.59406304,1.2970984,1.4242835,0.479056,0.7353924
0.56179655,1.2841365,1.4397986,0.468518,0.74084586
0.51653194,1.2425536,1.4162699,0.43759358,0.8045881
0.5283856,1.1160791,1.469785,0.53156143,0.8538924
0.54639393,1.3332167,1.4950807,0.45994788,0.7638817
0.4809311,1.3159767,1.4854422,0.4685737,0.7808607
0.41812024,1.2784237,1.4664245,0.4534348,0.8203948
0.49828812,1.1213299,1.4514309,0.54793715,0.7651264
0.5539315,1.3464218,1.4305772,0.4635592,0.72472286
0.50764865,1.1580623,1.4185443,0.5166209,0.8004195
0.57048225,1.1604766,1.4234264,0.4935911,0.7344016
0.56774455,1.2392768,1.4331111,0.51220244,0.7261728
0.6256381,1.1560591,1.4968169,0.5024935,0.765982
0.48619694,1.1855726,1.3270621,0.50756055,0.6743667
0.5230061,1.3278592,1.3728801,0.44796255,0.7298258
0.58148456,1.4614247,1.471101,0.47976956,0.71283996
0.45407262,1.2798389,1.4365908,0.46202102,0.7910437
0.46643522,1.3806077,1.3224841,0.44510695,0.7342486
0.67407423,1.3219163,1.4558436,0.4974684,0.66824955
0.51358396,1.2579881,1.4793866,0.44084474,0.8272194
0.43869087,1.2728901,1.4955852,0.45255715,0.8409109
0.49291366,1.3005697,1.4993255,0.49105543,0.78619903
0.5189865,1.2773893,1.4224277,0.47428447,0.75804317
0.5732359,1.236019,1.3414273,0.513865,0.65866196
0.5428334,1.3694854,1.4960837,0.45962152,0.6663256
0.4623017,1.2029004,1.4972054,0.488439,0.826972
0.4041707,1.2467691,1.441861,0.5010502,0.81978434
0.48934135,1.2523241,1.4106827,0.50798416,0.74154055
0.4773119,1.2000934,1.4825686,0.47300404,0.8800645
0.41650954,1.2585894,1.4556814,0.4554521,0.82667506
0.4869686,1.2141018,1.4774152,0.51465577,0.794216
0.55336297,1.1158686,1.3817364,0.49314335,0.79116976
0.47664076,1.1901417,1.4440868,0.48530352,0.87106764
0.5462216,1.1939112,1.4083622,0.5190819,0.72260565
0.44088954,1.2513125,1.4288398,0.45282757,0.90526193
0.4413465,1.2572743,1.4380876,0.43043602,0.79774404
0.4619438,1.2829034,1.462901,0.45759273,0.73098856
0.46077296,1.1413436,1.4128547,0.5423808,0.79881847
0.5849754,1.4244705,1.4869374,0.4680556,0.67500544
0.44040644,1.2570605,1.4789604,0.482712,0.8303232
0.55630386,1.3320512,1.4989853,0.46994105,0.69695354
0.45866185,1.1275988,1.446643,0.506347,0.86600983
0.5102057,1.2140285,1.4507192,0.4890047,0.7998456
0.4973304,1.3215361,1.4740924,0.44023243,0.7970338
0.47813022,1.1776028,1.4848248,0.5425698,0.745912
0.54498947,1.2181016,1.4704229,0.52619547,0.75684726
0.56969523,1.1890141,1.4465852,0.49146497,0.8309386
0.62208813,1.3124118,1.396065,0.500386,0.67568076
0.5225654,1.2867086,1.4888986,0.4793725,0.7506492
0.5842488,1.224921,1.4972543,0.4898572,0.7248426
