v_norm,a_0,w_s_eff,t_0
456,262,485,497
377,209,164,429
373,2,100,430
421,127,322,289
215,26,127,499
179,45,7,287
107,419,216,80
393,316,315,274
257,12,205,496
483,165,462,409
131,213,311,479
211,349,233,357
119,285,212,308
118,280,32,110
440,91,234,398
428,490,380,3
451,444,498,285
76,67,250,410
426,202,492,379
225,293,332,257
376,311,111,382
63,51,189,424
39,390,254,23
463,263,390,131
156,125,266,199
326,14,248,449
323,468,284,0
329,11,100,481
500,73,197,466
50,117,180,318
488,369,326,278
253,13,148,490
420,129,327,361
295,318,458,195
322,70,53,348
206,101,229,157
193,435,323,118
424,106,258,173
280,417,35,17
500,277,148,437
5,361,157,77
438,127,27,364
125,307,292,246
342,2,63,363
269,94,192,489
157,268,220,124
498,429,489,91
395,349,385,273
298,498,317,401
218,289,67,239
362,494,454,56
412,142,246,356
89,427,315,186
19,114,28,440
83,445,247,158
4,7,110,444
473,315,241,402
360,266,310,380
13,114,52,222
481,463,437,135
143,189,406,358
274,42,338,462
23,344,83,228
251,412,451,269
245,49,140,437
345,317,253,162
211,297,222,113
146,459,45,8
434,222,102,457
319,328,331,166
270,309,202,208
213,71,224,323
24,465,43,117
171,409,315,130
495,428,487,235
179,16,53,489
302,27,126,465
434,27,10,472
347,168,318,89
198,493,461,31
7,410,339,301
323,473,471,21
112,368,55,50
420,403,484,363
111,66,147,78
443,218,462,443
81,453,344,111
5,365,145,166
267,188,239,388
68,490,495,41
339,284,405,287
390,353,259,3
383,469,492,137
335,290,327,317
139,150,257,24
189,92,142,388
381,459,361,54
390,155,404,462
398,486,453,112
184,67,81,425
