,a,a_std,a_subj.0,a_subj.1,a_subj.2,a_subj.3,a_subj.4,a_subj.5,a_subj.6,a_subj.7,a_subj.8,a_subj.9,v(L0_00),v(L0_25),v(L0_50),v(L0_75),v(L1_00),v_std,v_subj(L0_00).0,v_subj(L0_00).1,v_subj(L0_00).2,v_subj(L0_00).3,v_subj(L0_00).4,v_subj(L0_00).5,v_subj(L0_00).6,v_subj(L0_00).7,v_subj(L0_00).8,v_subj(L0_00).9,v_subj(L0_25).0,v_subj(L0_25).1,v_subj(L0_25).2,v_subj(L0_25).3,v_subj(L0_25).4,v_subj(L0_25).5,v_subj(L0_25).6,v_subj(L0_25).7,v_subj(L0_25).8,v_subj(L0_25).9,v_subj(L0_50).0,v_subj(L0_50).1,v_subj(L0_50).2,v_subj(L0_50).3,v_subj(L0_50).4,v_subj(L0_50).5,v_subj(L0_50).6,v_subj(L0_50).7,v_subj(L0_50).8,v_subj(L0_50).9,v_subj(L0_75).0,v_subj(L0_75).1,v_subj(L0_75).2,v_subj(L0_75).3,v_subj(L0_75).4,v_subj(L0_75).5,v_subj(L0_75).6,v_subj(L0_75).7,v_subj(L0_75).8,v_subj(L0_75).9,v_subj(L1_00).0,v_subj(L1_00).1,v_subj(L1_00).2,v_subj(L1_00).3,v_subj(L1_00).4,v_subj(L1_00).5,v_subj(L1_00).6,v_subj(L1_00).7,v_subj(L1_00).8,v_subj(L1_00).9,t,t_std,t_subj.0,t_subj.1,t_subj.2,t_subj.3,t_subj.4,t_subj.5,t_subj.6,t_subj.7,t_subj.8,t_subj.9,sv
0,2.804722738869537,0.05138379040864538,2.8245166025538118,2.7106396904339185,2.904108861403404,2.7480246830104402,2.7550389561158393,2.7960495662688096,2.8003552222538537,2.798779419310183,2.759530022018456,2.846121215245622,0.7059132791634801,0.771121799769242,-0.9369918794305813,-1.8675187966097115,-4.389200018417549,0.03684657845958561,0.6987179753062277,0.7523850391521402,0.7418771243382805,0.6956469447390211,0.7094483284305265,0.7313237200192586,0.7011498661556206,0.7076676987888035,0.6653554798135182,0.6804415444854625,0.7777295133852102,0.7433704609091134,0.7096229411829612,0.8180643031737542,0.7068631089480809,0.8058261517635483,0.8113494254584841,0.7296069957688351,0.7512498008115095,0.7372029536999186,-0.9036642989808764,-0.8894843362682383,-0.9527653306920278,-0.9677272618752454,-0.9991537496639945,-0.9125684660098132,-0.947359600291875,-0.8808633926698686,-0.9113225565084019,-0.9352233223172007,-1.8160483205769613,-1.9095630215843713,-1.81169541042273,-1.9428514909743373,-1.8553014280435658,-1.900996717221394,-1.8690778716044134,-1.8454629518947043,-1.835502136979991,-1.848467029156002,-4.359631134935237,-4.433682646358898,-4.365701236122205,-4.313397667126978,-4.437159555530844,-4.3921499961093,-4.414994888089222,-4.408548449937375,-4.392648589201355,-4.431193347083271,0.2386125777429257,0.9192676870620893,2.288744593477756e-21,1.876156805956112e-06,7.328583512970566e-11,5.7690542683900274e-30,6.466962668258243e-07,1.2597923732247848e-15,6.5572503549037745e-15,9.924673204422402e-11,0.00035484005328181303,1.4162694407691733e-05,0.0624293719411725
1,2.7852358069886773,0.051263160850098514,2.850712907378166,2.7873861150271804,2.8047633566904095,2.809814242141623,2.767330986129953,2.8074977243846893,2.708069199730402,2.8182876301810853,2.740661699486764,2.8311537288756266,0.7241604238342751,0.7817689734681634,-0.9299475939819427,-1.8715829063275349,-4.4074215406149495,0.04097493640055727,0.7285933033546315,0.7505484495361909,0.7621722359770234,0.7723854458436311,0.7211818392509871,0.7362786509551609,0.7735704697483698,0.7271977196197921,0.7746508375426021,0.7394799051762161,0.765252682287919,0.7910374749892387,0.8140675815042338,0.8199118993561235,0.7549938654450118,0.7771979011445962,0.8428416492614248,0.7859213544567034,0.779850230712011,0.740730494168163,-0.8831083694289202,-0.8828411511825495,-0.8544234209993337,-0.928379642035104,-0.9409523109309034,-0.9350604071223915,-0.9346834474951389,-0.9371082694096673,-0.9673835438538652,-0.9337902821639946,-1.8685854367947767,-1.8286298141095059,-1.8299504010396295,-1.8367156970387348,-1.8668527491180686,-1.8903907599566223,-1.8535867164426447,-1.962957797661954,-1.821085874805651,-1.7659700187517937,-4.395510879130846,-4.377441205161315,-4.326719835958453,-4.368039481732554,-4.414875172871791,-4.40217679997204,-4.414026444733744,-4.405635667299726,-4.410314602356828,-4.379042101468995,0.26052103220805994,1.3473814699953925,4.0638065004972106e-21,1.326615282212471e-06,3.5222187568012427e-11,4.577233045616669e-30,9.949036074277832e-07,2.6195844716306448e-15,1.4455052989899513e-13,2.399086910029639e-10,0.00020583673738915325,1.1448979547218928e-05,0.11585822349212647
2,2.7740980613743793,0.06310086478481534,2.7871433966281773,2.6755234410357867,2.822081839158315,2.6940231939174866,2.8024409985107384,2.749256063875164,2.6349961872544494,2.8078911430010676,2.7128994965252082,2.764955670440899,0.7571997872135927,0.7897871169087444,-0.9183951746691551,-1.86959469805034,-4.375577106186124,0.03459789638229772,0.7337881850117614,0.6761034357026806,0.723957125435637,0.7017034884475224,0.7749309396554769,0.7409489082043104,0.7340336207705136,0.7881473871917114,0.750753542439041,0.7459999504075228,0.8184514191985626,0.7998378367029109,0.7437735165955602,0.7580221133312335,0.7940059796625287,0.7660624077196163,0.7377465326324149,0.7502104614949114,0.7563849799045146,0.7671095063039421,-0.936610172206324,-0.8992941000869659,-0.9789962858982278,-0.9655121728590541,-0.9159233969546425,-0.9041568552027734,-0.8435961635711218,-0.886984633315286,-0.9580133985013005,-0.911880512397175,-1.8627513336730408,-1.8521777235050931,-1.9331111984741014,-1.87237064796347,-1.908162621998636,-1.8337716876177592,-1.8379255331605446,-1.8666757813580641,-1.8194390152026927,-1.8413657807837258,-4.387346316853209,-4.371398771328029,-4.420347621130187,-4.4220436926606554,-4.4104420872434025,-4.395020840038631,-4.326821812816629,-4.392771541766572,-4.3706460498476165,-4.345575720955831,0.15401355121389562,1.073401040423682,2.2148584950578824e-20,1.4165653131087224e-06,1.9561720891517677e-10,5.1084319815834195e-30,3.579846108651282e-07,3.377135012160094e-15,1.2979893103877324e-13,6.136271853059871e-10,2.622698551568247e-05,0.00010036784676945159,0.221081619959309
3,2.750244385968072,0.05461162759372784,2.869805522388274,2.750155895204976,2.7916955403567587,2.757394364173673,2.7381193014482244,2.728688021431638,2.6537174979404234,2.7682385441791273,2.799055465339431,2.762981429213635,0.7565555744860043,0.7430198234802521,-0.8997183720210217,-1.876525550641969,-4.375102401975066,0.036633780116527404,0.7572120957655921,0.6781516516126558,0.7384496963671202,0.7107921303489332,0.741138267084208,0.8026803009640551,0.7632381611567415,0.7319280569032536,0.7968527068795354,0.7726101721454801,0.7278486139943463,0.7811062875729563,0.7463659704310173,0.7285970745117825,0.775599770364382,0.7810290636824672,0.7436967038289394,0.7526350922374373,0.7458501220359328,0.770735807079038,-0.8407946941627193,-0.9300203031477104,-0.9574997157625404,-0.9444553348109181,-0.906266732010815,-0.8874930457909695,-0.8357494522526103,-0.9109052212368379,-0.8162986262875069,-0.8700987492115317,-1.9065603488195269,-1.8537611446118518,-1.8156518103082329,-1.865759220607104,-1.8863645392189687,-1.8466901841235637,-1.8858579420481587,-1.8307721479274475,-1.8187527207921326,-1.8527363795913818,-4.413344342942689,-4.4211794707117935,-4.444556475408574,-4.362012029546594,-4.429025991922437,-4.408722966404146,-4.361863987011829,-4.383414875842232,-4.405613565354234,-4.425817698226089,0.15004746935793128,0.7245191227253447,1.3312468066639503e-20,9.397603048265389e-07,1.7436865968018312e-10,1.1290241054677855e-29,3.3387102151328497e-06,2.387315509430016e-15,6.42497592507233e-14,6.077291937525467e-09,2.897344269701843e-05,2.1228054974202146e-05,0.016542220272252432
4,2.767605756246873,0.062167235183255634,2.86586894777014,2.6439462354121614,2.8223681489414925,2.7482274286050825,2.729811078026661,2.7585160987890274,2.6514911508118395,2.7915227811847547,2.7641550786180273,2.68649806223523,0.7769694326302872,0.7593503351731274,-0.8732864648559974,-1.8559731468228051,-4.402966896021298,0.03327657514205025,0.7569047733292609,0.6866439993886791,0.7129044414067371,0.7471948874546794,0.8010909867796747,0.8314197606769285,0.8111861244121664,0.7636223455071927,0.8022054677932701,0.7651721511491226,0.7386368577962291,0.7729986794993329,0.7514092379276399,0.7626939360140014,0.7885645349912649,0.7877044687942011,0.7695796009603791,0.7588954204154897,0.7659849551594197,0.7345566425982052,-0.8863217698743566,-0.9287962279455021,-0.7800775163575624,-0.8660912574389574,-0.8965954236299515,-0.8903953597540477,-0.9057035088004635,-0.843624605455163,-0.8180056447221834,-0.8595641027545798,-1.8581487848797642,-1.844230777260489,-1.8359567450169147,-1.8342776773572425,-1.9405356328674683,-1.8397079868318171,-1.860617579236815,-1.874158924375296,-1.8223210616471412,-1.8635990656614272,-4.364296139797924,-4.397010928673141,-4.355268796045668,-4.338900516303898,-4.440674747522349,-4.407082930076687,-4.456471428524826,-4.362758822312967,-4.403448673265547,-4.3736104169690595,0.14581736084255675,0.8487071276645929,1.0936873787850225e-20,1.1878908497539773e-06,7.304338897371785e-11,7.902110420745298e-30,1.0920732368531255e-05,2.2357056682392816e-16,1.7948267221879434e-14,1.1158048663262769e-08,1.6752948428579018e-05,8.596268767442665e-06,0.11083637146359109
5,2.737094937058609,0.07895800854344823,2.832486329284602,2.6580352914402225,2.777455615771934,2.786468534593258,2.7243049089154883,2.7545456793021974,2.62336294075112,2.831887803985884,2.8118933723165958,2.727412195327451,0.7807129495451485,0.759618515454914,-0.8771596330689341,-1.84797451474786,-4.408012810244333,0.03784012869716723,0.7800012695661604,0.7046859198477314,0.7824344439783252,0.7728525685853559,0.7290467007663834,0.7539395214135394,0.7936327407742229,0.8301041081565463,0.8170788038189821,0.7784298088438202,0.7087164107967424,0.7454665785348281,0.7675413559761589,0.7914291643812367,0.7286664912028827,0.7795957561707246,0.7538399581575668,0.7738207304464639,0.7664377271884082,0.7529804629208239,-0.8789225853424263,-0.9553702621345441,-0.8038694986333812,-0.8711454409378429,-0.8778321373588169,-0.8982771656398756,-0.928088494909293,-0.8096722577270734,-0.9433582090970376,-0.9563550733267902,-1.816560665367645,-1.8865468688954223,-1.8897200646814563,-1.8042477891341664,-1.852437764409832,-1.8362261578507155,-1.7997756100610438,-1.8314061814092155,-1.8180513325354215,-1.887589118690553,-4.422048368579843,-4.37900254859961,-4.437324856993715,-4.4923561287575895,-4.343512592140796,-4.429954544441591,-4.368070253382918,-4.470210443699296,-4.441555428179297,-4.360134778466611,0.1237506321484399,0.6592534468632882,1.895477118589489e-20,1.4802786264962982e-05,6.460988001676376e-12,3.094287023717482e-30,3.5659915102925137e-06,1.3876670932427229e-16,1.0997543597037734e-13,1.545317972449179e-08,0.00010979506456688481,1.0897461026272992e-05,0.07189673247550757
6,2.829948059414051,0.06704913665224338,2.8643902091169124,2.751785349378788,2.803687481791279,2.790409618753798,2.8239250268857914,2.7700277672469262,2.7245968772112583,2.8635105678779467,2.750754982110574,2.7711424718127455,0.7837573511015046,0.7584020968106204,-0.8856626125106484,-1.819097675846105,-4.429085333820597,0.038263465858506804,0.7601971849977102,0.8693584611148399,0.8212704990646735,0.7607992693593586,0.7911974688098267,0.7398289982186533,0.749254777448022,0.8365387572980408,0.7894773731550162,0.7148844178252634,0.8459917612412056,0.7173123133877618,0.7807970256886483,0.7347402702969354,0.743058923001366,0.7966171208571158,0.718338451948547,0.7616655171096693,0.7284559032052065,0.7334207813250246,-0.9373482092125498,-0.8962368884997651,-0.8936501646880455,-0.8445063018334493,-0.8388936450025857,-0.8893185277752651,-0.9157318868711516,-0.8086860389234636,-0.8415247010122986,-0.9366240010313753,-1.82354190203299,-1.7860583377300474,-1.7679176180077671,-1.8788623434389906,-1.8355901009874085,-1.83007913639082,-1.8193009972408456,-1.8052704372524166,-1.799260270119681,-1.895806290373204,-4.367932614617061,-4.454117643841263,-4.431943353261628,-4.502050812548246,-4.450270601601889,-4.414344244367577,-4.4403586513681566,-4.420760083675144,-4.456121049414575,-4.435767405997461,0.1809633865558026,0.8022542272130234,1.1575645465546067e-20,6.212840526365903e-06,9.637369834251545e-12,1.800696921969508e-30,6.8062204687728315e-06,4.789255384887773e-16,2.1102551200095826e-13,1.4692465062668192e-08,3.0688827077551264e-05,3.362459621777093e-06,0.038940578173864586
7,2.764136773713442,0.04981282403400125,2.7854315709727464,2.7109576316875006,2.8024950999868388,2.842052922267809,2.8228399185783317,2.732831533924617,2.703423009962579,2.8110593749747137,2.80168269416612,2.779360680611244,0.7745344861690384,0.759911618370602,-0.8681848326131466,-1.8107114429001503,-4.421542928420984,0.04942266909840376,0.7428747774819613,0.7397434103413763,0.7682266305054402,0.7897609876238404,0.7595850274004788,0.7459430766348089,0.8045663667969922,0.8394451990819249,0.8411433971252668,0.7379984414619798,0.7223540044669595,0.7536417123764434,0.7260409693630824,0.7846169209916487,0.7576197475261159,0.7091681631178552,0.7339013776230334,0.7484428942704244,0.8013225101113165,0.6939474233582241,-0.8702035125794492,-1.0521128714973311,-0.843818580727127,-0.8447345437793493,-0.832786558658436,-0.8410209715506433,-0.8501347606464001,-0.9174547186081503,-0.8713290827987179,-0.9091205316114163,-1.853477247512211,-1.851027123783363,-1.8833557835488024,-1.8295346479260326,-1.8664998557344699,-1.8044629137113102,-1.7997112680565244,-1.9189606756413613,-1.7351570726685501,-1.8657823029216756,-4.4211497534290185,-4.410529982179615,-4.373573604092727,-4.517353787419365,-4.410672261727469,-4.413003798551166,-4.341080270122829,-4.461896968905266,-4.375843027360724,-4.345707545869713,0.20875931205928344,1.0420286023072591,1.3796830146816275e-20,2.866986894748156e-06,4.83027142983146e-12,9.920420605925969e-29,6.425414921190604e-06,6.667217895016217e-16,2.923421139731119e-13,9.056605088855635e-09,4.610933347410585e-05,0.00010463749708296733,0.19382597909127425
8,2.749219695383384,0.086009658738741,2.818872191252568,2.6854667225279063,2.8180136195040992,2.726690987963684,2.7341327728818547,2.793449575081678,2.711729270296214,2.8270397217219103,2.786243872648347,2.805010966524237,0.7833058513027333,0.7309995517367877,-0.8759241266358462,-1.8585729591862712,-4.406587415220411,0.04740745877203939,0.8287884779285067,0.7643604599546796,0.8292706181077878,0.8016272935106755,0.7551133789973609,0.7823144622886183,0.7991120364769115,0.8298414805799335,0.7005898651493458,0.7588447453106986,0.6981526927808204,0.7535959523021504,0.6844218356421631,0.7599860613438791,0.7303675627943098,0.8293935239626846,0.7169488490618082,0.6951749267099876,0.6922219911759209,0.7101373980557343,-0.8885590642114481,-0.9903263725182165,-0.8973179661091422,-0.8920202698294214,-0.9457063963932355,-0.8615495058870511,-0.8999495431859543,-0.8356415642798783,-0.865778989965085,-0.897519435683422,-1.8445457016961917,-1.8847799974440715,-1.8870310543924764,-1.9504509774450758,-1.8573924678761373,-1.8916243031839395,-1.8211308593019997,-1.9669904464884043,-1.806599803120235,-1.8633338156201296,-4.381744428413281,-4.453219757940442,-4.373125641729964,-4.345791348167182,-4.3900616192088195,-4.420586313263465,-4.489817725387933,-4.437253160716374,-4.450483316413712,-4.4621984798016925,0.18251663688357675,0.9488033043273782,8.529192413457989e-21,2.649277386860898e-06,9.511139198153429e-12,2.1099118339354922e-28,4.896131089432858e-06,9.514839995765642e-16,4.1790984995661956e-13,1.3679532343463059e-06,2.5774892751031837e-05,0.000300394839023129,0.07037964895532826
9,2.7964978090283172,0.07195226555609487,2.841323068337054,2.766967568194866,2.8503872378877646,2.7699988167439686,2.7749334450366008,2.7035087632457944,2.767216548886039,2.83536505616031,2.8312376315917516,2.761634006709876,0.8160945216212651,0.715452902654689,-0.8897755147684433,-1.8467778450883847,-4.443694607830238,0.05008248281699097,0.8011655845217079,0.8163792741579436,0.7869652006723555,0.8029587886570131,0.8642847686506357,0.8080110244341822,0.7815569499306627,0.7915696910735004,0.8736772209145109,0.8643500247585396,0.7115577588555553,0.6610857013566531,0.6882038846303564,0.7965580689282139,0.7490047217800734,0.8105314072259001,0.7285858945648334,0.6850775910681846,0.6985595315692351,0.6985314113682617,-0.8477301563591538,-1.0205662332873537,-0.867800820220775,-0.9062106553475388,-0.9538949323539098,-0.8705432605075397,-0.9655289679559685,-0.9029743103249209,-0.889297702903569,-0.8837950677321157,-1.8659929609023138,-1.917671448616484,-1.8041256493491555,-1.9087248745176915,-1.8380375917171603,-1.8780005527422436,-1.80643659687414,-1.8165440586006416,-1.8450673540559084,-1.8019743887673425,-4.521961707054922,-4.40955908150256,-4.361824464645315,-4.416304747786273,-4.430165828696588,-4.419632867418708,-4.377847895014657,-4.519652834148194,-4.4749713689988555,-4.427272643393806,0.23761213461276295,1.1856301111784466,6.98642813323148e-21,2.400316738736917e-06,6.87838366853626e-12,3.150906066361487e-28,5.669542154214754e-06,1.3252519543890568e-15,5.67380603290862e-13,3.9053433370614007e-08,2.935988774010177e-07,0.00044596553362792157,0.013406545527157384
