,a,a_std,a_subj.0,a_subj.1,a_subj.2,a_subj.3,a_subj.4,a_subj.5,a_subj.6,a_subj.7,a_subj.8,a_subj.9,v(L0_00),v(L0_25),v(L0_50),v(L0_75),v(L1_00),v_std,v_subj(L0_00).0,v_subj(L0_00).1,v_subj(L0_00).2,v_subj(L0_00).3,v_subj(L0_00).4,v_subj(L0_00).5,v_subj(L0_00).6,v_subj(L0_00).7,v_subj(L0_00).8,v_subj(L0_00).9,v_subj(L0_25).0,v_subj(L0_25).1,v_subj(L0_25).2,v_subj(L0_25).3,v_subj(L0_25).4,v_subj(L0_25).5,v_subj(L0_25).6,v_subj(L0_25).7,v_subj(L0_25).8,v_subj(L0_25).9,v_subj(L0_50).0,v_subj(L0_50).1,v_subj(L0_50).2,v_subj(L0_50).3,v_subj(L0_50).4,v_subj(L0_50).5,v_subj(L0_50).6,v_subj(L0_50).7,v_subj(L0_50).8,v_subj(L0_50).9,v_subj(L0_75).0,v_subj(L0_75).1,v_subj(L0_75).2,v_subj(L0_75).3,v_subj(L0_75).4,v_subj(L0_75).5,v_subj(L0_75).6,v_subj(L0_75).7,v_subj(L0_75).8,v_subj(L0_75).9,v_subj(L1_00).0,v_subj(L1_00).1,v_subj(L1_00).2,v_subj(L1_00).3,v_subj(L1_00).4,v_subj(L1_00).5,v_subj(L1_00).6,v_subj(L1_00).7,v_subj(L1_00).8,v_subj(L1_00).9,t,t_std,t_subj.0,t_subj.1,t_subj.2,t_subj.3,t_subj.4,t_subj.5,t_subj.6,t_subj.7,t_subj.8,t_subj.9
707,3.1462429527765843,0.00903187853325612,3.1576074463830226,3.1515909233202035,3.128345206581033,3.1299127600307157,3.1458125377958197,3.1343905089852795,3.163413319751359,3.1366078852655517,3.1392249657691162,3.134255272824632,1.6475447876819407,0.898973187983987,0.9388023276777878,3.341887613676778,7.083978631964823,0.025881946675901928,1.667291851051709,1.6280935401136076,1.6741856542582543,1.6088618412897275,1.6535923417214682,1.6637575824487316,1.6833918794666651,1.6533594519222288,1.6798850003779053,1.6390469099431757,0.8895466867834262,0.9508477414953237,0.9403333710135857,0.8729648734181197,0.9541429512346453,0.9016075249773083,0.8897952802527875,0.9458467289996559,0.9400648124680178,0.9089713166797733,0.9765348967564358,0.9540706568258494,0.8843468796516323,0.8949886455655036,0.9832198695963157,0.9816035812318791,0.9409335496219889,0.896254823073485,0.9873938856011125,0.9507870706132274,3.3682101516215233,3.292392284977074,3.3457394506114873,3.3248100955026025,3.3773806437037552,3.3583754437847944,3.358472657481381,3.322204240911076,3.357797066766988,3.3128063940702623,7.094399865667972,7.059452890754663,7.072220017535227,7.052197778828815,7.080238325083877,7.078726434447908,7.071959593118593,7.064681605300374,7.097887570949874,7.071804458416566,0.2553944373422205,1.4658678476095384,1.8343530898732345e-19,0.00043997628911263457,1.2986728930507891e-15,0.0010034351782474814,0.00014569598764524667,7.022456353063325e-09,2.463575885558431e-07,1.3940689095136473e-19,0.0026886519716740366,9.916267552681133e-06
708,3.1384853504108876,0.009842987195469536,3.1386450990227566,3.1358200383543866,3.153893618704751,3.1343869797817194,3.137499596894376,3.1405025383506477,3.1293857685855824,3.135804612529911,3.1492789247491406,3.155483820119553,1.6293058225634367,0.8954796999944089,0.9380775868810692,3.3327520393344883,7.067376160912603,0.03430574836083327,1.6706777755165654,1.634121507585121,1.6222557427213131,1.612991466567111,1.6310408877813032,1.6430227796655181,1.711767235254319,1.6533020900471636,1.630093179387794,1.6597402375061303,0.905606109664941,0.8898903318689411,0.890803053184355,0.9217899131685942,0.9241577857295701,0.8956093260785574,0.8918396759448428,0.8893638796822203,0.8530314474742984,0.8850579882224685,0.9696729399236546,0.93167572858729,0.8842410045061303,0.9486973926952115,0.9886546531913729,0.9717183727212895,0.9411935685327631,0.9643262889994413,1.003068780160614,0.9287681381731563,3.3467815735389173,3.304028907516259,3.3470758818564734,3.3498620991812817,3.347976437616069,3.313294252125465,3.3536310476249334,3.322857103728328,3.2851251328974613,3.334773379929662,7.0558999207393205,7.054818494767034,7.009037180602216,7.059135542447468,7.052765071974284,7.045490154815978,7.066151758258566,7.062578130200855,7.072917735892103,6.987429667746557,0.2790009033650477,1.7213279245882975,3.1322117997341065e-19,0.0030666891311788083,1.4790614643289734e-15,0.0003071385180978491,0.0002319992493012244,8.462537117668059e-09,6.294487580559829e-07,1.290632295928445e-19,0.0012886336654474456,7.133899241270771e-06
709,3.138545800479119,0.006986559449817884,3.1396203768777755,3.1373811271846153,3.136220233524761,3.1254420243014147,3.1366277191081626,3.131661893337299,3.1465266619401953,3.1355689703218785,3.131733167198415,3.1548580345838215,1.6211408995359373,0.8942300994924978,0.9395765263776867,3.310908682825204,7.045528522057101,0.028442921698342206,1.5929700648785943,1.6455757567531328,1.6112359727535293,1.6881925257638146,1.6292685054860891,1.6100658557454053,1.6818273334292155,1.6677522882797895,1.5630719154113975,1.61745458497333,0.8399836165036979,0.907901831924184,0.9113607542289548,0.862561047293346,0.9322278223632008,0.9126857718265691,0.8814984223571011,0.870228974270193,0.828682305012267,0.9214066738288602,0.9620529870922468,0.9976035021316143,0.9713739656391351,0.9484223444810191,1.0031304481473307,0.9107527577558185,0.9584777940378221,0.9452890283698739,0.9460872641852383,0.9096994551333091,3.2828845763848835,3.2802396361579174,3.3677366255071917,3.322814599910668,3.30055212419267,3.3402477299007516,3.258214711862757,3.293123726624697,3.319709854418698,3.2834775101132245,7.029011596240646,7.062901605724024,6.985948958724093,7.0485694778550965,7.0529347404014215,7.033893371264792,7.1011676952924745,7.027907898037222,7.023010972591136,7.088366832795363,0.4068734738730436,1.7730557365257,6.309215081342766e-20,0.0016069309140685824,3.9636874467685654e-16,0.00018291156078961072,0.0002807970473932674,3.5524393715625517e-09,4.415808973790887e-06,4.047126364000374e-19,0.0010243195718156967,0.0019006285579718629
710,3.1352777681958592,0.0062811964509959795,3.1417275643843845,3.1377895509433342,3.128170701539144,3.130560570208145,3.1362226817465837,3.1375451930162646,3.135072799039057,3.141613595768818,3.1288056008533607,3.15455159858983,1.6225442241750365,0.8857049416920174,0.9455874276101451,3.3052327781118125,7.070450304722367,0.04022956468764584,1.5984470529371768,1.714366294148701,1.5919150734976144,1.5869271234543423,1.6089248224557986,1.6531468927546298,1.648772248945313,1.5799603282275092,1.5605293266005251,1.6192791634509716,0.8937627668518787,0.9229486686060997,0.9128420935263128,0.9033509894056309,0.9417657137889257,0.8731854656948881,0.8729947145347763,0.8759055525487838,0.8099982548224189,0.8909335903570502,0.9303217732870086,0.9198667419491036,0.9783593932454954,0.9567755525299281,0.9542084728894291,0.9278210063865886,0.9049233625209356,0.9703905364187417,1.001507096584085,0.9886475847202589,3.306092853294315,3.3177507044617434,3.2635986609251257,3.2637129719931024,3.305907626807535,3.302480095197066,3.234062105408694,3.3076576545467993,3.304360778506598,3.2994439998339766,7.06818057447614,7.076835948197416,7.115662214030093,7.0921582705847355,7.070638114055003,7.018639883836476,7.1168579376573975,7.0516955581010485,7.0369439430936644,7.059266369859178,0.3891542992198853,1.587276635133572,2.36454463343398e-19,0.0011702363768804657,2.431364234806037e-16,0.0003433832103164982,0.00013577174942799394,8.825028555017473e-10,8.775254611415464e-07,5.490756161562747e-19,0.001116445846657575,5.957209470504928e-05
711,3.1405845720224437,0.005483620743926946,3.133326276485691,3.1343683208975293,3.1263967175748975,3.12969869849686,3.1364305162436694,3.1422514203127734,3.1388670094575843,3.141545685425629,3.140305249651481,3.1550975515187307,1.631760351430645,0.8721094648620138,0.941187080219272,3.301867382369626,7.055672077296831,0.03470362238857842,1.5867142216172367,1.7287897007890072,1.6376693506645617,1.6264293650009058,1.652688128241536,1.6368660464490836,1.6241596019490723,1.616615552109438,1.623700566308443,1.6293215299689512,0.8860262920592605,0.9085467491076734,0.8609174602942893,0.8616904798598558,0.8676971886618089,0.8488781964552709,0.9144336137925253,0.8298202979824015,0.8917214872011232,0.8462207961377147,0.9919038515840908,0.983600980072941,0.9483664578150546,0.9712571835514139,0.9635322600931188,0.9389792955422887,0.9039701955118707,0.9117647804723252,0.9093589402014847,0.9638065460805614,3.2905102362930068,3.3074919108032983,3.3503555827556593,3.2380786593096462,3.296684651060632,3.3033421718718436,3.28681439957853,3.3067264153078866,3.3471750867463808,3.3678920973851163,7.0387584927491265,7.0874805510793495,7.0079331275492915,7.0992247080409046,7.046428927773739,7.104509396788579,7.082019282304584,7.0070729555119575,7.001930503137158,7.058866441182578,0.42766327384139974,1.6910317207964762,1.4683070916879087e-19,0.00243214923649554,5.627472852912714e-16,0.0010181929743734452,8.177870106415954e-05,3.728174617243821e-10,1.0651703212659563e-06,3.22668098739571e-20,0.0012960209286329797,3.3035561769987785e-05
712,3.1406402973118412,0.006707690194428066,3.1422905107683228,3.1381625050762607,3.155164880233651,3.125761628692222,3.14248234657454,3.137856989649199,3.143943755039926,3.1415812335523605,3.146172270783299,3.1448245530951784,1.6408402359704208,0.882801978244284,0.9614085198880851,3.3138866109706773,7.051805210888354,0.030996862572913914,1.6806250887053007,1.6504760339583293,1.6435454043876883,1.631945113399899,1.6661760072081961,1.6259862910819065,1.6272907505712109,1.6660660658204796,1.5911533359883996,1.6366018681098906,0.8429708637003746,0.9069077752060011,0.8763063950048096,0.8903785254228389,0.9506311497389048,0.9266134751562063,0.9300750667451922,0.8702764625334078,0.8917009749033566,0.8837815311081674,0.9482226706541295,0.920848327761575,0.9884811125546689,0.9886468447774737,0.923776040063762,1.0005335638447046,0.9076611266148231,0.9872232669453258,0.993040269821528,1.0126494498771657,3.36260488504809,3.3274612599167748,3.336919948486791,3.397908481571733,3.345380392069555,3.2886922955461113,3.31327258462802,3.309681470319599,3.3356568400521844,3.286970056142283,7.0410424547669095,7.0441907123026315,6.994201507282414,7.097624318423299,7.057895822653229,6.990320899715077,7.068460864943771,7.014199476245784,7.0438013375495405,7.0566304846681565,0.3104840731079206,1.6174293037869596,8.491637692220262e-20,0.008023285076282126,8.582126924449017e-16,0.0008005164313186863,8.180779994232666e-05,2.2721338978166101e-10,1.8375793646689622e-06,4.9366891913757485e-20,0.0017582429512068695,5.308054437691547e-05
713,3.1422642083242054,0.007224978265931177,3.1412232185585665,3.1370361598096834,3.1438886121024474,3.152748021890184,3.1414532389445653,3.136984269771333,3.1332558146770983,3.1140858132072027,3.147678164678931,3.1404428639163,1.629016330925296,0.8853865717943837,0.9650802317717534,3.329004243663968,7.040276352757943,0.03214619822815402,1.6228372558335518,1.62412896600034,1.6265461943890522,1.6473124119902203,1.5625126390627986,1.611283921333169,1.6767565785297647,1.6263185173212487,1.668852861585733,1.6665178774065428,0.8131748492662981,0.892999497247879,0.9090448985925949,0.8970785001797004,0.9795574027072769,0.9034993099930454,0.8643411138031903,0.8704050927848177,0.8976665606259093,0.8661621721886733,0.9315750055002723,0.9763105837510659,0.9734995703082644,0.9529761654335026,0.9892321854244325,0.9568333133953664,0.9059513874510589,0.933367844116204,0.9846985452774043,0.9354967588226845,3.3691425843830642,3.309464099004481,3.325763170273835,3.3709060781743085,3.331766351394537,3.321890765404117,3.2963376224297316,3.3000390806225592,3.287216609109321,3.2656094997628773,7.048728222365027,7.029062835144541,7.011511186225885,7.028948830139815,7.035634621881683,7.043604760347899,7.06515735562792,7.096397795883845,7.045145635144803,7.076707853003067,0.2816240692063109,0.9631805287925378,2.144675373310798e-19,0.001382808868592962,1.4162573182156498e-15,0.0011341499110424655,0.002790269057551474,9.96013501342591e-11,8.867849604747163e-06,4.521746476639908e-20,6.158246937065185e-05,0.00023035489039049744
714,3.144395468058831,0.011745356989190889,3.129310225324781,3.143896490934404,3.1574494635367736,3.149789627646238,3.1346165480990296,3.163516405413186,3.157121674832068,3.127736477290912,3.1383315325190235,3.1416781396628504,1.6352088747788993,0.888106140120882,0.9411107591958088,3.313571727298146,7.052141112493373,0.037570509456262044,1.6093560638359974,1.6906886371506293,1.6268593164600416,1.645965270992295,1.6849965279282564,1.6926496918621117,1.6139614996654745,1.6158027576591605,1.6533860235277256,1.5796940709809943,0.9219756155717236,0.8443676098353806,0.9171600486167745,0.9094170124371488,0.9703832655052538,0.9159883905245287,0.8915664485801779,0.8721964717437001,0.8997521955824811,0.8859194784796925,0.9651108827744324,0.9807809405231847,0.9311283719115878,0.9114760954789902,0.8977892982308739,0.9239895137335344,0.9961333275476114,0.9663736543238138,1.0260007895744088,0.9433410688287757,3.3309870879440178,3.3682755101147754,3.303011407367284,3.295155886024322,3.288946659854846,3.331161973631114,3.3565944249195647,3.2796337830154734,3.3223714500192574,3.2584989320467286,7.089108327798359,7.06443267841936,7.03807632616084,7.008285545650454,7.035187105524087,7.020387470771132,7.0645183252833785,7.062961759799995,7.048125933739868,7.050275847521677,0.17736705723589224,0.8551420627290174,5.3254960940381007e-20,0.0011142435392357628,6.46744823060441e-16,0.0012766257169820345,0.0008807840837427756,4.4960736024812165e-11,1.682827993969961e-05,5.97441816314408e-19,0.0001327117919947855,0.00019790142049020573
715,3.146611618959793,0.021180895710167735,3.1673985162153544,3.136622878853641,3.1205548880368097,3.172371007375891,3.159651087560597,3.1604569942342846,3.1480509321522945,3.1473615835221285,3.1523861837202616,3.1857474740011114,1.6372347288429752,0.8988677135178272,0.9495785039740181,3.324476063330368,7.047585456827183,0.034878566027634846,1.6522738455531099,1.6761622898927304,1.6206039979856057,1.6557456240634127,1.6729762216159159,1.6729747226242913,1.6120567349599542,1.625166488298094,1.693922960075287,1.6208176094217297,0.917153440559498,0.8807376207217115,0.9436273643406599,0.8725845911011612,0.881856129367734,0.8699460483688657,0.8768123577647435,0.8420853086529403,0.887376081978519,0.954072469518701,1.0008878643199306,0.9049168587102091,0.9653666732097761,0.9755233200307978,0.9296925752511322,0.9973089171920986,0.9026273840171595,0.9541312024276909,0.9720554240593453,0.9831360793549155,3.3653291993377485,3.365216182811338,3.31688840118158,3.330398933501889,3.341091170665978,3.3774339566324567,3.325335416544755,3.3035196693395372,3.2996232610806726,3.38869170450427,7.078374419565185,7.028539354601456,7.018382026173879,7.021703560168619,7.076807892450666,7.001147166494522,7.046107044088346,7.0377422283094475,7.044796481487666,7.067707661581148,0.23014565619814292,0.9274135376794095,9.762739576011354e-20,0.0006902750602020341,5.406793162163684e-16,0.0030433524347240476,0.0008324028191585061,5.2179720940560334e-11,4.520704943153596e-06,3.2412841473599075e-19,6.624444283477376e-05,0.0001340444988600258
716,3.1599132240580623,0.018509658747466642,3.1749906302296464,3.1126991077867787,3.1310863495857464,3.149238992993719,3.1255923177082585,3.1552286572394364,3.152876875571025,3.164399133335001,3.1689882785875723,3.1995409850882157,1.642181638335746,0.8975441939696625,0.9619088691717849,3.3441805853702737,7.03524914031831,0.03678729204924529,1.6488499772776368,1.655018348759148,1.684657082487597,1.6182675663776527,1.6964294699046518,1.6339965914354877,1.680603180154421,1.6395913600624432,1.6758227294795334,1.6432266822132233,0.9122494763089587,0.9063977558369123,0.880431703959947,0.9035563730148234,0.9376172128065872,0.8837375631615196,0.9209500237103059,0.8939685095877761,0.9021456360226697,0.8761475970818448,0.9931085370894429,0.8987292791299208,0.9749306298213374,0.996364998859447,0.925636635047804,0.9751674822243741,0.9224202106750459,0.9402021762981456,1.0262778144885,0.890219805273785,3.3001329082262862,3.3538318429250227,3.381647631595622,3.330222692090244,3.3411186153091026,3.304903932991284,3.4565214730429834,3.3726485618610673,3.308474694987698,3.3710681963394933,7.035176539004985,7.021591024519927,7.032131156864604,7.008449084597684,7.08308396743841,7.034712245909928,7.060413806240612,7.138678178366334,7.037609195950209,7.014883733584721,0.19290558168195832,1.0808994240653687,1.233673913620926e-20,0.0006835511872879747,4.558983090658097e-16,8.765562777648733e-05,0.001342870435492877,2.660890628294085e-12,1.842440168743492e-07,5.469952288740479e-19,8.589856713487153e-05,6.113014787704007e-05
