subj_idx,rt,response,condition,original_choice,is_correct
0,10.0,1,L0_75,0,True
0,1.1100000000000008,1,L0_00,1,True
0,3.9699999999999616,0,L0_50,1,False
0,4.6299999999999475,1,L0_25,1,True
0,1.0300000000000007,1,L0_25,1,True
0,10.0,1,L1_00,0,True
0,10.0,1,L1_00,0,True
0,0.3800000000000001,0,L0_50,1,False
0,10.0,1,L1_00,0,True
0,10.0,1,L1_00,0,True
0,10.0,1,L0_75,0,True
0,0.4700000000000002,0,L0_50,1,False
0,10.0,1,L1_00,0,True
0,10.0,1,L0_50,0,True
0,0.15000000000000002,0,L1_00,1,False
0,10.0,1,L0_75,0,True
0,0.30000000000000004,0,L1_00,1,False
0,5.789999999999923,0,L0_50,1,False
0,10.0,1,L1_00,0,True
0,10.0,1,L0_75,0,True
0,1.0400000000000007,0,L0_50,1,False
0,0.3400000000000001,1,L0_25,1,True
0,10.0,1,L0_75,0,True
0,10.0,1,L0_75,0,True
0,1.350000000000001,1,L0_25,1,True
0,0.6800000000000003,1,L0_00,1,True
0,0.2,0,L0_75,1,False
0,10.0,1,L1_00,0,True
0,10.0,1,L1_00,0,True
0,10.0,1,L0_75,0,True
0,10.0,1,L1_00,0,True
0,0.28,0,L1_00,1,False
0,0.33000000000000007,0,L0_50,1,False
0,10.0,1,L1_00,0,True
0,10.0,1,L1_00,0,True
0,9.159999999999851,0,L0_50,1,False
0,10.0,1,L1_00,0,True
0,0.28,0,L1_00,1,False
0,10.0,1,L0_50,0,True
0,10.0,1,L0_75,0,True
0,1.7400000000000013,1,L0_00,1,True
0,10.0,1,L0_75,0,True
0,0.5000000000000002,0,L0_50,1,False
0,10.0,1,L1_00,0,True
0,2.1799999999999997,1,L0_25,1,True
0,10.0,1,L0_50,0,True
0,0.32000000000000006,1,L0_00,1,True
0,0.4600000000000002,1,L0_00,1,True
0,10.0,1,L0_75,0,True
0,10.0,1,L0_75,0,True
0,6.4599999999999085,1,L0_25,1,True
0,2.499999999999993,0,L0_50,1,False
0,0.9900000000000005,1,L0_00,1,True
0,1.2200000000000009,0,L0_50,1,False
0,10.0,1,L0_75,0,True
0,10.0,1,L0_75,0,True
0,10.0,1,L1_00,0,True
0,10.0,1,L0_75,0,True
0,3.5099999999999714,0,L0_50,1,False
0,10.0,1,L1_00,0,True
0,10.0,1,L0_75,0,True
0,0.21,0,L1_00,1,False
0,10.0,1,L0_75,0,True
0,10.0,1,L0_75,0,True
0,10.0,1,L0_50,0,True
0,0.9200000000000005,1,L0_00,1,True
0,0.8300000000000004,0,L0_75,1,False
0,10.0,1,L0_75,0,True
0,10.0,1,L1_00,0,True
0,10.0,1,L0_75,0,True
0,10.0,1,L0_75,0,True
0,10.0,1,L0_75,0,True
0,10.0,1,L0_75,0,True
0,10.0,1,L0_75,0,True
0,0.9900000000000005,1,L0_00,1,True
0,10.0,1,L0_75,0,True
0,0.21,0,L0_75,1,False
0,10.0,1,L1_00,0,True
0,10.0,1,L0_75,0,True
0,0.5100000000000002,0,L0_50,1,False
0,0.8100000000000004,1,L0_00,1,True
0,10.0,1,L1_00,0,True
0,1.420000000000001,1,L0_00,1,True
0,10.0,1,L0_75,0,True
0,10.0,1,L0_50,0,True
0,10.0,1,L1_00,0,True
0,10.0,1,L1_00,0,True
0,10.0,1,L0_50,0,True
0,10.0,1,L1_00,0,True
0,10.0,1,L0_50,0,True
0,10.0,1,L1_00,0,True
0,10.0,1,L1_00,0,True
0,0.4900000000000002,0,L0_75,1,False
0,10.0,1,L0_50,0,True
0,1.0200000000000007,1,L0_25,1,True
0,10.0,1,L0_75,0,True
0,0.5800000000000003,1,L0_25,1,True
0,10.0,1,L1_00,0,True
0,2.7499999999999876,1,L0_25,1,True
0,0.7600000000000003,1,L0_00,1,True
0,0.19,0,L0_75,1,False
0,10.0,1,L0_75,0,True
0,10.0,1,L1_00,0,True
0,2.6099999999999905,1,L0_25,1,True
0,0.5900000000000003,0,L0_50,1,False
0,10.0,1,L0_75,0,True
0,0.15000000000000002,0,L1_00,1,False
0,2.9899999999999824,0,L0_50,1,False
0,10.0,1,L0_75,0,True
0,1.6500000000000012,1,L0_25,1,True
0,10.0,1,L1_00,0,True
0,10.0,1,L0_50,0,True
0,1.290000000000001,0,L0_50,1,False
0,10.0,1,L0_50,0,True
0,0.43000000000000016,0,L0_50,1,False
0,0.27,0,L0_50,1,False
0,0.6700000000000003,0,L0_75,1,False
0,10.0,1,L0_75,0,True
0,10.0,1,L1_00,0,True
0,1.9400000000000015,0,L0_50,1,False
0,10.0,1,L1_00,0,True
0,0.8400000000000004,0,L0_75,1,False
0,10.0,1,L0_75,0,True
0,10.0,1,L0_75,0,True
0,4.249999999999956,1,L0_25,1,True
0,3.3999999999999737,1,L0_25,1,True
0,0.30000000000000004,0,L0_75,1,False
0,10.0,1,L0_75,0,True
0,2.2399999999999984,0,L0_50,1,False
0,2.2799999999999976,1,L0_25,1,True
0,0.30000000000000004,0,L0_75,1,False
0,10.0,1,L0_75,0,True
0,1.400000000000001,0,L0_50,1,False
0,0.5900000000000003,0,L0_50,1,False
0,10.0,1,L1_00,0,True
0,10.0,1,L1_00,0,True
0,0.5200000000000002,1,L0_00,1,True
0,10.0,1,L1_00,0,True
0,0.42000000000000015,1,L0_00,1,True
0,10.0,1,L0_50,0,True
0,10.0,1,L1_00,0,True
0,0.8700000000000004,1,L0_00,1,True
0,10.0,1,L1_00,0,True
0,1.5200000000000011,1,L0_25,1,True
0,1.1600000000000008,1,L0_25,1,True
0,10.0,1,L1_00,0,True
