,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.5300382165453639,0.3554141521132874,0.8112044574944786,1.348679989978347,1.4984627125512593,1.7488395842957014,2.2461345265536714,0.05026315141779453
a_std,0.6091353123164012,0.6944907094474058,0.049978002896256854,0.1324039962441715,0.3946522337612104,0.7173990425692915,2.80420381717095,0.09821581802426338
a_subj.0,1.4061803140070401,0.12347050892354781,1.1987658696289538,1.3009534441200057,1.3948311641239568,1.5018926882337977,1.643238435382214,0.017461366827278956
a_subj.1,1.5886596738190693,0.16701535343256166,1.3233780531730004,1.4627429130827267,1.560830696377223,1.7230551118439303,1.935257702284429,0.023619537794886455
v,1.098703409976316,0.6751611880155112,0.1321012761117848,0.8095390500267667,0.8948961203372059,1.2852050527277932,3.243244454803099,0.0954822108879467
v_std,0.8683301496437495,1.3726430375004748,0.009245677004437926,0.06853903758371993,0.30988818297589793,0.9480237762725164,4.612170549886813,0.19412103999301722
v_subj.0,1.0978672980307507,0.30047001709119864,0.7413929047198768,0.8752550414954733,1.0012498578182394,1.2462043228171658,1.902466284103513,0.04249287732568487
v_subj.1,0.9330029187040279,0.17420024534046896,0.64059423283138,0.844364415731036,0.9249260487282692,1.0299965309096124,1.283340788132989,0.024635634952921176
t,0.3235050214348119,0.12073052091008539,0.19768104887729715,0.2315288793760031,0.2761827050356791,0.368335306112506,0.6384721845276811,0.01707387400634113
t_std,0.1643496353593717,0.2151138597873416,0.004559289013201406,0.01919341951819703,0.073732582143575,0.24790343554774558,0.5485756316209462,0.030421693796568283
t_subj.0,0.24914678210664123,0.029318352194489996,0.18756005749963067,0.230197598267005,0.24856162676434013,0.26401844040764844,0.3066099093583726,0.004146241129987875
t_subj.1,0.2499866143261356,0.031406350262718014,0.1914107213891635,0.2225489582891892,0.2539498308450351,0.26905078594138143,0.3162628548546024,0.004441528648617563
sv,0.9955970710694088,0.5705016260598472,0.10472280071858549,0.4707873969376143,1.0325806149003924,1.485235255460394,1.9927261186005596,0.08068111369297398
sz,0.43408800598206965,0.23664563528516017,0.014203533320832835,0.21144291346626004,0.5339494991790446,0.6195295844723536,0.7715564713603632,0.03346674668966705
st,0.1323179735899739,0.07497467983055528,0.004586750090083809,0.08065319608987065,0.1290609268749085,0.16490302489827818,0.2983784707313525,0.010603020905095182
z,0.4942344391034247,0.018528808988437645,0.46778288869249385,0.4788561198601994,0.4906478294611905,0.5074547766359567,0.5329696206539992,0.0026203692966069027
z_std,0.02868396636023167,0.025017162269274997,0.0011621020563288768,0.010795146343084212,0.022267291545711373,0.03865838290115389,0.07930925343108103,0.0035379610173297176
z_subj.0,0.49231332648754905,0.017585905982200202,0.46613633251367886,0.4806990859533462,0.48715316096675787,0.507301312488834,0.5230949765655439,0.002487022674664567
z_subj.1,0.49581460837644215,0.019058130220528977,0.46849592903600107,0.4797585264831049,0.4990175122022972,0.5083169508513778,0.5383849770780557,0.0026952266231344622
