,a,a_std,a_subj.0,a_subj.1,a_subj.2,a_subj.3,a_subj.4,v(L0_00),v(L0_25),v(L0_50),v(L0_75),v(L1_00),v_std,v_subj(L0_00).0,v_subj(L0_00).1,v_subj(L0_00).2,v_subj(L0_00).3,v_subj(L0_00).4,v_subj(L0_25).0,v_subj(L0_25).1,v_subj(L0_25).2,v_subj(L0_25).3,v_subj(L0_25).4,v_subj(L0_50).0,v_subj(L0_50).1,v_subj(L0_50).2,v_subj(L0_50).3,v_subj(L0_50).4,v_subj(L0_75).0,v_subj(L0_75).1,v_subj(L0_75).2,v_subj(L0_75).3,v_subj(L0_75).4,v_subj(L1_00).0,v_subj(L1_00).1,v_subj(L1_00).2,v_subj(L1_00).3,v_subj(L1_00).4,t,t_std,t_subj.0,t_subj.1,t_subj.2,t_subj.3,t_subj.4,sv
0,2.761464817992025,0.09911721630747963,2.814729653471823,2.7810142573619236,2.8320568852987904,2.7268313809330613,2.9107580539077964,0.75683535786267,0.7740989593721155,-0.9627784458954256,-1.7921515640581558,-4.499361394854971,0.06973239216355022,0.9230519221966131,0.7328794031419521,0.7987084085639369,0.7948859995105533,0.7487524816719298,0.5710247969721283,0.7732780322930385,0.802420328603917,0.8329764122629295,0.6879858059694273,-0.893497399462402,-1.0019830698930692,-0.9973244167608277,-0.932712063319292,-0.9760614681658235,-1.6486395555623115,-1.7271476755563078,-1.6777572450923468,-1.8179639594629762,-1.8853431717256297,-4.369327814524003,-4.465137840846212,-4.499355182426115,-4.473947851997793,-4.558931161411283,0.3915712211495781,1.9139068141563673,0.0005370786479211556,7.1869930241728e-13,1.0334709259011978e-05,1.9406390442496934e-05,0.001651514697838606,0.14245349799056883
1,2.679211876695456,0.15240669933012596,2.86764539484004,2.713695870939123,2.770363050006098,2.7373600931707576,2.7451924620783292,0.801391238682464,0.7761055088030204,-1.0158414897127659,-1.8425632831947507,-4.491751974603643,0.0682759192610427,0.9291007818892407,0.8521776937009203,0.739100329976716,0.7341386815803114,0.7525293711412072,0.7667138170837471,0.8490274499819572,0.7160985128405088,0.821819075781054,0.751140842972907,-0.9160138302894998,-1.0188014318963705,-0.9041383225140779,-1.0177388133677818,-0.9678141519525973,-1.7878404895099838,-1.6972344383602567,-1.808328521030908,-1.8480151862558214,-1.9216340841708663,-4.433176145744305,-4.552678452429993,-4.406477103125115,-4.474450296607792,-4.50385518148947,0.3127132879899374,1.2090467912184204,0.0004582887851189169,3.74782621624896e-12,0.00018497933424969465,0.00010943683082338424,0.002383681914989796,0.19632145364798234
2,2.704614649192956,0.07079499676010992,2.787468642068336,2.72890149016889,2.8088442013288626,2.763894482446969,2.8149390786499677,0.8077048452947553,0.8050794005219732,-1.024001466447245,-1.8267081665128675,-4.517219026157244,0.07327023082096547,0.8105511695534766,0.7176227936669197,0.8290788503374427,0.7634297868623263,0.7973069824633212,0.8307098669291906,0.760592575612584,0.7999839840199707,0.8100063066215568,0.7445711711289045,-0.9617971001577863,-0.9656952449528651,-1.0648099040255088,-1.0625701905391183,-1.0380112158810815,-1.7605517077700952,-1.9571525038458526,-1.801229452900253,-1.7443284897421454,-1.9342563449795023,-4.445408125831635,-4.571436317500813,-4.499474130612742,-4.543523226158472,-4.4266770387683305,0.29810822140181154,1.1658159277612414,0.000675712620945401,5.560332148025036e-12,6.548285125198994e-05,2.511835229856898e-05,0.0035157084171830366,0.11479709124583798
3,2.856252553541081,0.0656895463845796,2.8534102973223403,2.729020195463501,2.8232246435513733,2.7118731101199076,2.780904385624748,0.7782028289947932,0.8339644960727762,-1.01100118195807,-1.7868179808221487,-4.5044572662445725,0.07686011548535338,0.8625897562401674,0.7000674406532517,0.8196037792628851,0.732015376631141,0.7897507358015514,0.8419218801492057,0.8278147617274412,0.7761699105732613,0.8562717609071973,0.8228475982947221,-0.9238742874532152,-0.9456632187439797,-0.9425121302226998,-0.9637216460730389,-0.9562585873251808,-1.8812152852810564,-1.8511174181674583,-1.791453397356392,-1.7107835022918518,-1.9680188089970756,-4.475085174890957,-4.445169590155604,-4.426724767131114,-4.546991564857935,-4.430141142718769,0.40900430846654123,1.317671122271928,5.409487057048449e-06,1.8003797051217528e-12,4.518356824256272e-05,6.168320738078961e-05,0.0046501677407708945,0.030057800226152297
4,2.7058853431927217,0.11077286710069605,2.8490252878534434,2.7281198369855377,2.867601952157144,2.7712401162739497,2.797528114168076,0.7366872342712839,0.8867680935074501,-0.9583230373206194,-1.7542454303996395,-4.4312535450839885,0.07649892237969212,0.8498714616846118,0.822616298769833,0.8391600217178504,0.7052553520762472,0.6749421001995503,0.8821041731022861,0.8752834879972483,0.810171042002004,0.922452576879494,0.8375218648260785,-0.9871970076186571,-1.032775880322538,-1.0329415638550352,-0.8153222287911429,-0.8313798818360604,-1.5499404003813577,-1.734542321968506,-1.7874127831559774,-1.8424810063401578,-2.017242295761004,-4.531820883805965,-4.534098668527154,-4.441496508445687,-4.548207651365587,-4.409376470585017,0.3753016166036492,1.3129595637235583,7.93754833917896e-06,1.2034937091795647e-11,2.881096267643869e-05,2.412052986753359e-05,0.004078873797542656,0.017949298700101594
5,2.66129515794687,0.14157518792131268,2.839779126107163,2.7332304751183183,2.8451694903134883,2.752512764525256,2.8051095457242536,0.7199930883377695,0.9003915483466429,-0.9399545926998942,-1.6898763894460214,-4.509777268410857,0.10570084273445807,0.6530214588444052,0.821255350277293,0.745186706574199,0.8300258500377864,0.787925742683071,0.6895444061297565,0.8871513886779729,0.8315398583543336,0.8911927504271784,0.7490846446988174,-0.804434522551793,-1.0864130322591297,-0.9449237382112294,-0.8961272997815704,-0.968551668415168,-1.6276904735607483,-1.7179825185782178,-1.6579622521824353,-1.7562958211872086,-2.007771329715315,-4.525436483428306,-4.4647242602211294,-4.412769591107727,-4.605975674819959,-4.532393742681661,0.4018975297320445,1.7336676161995017,1.0662027906594001e-05,1.248526303930864e-10,7.4020327887227406e-06,4.348953088986643e-05,0.0022824706845206125,0.12595638249028815
6,2.8820853332547283,0.17426922121908917,2.9239105671510397,2.8103441312691575,2.8561178194498473,2.752315447158558,2.8707272435378863,0.7887266260068132,0.8503073032825632,-0.8807452772892472,-1.7101250036654987,-4.529538625300636,0.12540043645177437,0.7332782059411698,0.7052666613233075,0.8009563589962612,0.7519843294016255,0.8539753198482493,0.5893151042207483,0.8056880931759626,0.7909412613174176,0.8232677863204101,0.7977323704270708,-0.7687134867808495,-0.9578313906154658,-0.8654770805180558,-0.9149080314821525,-1.1459621338268784,-1.6992660522902585,-1.8365211972061246,-1.6874794879879011,-1.6845290905347547,-1.911019542068243,-4.56637295933011,-4.521942544379857,-4.53895821318338,-4.572560574713076,-4.5209549622387035,0.708593705063951,2.045473043040082,0.00020875063876900888,1.322273022870438e-10,3.684648454268818e-06,3.7453158165223305e-05,0.0013793632354981672,0.09027047345147829
7,2.798068585266381,0.06311727189110761,2.756509100406394,2.80562085212025,2.8587043092393154,2.7521316802264777,2.8482351288070107,0.7570262379425806,0.7493860219557756,-0.9691985903905318,-1.7348757410612907,-4.669292975989169,0.07771524111012906,0.7168827894664553,0.8834021011188478,0.7151181106393366,0.7833168364964023,0.76174686750953,0.7787597728548026,0.7452336900985975,0.8549590795517799,0.8219556633609999,0.6529978163953706,-0.938750125912261,-0.9916837378485632,-0.888023260939959,-0.9433458381537072,-1.053281041210917,-1.698663638794574,-1.7567423501327628,-1.7003234620736523,-1.8210259568357792,-1.8434519160552467,-4.433983137581048,-4.6969149328185145,-4.711973404931392,-4.645190621015806,-4.523779569168283,0.7411807212231856,2.4071412533928602,9.71640650021424e-05,6.167340115531811e-11,1.7209382504072155e-05,9.632614110989661e-05,0.0016577912000716511,0.029244193789882692
8,2.790703336681843,0.04703902228613127,2.9187647444345615,2.7978938444161505,2.8431694329025095,2.7614957921410888,2.8416890304812585,0.7784091827743884,0.7810231212347772,-0.9076969761336189,-1.7292779237208227,-4.671842370644126,0.06377461774647411,0.7003796122109133,0.7825149459249439,0.818588126460995,0.8009527764683897,0.903382132128691,0.8040010730280381,0.7190095804527779,0.784544526915292,0.7854870077367446,0.7099684532592354,-0.7767043354684093,-1.026238732831863,-0.8195844318277938,-0.8813054614350025,-0.8895074135349164,-1.658922387799287,-1.7010061690371057,-1.7643938329320539,-1.7333871751753613,-1.86932732944947,-4.701125120710037,-4.748805463247385,-4.563880682398485,-4.634045860653193,-4.693183614523691,0.49291545326634834,2.208324859244967,0.00044013428401966446,2.6787001064245043e-11,1.777681359698754e-05,7.245877470594974e-05,0.0014512542455004415,0.12292354025381841
9,2.7692852188190176,0.07869584670635855,2.8868672017445616,2.751388884657343,2.8653861311849878,2.767714905446098,2.85930429435692,0.7908284341466614,0.7312142019787065,-0.8565544635063661,-1.83300375528717,-4.640990019514475,0.08473634207373792,0.8710607285448282,0.7837829919975214,0.8063232209739121,0.7734132041737216,0.688644608085893,0.8266752060193685,0.681831509973082,0.682234487336228,0.7653478795782305,0.7661613319411653,-0.7527137012058771,-0.9905333696993979,-0.854738785456147,-0.7727453801895785,-0.8997121636719636,-1.7448565619844265,-1.8674053770915455,-1.678406359786515,-1.6948398377750677,-1.8072559382844897,-4.536295678214563,-4.613745228443854,-4.670383061787142,-4.660025914849176,-4.69695144236823,0.39752847053196405,1.7328955416196539,0.00046392582103996736,2.426134293492827e-11,2.8599866225260603e-05,2.7146543693036922e-05,0.001161470641695817,0.0018124245295796347
