,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,7.558600768448014,0.23482845582159612,7.040442374459173,7.423970544716517,7.560507629241662,7.735322021617568,7.998245114987107,0.021875106166458196
a_std,0.13853086289727276,0.11465661866212534,0.008679286617996357,0.058514484266144084,0.10982025960605679,0.18777847586193308,0.44091945085345774,0.00864801882248529
a_subj.0,7.580453245596004,0.25397049997500903,7.0542139994978506,7.42947728889364,7.577210733481931,7.7586026274646205,8.042802927204896,0.021440658589463014
a_subj.1,7.5753675637028435,0.2617243467918893,7.0296006277975644,7.415586668071964,7.577182370141162,7.758915269567764,8.076834056143943,0.022262994398840667
a_subj.2,7.506132239787503,0.2736197658429939,6.88272236329517,7.35185415923039,7.523277555747708,7.714877159926969,7.987780830642464,0.023750452160890632
a_subj.3,7.533277135232697,0.2695015499788128,6.961276633159942,7.3765506908984575,7.543592831477566,7.733607593621363,8.01541638743869,0.023227819274655302
a_subj.4,7.512026568110436,0.2684747717979294,6.920342135477415,7.360444892270139,7.523874378768222,7.715619402258032,7.975439921695754,0.02311560045841642
a_subj.5,7.599748380880116,0.2538149078123707,7.055316729008988,7.447098896290913,7.598527201737195,7.775438022604214,8.102204472070271,0.02178011828397145
a_subj.6,7.562349521522099,0.2593011179495153,6.992365843954742,7.416674105892787,7.559061845464664,7.74777538811071,8.037128719461696,0.02243649204333913
a_subj.7,7.607567251837792,0.26060550727537785,7.075065067218905,7.455406791498229,7.594539344503631,7.774788684119605,8.140350544945886,0.02158234047273515
a_subj.8,7.640677385532728,0.27422386285526096,7.108678395942862,7.4691844182065275,7.636522113161507,7.812002245759774,8.222612269742138,0.022282527350072627
a_subj.9,7.536770650637695,0.27554535420545123,6.923276053911688,7.394075590420145,7.542053010362939,7.733794129715792,8.04551482156128,0.023806446669971025
v(L0_00),3.983134309152223,0.11037781854321775,3.755563375458044,3.9103886411900732,3.985155202381372,4.060079472566723,4.1953512652441125,0.009549984963881226
v(L0_25),2.5522989020932836,0.0878124988448751,2.366840677114155,2.497938713425458,2.551094602947017,2.612601235755368,2.726580036431067,0.006944604479252525
v_std,0.10412936523032232,0.05024015869664501,0.021809354675308222,0.06783748199536273,0.09977713943362493,0.1365210509302991,0.216262425284252,0.004018923097291531
v_subj(L0_00).0,3.89496544436098,0.13233251185957717,3.625093956228743,3.81021861029046,3.899694112763932,3.9860426746655966,4.142029690352014,0.009375069073326619
v_subj(L0_00).1,3.912507767856943,0.13115087467404624,3.645776021001485,3.8306412527513216,3.9149295016953682,4.001174154033862,4.165717545771024,0.008845906020781478
v_subj(L0_00).2,3.968868799495157,0.13230116699752678,3.703439694609191,3.8777693422900565,3.9720317975468067,4.0629128842781865,4.215016963923024,0.009630175198656919
v_subj(L0_00).3,4.030347044289339,0.1403192689638078,3.7631467162126606,3.9310067983176205,4.03004451832732,4.120747518780061,4.3084337865324445,0.010634374070638806
v_subj(L0_00).4,4.023881171243873,0.13907411553350693,3.7546093993608247,3.9295952271275403,4.018467302576771,4.121020988106851,4.296480384734573,0.010273433066564842
v_subj(L0_00).5,3.9498251798883435,0.13235802852771908,3.691463552049724,3.8577677944045328,3.952191914918253,4.040124121199108,4.207763884461112,0.0095170154925607
v_subj(L0_00).6,4.01236939540138,0.13646039971693968,3.7571018376578666,3.915091486707036,4.009556525075599,4.106124168948404,4.285270066474614,0.01034728125313385
v_subj(L0_00).7,4.030226823264208,0.14517494947462647,3.754336909417626,3.9302033701761694,4.025698882334249,4.122622468730635,4.333886958088899,0.010704299216665361
v_subj(L0_00).8,3.9394387195747402,0.13577002102468444,3.672651759831508,3.849547871756972,3.938802654445034,4.028395613080632,4.212106676156541,0.009480763377302902
v_subj(L0_00).9,4.055915172840049,0.15284379738354073,3.7553384346722787,3.9545897484741515,4.0537776498553635,4.154717518094772,4.361282108122861,0.011657451793897513
v_subj(L0_25).0,2.591584414190039,0.12232441768944839,2.3639419607314,2.5067081460717233,2.5829435926401367,2.671194654022745,2.8518608377153973,0.00779159826142446
v_subj(L0_25).1,2.5980904332587373,0.12066342277221197,2.3563160911415735,2.5205752051664816,2.5928201547696705,2.676115944512797,2.847925731503325,0.007708940743848385
v_subj(L0_25).2,2.6006123079735217,0.12743640081179172,2.365646402714771,2.5137898751083285,2.592276555708897,2.6812616850368647,2.8646838383460107,0.008236030584702085
v_subj(L0_25).3,2.5185915772142224,0.11094793438581863,2.294439112251131,2.4516449000299714,2.518694904866218,2.5912629350247305,2.739407649044381,0.006862137847107724
v_subj(L0_25).4,2.6052804288099147,0.1261205895826649,2.3650089705708712,2.519712866140485,2.5997267389806775,2.690524942129157,2.865523327117698,0.00847075871802978
v_subj(L0_25).5,2.5509080650722873,0.1150233211390529,2.3267443510242183,2.477509828554328,2.545541066872212,2.626661648658585,2.783032238463449,0.007252101180700131
v_subj(L0_25).6,2.518869129262387,0.10929818063222677,2.2940106900806283,2.447477820647919,2.5193525123822895,2.5886746027795824,2.736145647431383,0.006407152537050186
v_subj(L0_25).7,2.5145225391516415,0.10943772962710853,2.2982164474791085,2.4419297248683387,2.5172014383004004,2.585040392751916,2.7342534096245634,0.006345547340828024
v_subj(L0_25).8,2.5367018276661146,0.11487471534392003,2.308511954230419,2.4633366975712794,2.53792639005158,2.608567951540969,2.76441893044749,0.006501202263547073
v_subj(L0_25).9,2.491388704851967,0.11807335376090711,2.2367544614227732,2.4156500423523686,2.499102600408849,2.5690796694382434,2.714928695649893,0.007192381380087869
t,0.19143897414259975,0.14543760931304286,0.035430472889517096,0.0406459036541117,0.172273805408808,0.2893841654720663,0.513676871473355,0.012886174986328195
t_std,0.626867908619261,0.620638513112752,5.253342701041819e-06,0.0011161406979810287,0.4859349425654109,1.0487209137601152,2.071489335212685,0.056617600201986994
t_subj.0,0.018396992450276175,0.019616420916570412,6.721495664650093e-10,0.00012501245808535356,0.008844934628025755,0.039537663054997445,0.05303424920849527,0.0016322556519185998
t_subj.1,0.01812759106564324,0.019985534301422594,5.606501505229046e-10,5.814163635158145e-05,0.007638098800856856,0.03937114508417545,0.057972229095688346,0.0016011661168383417
t_subj.2,0.015025395087657328,0.01796280839447097,4.802674972402269e-10,3.68636313523414e-05,0.0032427877632314715,0.0380841035281301,0.04168441136045927,0.001649525132907212
t_subj.3,0.014070345317650512,0.01767042490334699,1.3831189214608354e-08,8.515717876125752e-05,0.0020110440851636613,0.03799583945161065,0.04106006540306133,0.0016790850922872931
t_subj.4,0.01590350898478035,0.019303387415405444,3.601236616221999e-17,7.024812595342833e-07,0.002605434873931417,0.03885881524083331,0.04592369403828048,0.0016985623441670475
t_subj.5,0.017616458082366258,0.01979928595045079,7.787846120507732e-23,8.040488492782633e-06,0.005303477957760936,0.03943277294469047,0.05490554117922499,0.0016920074493426448
t_subj.6,0.014032173443006198,0.01820863338464653,6.423301301898267e-28,1.5723649241314645e-11,0.0003910099323018437,0.038238569026096986,0.04204014145017343,0.001722203904396177
t_subj.7,0.01825993057671311,0.020106196369607907,1.957682776067734e-12,5.4242411390147764e-05,0.007225531403358135,0.03958295532240674,0.05564303414070615,0.0016421252292530195
t_subj.8,0.03344252998021206,0.03304184640231322,2.41031349416624e-13,0.0003580075695775398,0.03797159054013891,0.04191089682528791,0.11955221764316683,0.0023911354374270655
t_subj.9,0.015027376522714476,0.018760833147386913,1.148462380473793e-16,4.0891387069324716e-08,0.0016269991893203561,0.038700922150116404,0.04438506033991931,0.0017085429914967276
sv,0.06703388372016023,0.05046681631016445,0.0028855403400321754,0.027302764874532495,0.05622995286652155,0.09935062579939444,0.18513037781193797,0.001709524723433404
