parameter,true_value,recovered_mean,hpd_lower,hpd_upper,within_hpd,relative_error_pct
a,1.5,1.4809411341072722,1.3779916089374964,1.5839541450471546,True,1.270591059515184
v,0.5,0.578619309707014,0.4323937503099742,0.7546403166042068,True,15.723861941402806
t,0.2,0.21979340574398581,0.19674661823222772,0.23968679160362272,True,9.896702871992902
