,a,a_std,a_subj.0,a_subj.1,a_subj.2,a_subj.3,a_subj.4,a_subj.5,a_subj.6,a_subj.7,a_subj.8,a_subj.9,v(L0_00),v(L0_25),v(L0_50),v(L0_75),v_std,v_subj(L0_00).0,v_subj(L0_00).1,v_subj(L0_00).2,v_subj(L0_00).3,v_subj(L0_00).4,v_subj(L0_00).5,v_subj(L0_00).6,v_subj(L0_00).7,v_subj(L0_00).8,v_subj(L0_00).9,v_subj(L0_25).0,v_subj(L0_25).1,v_subj(L0_25).2,v_subj(L0_25).3,v_subj(L0_25).4,v_subj(L0_25).5,v_subj(L0_25).6,v_subj(L0_25).7,v_subj(L0_25).8,v_subj(L0_25).9,v_subj(L0_50).0,v_subj(L0_50).1,v_subj(L0_50).2,v_subj(L0_50).3,v_subj(L0_50).4,v_subj(L0_50).5,v_subj(L0_50).6,v_subj(L0_50).7,v_subj(L0_50).8,v_subj(L0_50).9,v_subj(L0_75).0,v_subj(L0_75).2,v_subj(L0_75).4,t,t_std,t_subj.0,t_subj.1,t_subj.2,t_subj.3,t_subj.4,t_subj.5,t_subj.6,t_subj.7,t_subj.8,t_subj.9,sv
0,4.165830011795944,0.11084874501414871,4.169765071449328,3.9847349796199136,4.098265670454963,4.135359623106981,4.1252765509689056,4.204556693623878,4.123211992521446,4.09347672165784,4.242042398887949,4.227629069750655,2.215506966569397,1.2647058105660884,1.184231493830828,2.211258656672894,0.023848243002483283,2.2050367119588876,2.218873115070538,2.1973358183950147,2.211913548775511,2.1835319377176066,2.2162448234011096,2.235238216434609,2.245583285487715,2.21264179363774,2.2426769509395714,1.2985169031153798,1.2494306093293237,1.252987707413543,1.2933084848555103,1.2826337743084288,1.2860839501503474,1.2505224067926815,1.244132527882721,1.2664582337275407,1.2827762541061056,1.220821890849096,1.16874163336905,1.2025493579381,1.1559414596825646,1.1541977613657073,1.1714400331832933,1.1819783621804099,1.1646975085001265,1.1651352508607713,1.167368577166068,2.2067195275368707,2.1734651520253667,2.220335978836717,0.505015310881823,1.8737317769610358,1.1036254481993218e-20,0.006691181276532827,0.00368651250884338,3.070343423776209e-09,8.545983410952523e-07,0.0001733815055626781,9.109748286817938e-08,0.002310639620080903,3.6164659076846184e-16,0.00024547256698999136,0.00868388679125224
1,4.135159572116754,0.09406110876317782,4.092246358751864,4.165859471424474,4.098844245674344,4.122524847322653,4.12052876656244,3.999310248020479,4.13630739403101,4.122415197170177,4.098177133933949,4.140965624260227,2.2101358486254856,1.2851284469129456,1.168881969682601,2.2063604904295064,0.026514525188384576,2.1924086561925775,2.1967238123192434,2.17995600851228,2.2276795064833785,2.1922800160927802,2.224455618302556,2.2072608933650817,2.2274167624699275,2.1634046165214915,2.195738526273065,1.300954971174939,1.2556542583328059,1.282545898604852,1.2929262996289013,1.300369527683337,1.3079804565488966,1.3077409341429844,1.2348011724541714,1.2876190001635752,1.3187275424641955,1.201104183400882,1.1772244801378853,1.2008519001136007,1.1446241240299717,1.1801763203160112,1.1876570534826618,1.1784554409447867,1.1815950315432004,1.1527593388706845,1.1444111150644884,2.192648742306269,2.2664860433123706,2.2086865794972623,0.49662997649022184,1.9642190029295417,1.736907951356896e-20,0.011835447719518888,0.007623632806634091,3.0442149357689553e-09,3.861664225840868e-06,8.620322024211938e-05,5.38894394965171e-08,0.005003583639888659,2.994371458377424e-16,0.00018800805538156536,0.0676012897177858
2,4.063784067950493,0.12803490268177772,4.017940713640188,3.9253490401307682,4.034476089369441,4.121015171495632,4.112175997504854,3.9775929392998566,4.200104245970896,4.215855227812341,4.274378388100703,4.276514682370404,2.191995055081887,1.2921076247534284,1.1903353601679798,2.2042594330162046,0.029342247547773308,2.1713957691642545,2.1654115030634493,2.2209046076103838,2.2025116259544366,2.1694730295488727,2.208672242691634,2.207828166661876,2.2370223998505008,2.1852739939108967,2.163047025501246,1.3339863921598687,1.2533068455391363,1.2965723162938991,1.2908446413567158,1.3166441657107044,1.30148748973127,1.3099741052877616,1.2575877381954097,1.2657380820740791,1.3240636407620128,1.1566349116348158,1.2041548573497138,1.2098090945627535,1.1449953286142125,1.1937216375841,1.1601026275065205,1.1638373324048517,1.1815924522293002,1.1638358408522347,1.171498868239887,2.2221223941050976,2.232622536698611,2.148200855909688,0.3941707412844808,1.7836461232870078,1.4017535316441401e-21,0.005169497747010558,0.005776387517857274,1.937934869854645e-09,5.374200860084363e-06,0.00015463730326454055,1.0371219032810459e-07,0.0013382909090785527,3.814861747181113e-17,0.0007086213613150415,0.08242160863496485
3,4.090275010853598,0.13164901151578434,4.034923933449932,3.90738956492605,4.018417642839022,4.11816669353803,3.9396505026795254,3.8805509436642858,4.073120538999367,4.063523400515107,4.083266853937489,4.239278480010446,2.1979674051720646,1.2951437274256634,1.1804633331019412,2.240875264286965,0.02468851570138159,2.2032281307268584,2.1682737119876303,2.19061428229845,2.2016615009360736,2.204415432293663,2.216614721572024,2.1879249988796685,2.1763310736725945,2.1693420059584967,2.176894512745073,1.300818209311887,1.2373561372017035,1.2651260868697694,1.2717861395837318,1.290781444824725,1.2943645813519487,1.2864907255685156,1.2587412285656718,1.33510101494695,1.242208551765023,1.1991325808382678,1.1739919588019572,1.1471823723967705,1.2095114813901224,1.19267740481583,1.2067086102482503,1.1844778743265223,1.194682065793501,1.189493609552937,1.1746477167087697,2.2631817445854745,2.2287357499836844,2.289858764844188,0.34205863963846744,1.242966803069478,8.284248645781543e-21,0.007800418474283824,0.003960583702119751,6.934845597445575e-09,1.0406537425874902e-05,0.0019760707884994588,4.648837450461819e-08,0.0022305630078539446,8.923421093015231e-20,0.00016271956735649604,0.08607635999323675
4,4.091632668140926,0.10663301475983289,4.1499336746968165,4.160999184966965,4.052087740193388,4.0454018549840045,4.145377558890704,4.0950895870655835,4.143833730523238,4.044361661495429,4.125547434220301,3.9421556257009605,2.192479683911178,1.2752145415264846,1.1893209897189805,2.234252554766596,0.028210162991667773,2.187632433912776,2.1905876674894103,2.1987459322452523,2.21011926991294,2.211885757290128,2.2123921980904853,2.166578313414753,2.2212611487466942,2.148781095539721,2.192202459756869,1.348285868809676,1.3032709736307564,1.3022916198917365,1.2580278097450135,1.2947657965930037,1.2555937866288067,1.2838760953482955,1.2483721364449427,1.2206512266028284,1.294162615970575,1.1928377361061522,1.1553571139132994,1.2254837343854714,1.228893111073688,1.1952245749319437,1.2224663567205396,1.2203394094804443,1.1576734243093292,1.1869002007062843,1.1847344968901077,2.194368946545179,2.235448799767597,2.2711663026972593,0.24860316324740142,1.094056560564693,2.0507369274606122e-21,0.004128917258428099,0.007501952199900968,1.65335815525045e-08,9.951495282038403e-06,0.0016719077039680328,5.984455521898637e-08,0.001319724580829307,8.752017677491482e-19,6.51363396821099e-05,0.02565338603032464
5,4.095518455112453,0.045529679860050576,4.101399243013164,4.047986318702972,4.045339711902355,4.042080006814915,4.095832583667777,4.079339665354001,4.106666209387057,4.120477902319224,4.096879817742834,4.149101589115315,2.207683367459355,1.2765153965158031,1.1948052588188094,2.2255924485861605,0.03097548878852152,2.209311357649363,2.242419881503303,2.232230992161804,2.2152269621454055,2.188618529154434,2.249201311901725,2.2216302036864524,2.2170596369949984,2.288384547317448,2.1626138551397,1.2714829106210925,1.2818522718836078,1.240474922110843,1.287936419545695,1.2692889596709616,1.2934952735667233,1.2743011187133564,1.2886519539685988,1.295262725137611,1.3012905735053462,1.1730777161134514,1.145858008286426,1.178787029237645,1.2376710272945828,1.1715636073961484,1.179053186991577,1.2205019023962913,1.1444286191379192,1.1886768913118884,1.2383663466004948,2.2033929875319624,2.264705350652146,2.259108989270663,0.24532209599785004,1.0378936469096987,3.393052987075483e-21,0.00690536964739577,0.006954584937318289,1.092214476249961e-06,2.279350577577466e-05,0.0016181495905577964,2.097944538506182e-07,0.0017490682440539065,6.580459323978852e-19,0.00019498608298424585,0.03977876537102281
6,4.098898274942612,0.037801060739396375,4.073870908345864,4.0437188736019065,4.0807710669212,4.155144356160193,4.155025092596084,4.0846509316452915,4.103740804256691,4.157424160745926,4.090391895511965,4.094171233961794,2.2179855536872566,1.2823520544278637,1.1869762331337046,2.2281802677497633,0.03603516353399999,2.2087931105369334,2.188986764104318,2.196078538356325,2.2163963809495977,2.205808938431299,2.2053977912143248,2.219439927487212,2.2437340080949526,2.1312974423581164,2.1991886548220148,1.3274267079529427,1.288540511780675,1.3268387548042544,1.267788901215964,1.345486997292867,1.3395116001089684,1.276528055096832,1.2928318641027248,1.307143613191062,1.2244443841915242,1.2266634582207931,1.1240987605061319,1.1691894680544268,1.1976050550165114,1.1500806963736878,1.1770662051632492,1.1718141568151772,1.1746892836966307,1.169282943220858,1.1951910499866927,2.2409575712207186,2.193404874621657,2.213157089901664,0.292440104934623,0.943801717948351,3.457629271303384e-21,0.010053623017821775,0.006490553901231431,2.852038432382347e-07,1.9824841574020682e-05,0.0018015162915598142,1.9432301999972498e-07,0.008659671877978017,2.7894498847821087e-18,4.475699192905622e-05,0.005508928178036182
7,4.141711316225081,0.037104778022438466,4.077962920977179,4.064126041459053,4.051255892775376,4.120429421448973,4.131623503537197,4.2034684592123925,4.1950703585556814,4.153133195001086,4.12139847242361,4.13207104784171,2.185455871982002,1.3161854504350792,1.1506935166295662,2.2587451244963836,0.03521692799038439,2.208324013363837,2.1994253060292355,2.140618191765239,2.1422624111241615,2.1803770728574694,2.1934753657518558,2.194648764143013,2.2406540557224486,2.1942738555899064,2.1782118819425595,1.366406046499976,1.3095196830772549,1.3033040915117733,1.3644995497794412,1.3548371563018824,1.3441666438254571,1.269493514781472,1.3114902262505588,1.3398767649997902,1.2787788628173227,1.0856530697454907,1.2006449135977242,1.163321584428562,1.176196916862955,1.1758456922698393,1.1413004638885011,1.1686588061686365,1.137033937166226,1.1634381707085326,1.1700317850202808,2.2254559815476664,2.2487997930315355,2.2288930176218953,0.19523028384620272,0.7177696422102755,5.20291428003093e-21,0.013262618692583744,0.0032732433612504136,1.1271472925287677e-07,4.09994675090656e-07,0.00013117689439625182,4.522665133847812e-07,0.0007676574652810983,2.7063742588341285e-18,2.795337931488098e-05,0.04894742452988148
8,4.107019484187796,0.1006435291229047,4.247115969175098,4.140778055616841,4.060792157204758,4.180297045191704,4.192718782394192,4.014299073918017,4.160975494305932,4.165906062122007,4.149200295150781,4.059711337676042,2.1870758047254055,1.3208979171679156,1.1563063430401863,2.267567658753305,0.036006435137039175,2.203980150872254,2.2167373777641113,2.1586967086474376,2.2150356905316304,2.182413209264578,2.289789581038432,2.227723501342117,2.22580234979807,2.1627286227065547,2.1588556140189867,1.2904962123513917,1.31604275185882,1.344863348061887,1.3551482468491338,1.3534672016452278,1.3343002816249663,1.3295231679395345,1.3208055164104127,1.301632570062014,1.2982079059899125,1.1368511111649238,1.127252128563407,1.2565684303740816,1.1715074709985487,1.1821921531521702,1.108224891133438,1.1594986107632503,1.1420724109005491,1.1288982764078634,1.1472107985779894,2.3046305924386212,2.2689876278784196,2.2682182311584134,0.201584813998957,0.6914672314525094,6.7901597487338625e-22,0.016042126273276884,0.007450040104147739,1.2526963787061902e-07,3.1254534261158756e-07,0.0004704149210199681,7.382866921364729e-08,0.0006274331588470639,4.318710018250562e-19,1.1504957613060887e-05,0.002137274045717503
9,4.139106386411356,0.10079477760926187,4.154295267372823,4.105700361251009,4.06281150190778,3.977127949194203,4.06415473657098,4.056064816527641,4.1301921760547655,4.187067735930009,4.1421966475770535,4.106773520252077,2.2164858609893843,1.3327699998811073,1.1602468625237636,2.2694001527979935,0.029650398802893028,2.248234373724746,2.2194270592725527,2.17707142752062,2.216458291417814,2.25126440863317,2.1733004652824772,2.2006050940572575,2.2141534887838588,2.1709314731347975,2.163094498405753,1.3430295021818768,1.34753741024313,1.3538560825398267,1.3692864465806682,1.3636571931434331,1.3049374699015575,1.2911458220559544,1.3324394414033862,1.2997196874348593,1.359513021046198,1.1860009328801646,1.2014556353991481,1.2552622756751335,1.1276747084624792,1.1583170590962073,1.1216050360185807,1.1528763706487655,1.1764915191612997,1.1823762050917053,1.1813387903795034,2.3214147463215493,2.224814614828911,2.2780419136587624,0.1631147688072871,0.8945117229665533,1.4963615192960197e-22,0.014212915847031651,0.00668797716705311,2.9157259234177056e-08,1.58570188565298e-07,0.0006669047870159902,1.3923030416173872e-07,8.075300426162559e-05,7.45425018776803e-18,1.2508964675132977e-05,0.004390879601813136
