subj_idx,rt,response,condition
0,0.9000000000000005,1,L0_00
0,1.1800000000000008,1,L0_25
0,0.5400000000000003,1,L0_00
0,0.9400000000000005,1,L0_00
0,0.7200000000000003,1,L0_25
0,1.6300000000000012,1,L0_25
0,0.42000000000000015,1,L0_25
0,0.8000000000000004,1,L0_00
0,3.9299999999999624,1,L0_50
0,0.33000000000000007,1,L0_50
0,1.7700000000000014,1,L0_00
0,0.30000000000000004,1,L0_00
0,1.1100000000000008,1,L0_25
0,1.7000000000000013,1,L0_25
0,1.6100000000000012,1,L0_25
0,0.8500000000000004,1,L0_00
0,1.9500000000000015,1,L0_25
0,1.6000000000000012,1,L0_00
0,0.9800000000000005,1,L0_25
0,0.31000000000000005,1,L0_00
0,0.9800000000000005,1,L0_00
0,0.6200000000000002,1,L0_50
0,0.5800000000000003,1,L0_00
0,0.9200000000000005,1,L0_25
0,1.390000000000001,1,L0_00
0,0.8800000000000004,1,L0_25
0,1.8800000000000014,1,L0_50
0,1.2200000000000009,1,L0_50
0,1.5100000000000011,1,L0_25
0,0.7000000000000003,1,L0_00
0,1.0100000000000007,1,L0_50
0,0.43000000000000016,1,L0_50
0,3.159999999999979,1,L0_00
0,1.310000000000001,1,L0_25
0,0.9000000000000005,1,L0_00
0,1.0900000000000007,1,L0_00
0,0.6900000000000003,1,L0_50
0,2.7499999999999876,1,L0_25
0,1.1800000000000008,1,L0_25
0,2.8999999999999844,1,L0_25
0,3.619999999999969,1,L0_25
0,1.2000000000000008,1,L0_00
0,1.500000000000001,1,L0_50
0,0.7100000000000003,1,L0_00
0,0.7600000000000003,1,L0_00
0,1.320000000000001,1,L0_00
0,1.2300000000000009,1,L0_00
0,1.8000000000000014,1,L0_25
0,2.4599999999999937,1,L0_75
0,1.7200000000000013,1,L0_25
0,0.8800000000000004,1,L0_00
0,1.2400000000000009,1,L0_25
0,1.1800000000000008,1,L0_25
0,1.1300000000000008,1,L0_25
0,1.0300000000000007,1,L0_25
0,0.6500000000000002,1,L0_25
0,1.7500000000000013,1,L0_25
0,0.5700000000000003,1,L0_00
0,1.1600000000000008,1,L0_00
0,0.7000000000000003,1,L0_25
0,1.1000000000000008,1,L0_00
0,1.1000000000000008,1,L0_25
0,0.5300000000000002,1,L0_25
0,0.5500000000000003,1,L0_00
0,0.3700000000000001,1,L0_00
0,0.8800000000000004,1,L0_25
0,1.5500000000000012,1,L0_00
0,1.0000000000000007,1,L0_00
0,0.7300000000000003,1,L0_00
0,0.8400000000000004,1,L0_00
0,0.9500000000000005,1,L0_25
0,0.7800000000000004,1,L0_00
0,2.16,1,L0_25
0,3.57999999999997,1,L0_25
0,1.460000000000001,1,L0_50
0,1.1100000000000008,1,L0_00
0,1.6800000000000013,1,L0_25
0,0.9100000000000005,1,L0_00
0,0.44000000000000017,1,L0_00
0,0.6500000000000002,1,L0_00
0,1.1900000000000008,1,L0_25
0,0.8600000000000004,1,L0_00
0,3.909999999999963,1,L0_50
0,1.1100000000000008,1,L0_25
0,3.5099999999999714,1,L0_50
0,1.300000000000001,1,L0_25
0,1.450000000000001,1,L0_00
0,1.360000000000001,1,L0_25
0,1.0900000000000007,1,L0_25
0,1.1300000000000008,1,L0_00
0,0.5600000000000003,1,L0_00
0,1.0600000000000007,1,L0_00
0,0.8900000000000005,1,L0_25
0,1.7500000000000013,1,L0_25
0,1.380000000000001,1,L0_25
0,0.9100000000000005,1,L0_00
0,1.7500000000000013,1,L0_25
0,1.7700000000000014,1,L0_25
0,1.310000000000001,1,L0_25
0,1.8300000000000014,1,L0_25
0,0.8200000000000004,1,L0_00
0,0.6500000000000002,1,L0_00
0,1.360000000000001,1,L0_00
0,0.7100000000000003,1,L0_25
0,1.6300000000000012,1,L0_25
0,0.5300000000000002,1,L0_00
0,0.9100000000000005,1,L0_00
0,0.9500000000000005,1,L0_00
0,0.7100000000000003,1,L0_00
0,0.40000000000000013,1,L0_00
0,0.5800000000000003,1,L0_25
0,1.280000000000001,1,L0_25
0,0.8500000000000004,1,L0_25
0,1.0800000000000007,1,L0_00
0,0.6100000000000002,1,L0_25
0,2.6099999999999905,1,L0_25
0,0.30000000000000004,1,L0_00
0,1.320000000000001,1,L0_00
0,3.09999999999998,1,L0_25
0,0.6000000000000002,1,L0_00
0,2.7499999999999876,1,L0_00
0,0.8800000000000004,1,L0_00
0,0.6800000000000003,1,L0_25
0,0.5600000000000003,1,L0_00
0,0.5800000000000003,1,L0_50
0,1.2200000000000009,1,L0_00
0,1.8800000000000014,1,L0_00
0,1.1100000000000008,1,L0_00
0,0.4600000000000002,1,L0_00
0,0.5300000000000002,1,L0_25
0,1.310000000000001,1,L0_00
0,0.7500000000000003,1,L0_25
0,0.9800000000000005,1,L0_25
1,0.8200000000000004,1,L0_00
1,3.0699999999999807,1,L0_50
1,1.340000000000001,1,L0_25
1,1.6900000000000013,1,L0_00
1,2.259999999999998,1,L0_25
1,0.7700000000000004,1,L0_00
1,0.6900000000000003,1,L0_00
1,0.9500000000000005,1,L0_25
1,2.2899999999999974,1,L0_25
1,0.5600000000000003,1,L0_25
1,2.7599999999999874,1,L0_25
1,0.8800000000000004,1,L0_00
1,0.6200000000000002,1,L0_25
1,2.4299999999999944,1,L0_50
1,0.6100000000000002,1,L0_00
1,2.769999999999987,1,L0_00
1,0.6000000000000002,1,L0_00
1,1.320000000000001,1,L0_00
1,1.1300000000000008,1,L0_00
1,1.340000000000001,1,L0_00
1,0.6000000000000002,1,L0_00
1,0.8900000000000005,1,L0_00
1,3.659999999999968,1,L0_25
1,0.9900000000000005,1,L0_00
1,0.5800000000000003,1,L0_00
1,1.0600000000000007,1,L0_25
1,1.0400000000000007,1,L0_50
1,1.6700000000000013,1,L0_25
1,0.7400000000000003,1,L0_00
1,0.7800000000000004,1,L0_50
1,2.0000000000000013,1,L0_25
1,1.0700000000000007,1,L0_25
1,3.009999999999982,1,L0_25
1,0.9500000000000005,1,L0_25
1,2.409999999999995,1,L0_25
1,1.5800000000000012,1,L0_50
1,1.300000000000001,1,L0_50
1,1.0600000000000007,1,L0_00
1,0.8200000000000004,1,L0_25
1,1.1200000000000008,1,L0_25
