true_w_n_eff,true_a,true_t,true_w_s,posterior_mean_w_n_eff,posterior_mean_a,posterior_mean_t,posterior_mean_w_s,w_n_eff_rank,a_rank,t_rank,w_s_rank,sbc_iteration
0.689,1.341,0.306,1.011,0.671,1.258,0.342,0.948,671,868,290,943,1
0.411,0.818,0.079,1.005,0.517,0.776,0.144,1.030,23,779,85,300,2
0.431,1.184,0.064,1.120,0.435,1.146,0.107,1.081,484,772,116,829,3
0.159,0.521,0.190,0.572,0.162,0.503,0.217,0.528,556,646,330,836,4
1.033,0.751,0.131,0.805,1.074,0.740,0.189,0.907,259,585,150,10,5
0.546,1.095,0.195,0.713,0.582,1.132,0.195,0.736,228,299,527,252,6
1.590,0.751,0.431,0.985,1.622,0.785,0.394,1.026,391,270,735,227,7
1.051,1.407,0.174,1.178,1.011,1.370,0.181,1.181,780,696,481,341,8
1.688,1.135,0.140,0.513,1.849,1.087,0.236,0.528,38,742,134,338,9
0.823,0.450,0.475,0.306,0.738,0.538,0.343,0.341,922,10,990,64,10
0.976,1.474,0.259,0.876,0.951,1.408,0.310,0.852,731,880,225,741,11
0.888,0.903,0.257,1.031,0.858,1.004,0.186,1.017,735,20,901,644,12
0.969,1.414,0.331,0.719,0.889,1.469,0.290,0.729,960,55,758,392,13
1.088,0.632,0.470,0.957,1.047,0.669,0.414,0.933,751,204,915,674,14
1.776,1.085,0.319,0.539,1.779,1.065,0.246,0.525,466,625,814,658,15
1.913,1.236,0.457,0.577,1.825,1.332,0.311,0.565,833,92,975,620,16
0.874,0.924,0.082,0.470,0.920,0.813,0.193,0.448,183,994,22,784,17
1.061,0.757,0.133,0.352,1.159,0.671,0.235,0.347,74,968,51,599,18
0.166,1.101,0.339,0.405,0.247,1.109,0.323,0.396,36,479,543,600,19
0.479,1.191,0.055,0.473,0.504,1.093,0.125,0.432,314,972,24,903,20
1.947,0.604,0.446,0.366,1.816,0.681,0.312,0.327,899,63,961,937,21
1.056,0.848,0.329,0.759,1.040,0.842,0.298,0.704,621,550,688,934,22
0.742,1.354,0.432,0.395,0.730,1.400,0.433,0.397,610,154,450,475,23
1.062,0.800,0.434,0.390,1.020,0.838,0.341,0.384,762,246,930,562,24
0.941,1.432,0.338,0.417,0.972,1.411,0.391,0.402,263,647,178,693,25
0.862,0.888,0.233,0.856,0.932,0.856,0.271,0.862,114,713,263,453,26
0.960,1.289,0.241,0.356,0.917,1.360,0.157,0.389,797,93,899,121,27
1.172,0.908,0.225,0.527,1.225,0.886,0.186,0.530,194,672,722,471,28
0.360,0.576,0.429,0.542,0.321,0.641,0.339,0.589,756,151,878,132,29
0.534,0.932,0.258,0.531,0.531,0.867,0.392,0.512,535,904,25,675,30
0.575,0.948,0.056,0.337,0.588,0.947,0.091,0.329,414,497,109,676,31
1.930,1.004,0.296,0.833,1.898,1.069,0.216,0.838,598,160,887,443,32
0.227,1.049,0.148,0.474,0.257,0.995,0.271,0.476,240,747,94,481,33
0.363,1.152,0.238,0.408,0.346,1.095,0.269,0.424,673,799,373,289,34
1.030,0.872,0.189,0.360,1.052,0.859,0.269,0.379,358,603,123,244,35
0.999,0.663,0.230,1.016,0.957,0.689,0.210,0.920,753,306,638,996,36
0.119,1.345,0.382,0.559,0.147,1.358,0.317,0.601,206,406,725,125,37
0.522,1.389,0.258,0.947,0.505,1.365,0.254,0.879,677,619,534,969,38
1.597,1.419,0.079,0.391,1.714,1.387,0.206,0.429,96,664,49,115,39
1.588,0.943,0.487,0.758,1.612,0.931,0.415,0.739,412,620,950,657,40
0.681,1.257,0.432,1.060,0.638,1.406,0.330,1.120,853,9,943,79,41
1.468,1.017,0.375,0.992,1.497,1.051,0.368,1.005,372,306,512,384,42
0.854,1.070,0.490,1.179,0.852,1.092,0.453,1.134,524,304,896,888,43
1.605,0.434,0.085,0.493,1.674,0.426,0.118,0.510,222,704,163,363,44
1.483,1.321,0.401,0.946,1.459,1.396,0.356,0.957,654,124,735,407,45
0.459,1.108,0.314,1.012,0.374,1.257,0.230,1.032,967,30,835,343,46
0.670,1.498,0.266,0.783,0.651,1.436,0.327,0.762,716,985,177,702,47
1.386,0.800,0.255,0.473,1.422,0.832,0.237,0.565,326,301,590,1,48
1.010,1.265,0.117,0.340,1.038,1.258,0.151,0.360,294,529,334,215,49
0.548,0.733,0.229,1.119,0.559,0.699,0.244,1.134,477,669,440,333,50
0.755,0.669,0.428,0.393,0.660,0.748,0.392,0.408,956,25,731,311,51
1.640,1.295,0.118,0.701,1.780,1.127,0.223,0.680,65,995,89,730,52
0.150,0.757,0.146,0.727,0.226,0.654,0.265,0.751,100,919,71,309,53
1.440,1.411,0.123,0.906,1.778,1.368,0.210,1.112,0,758,136,0,54
1.761,1.296,0.337,0.997,1.786,1.200,0.366,0.975,412,911,311,718,55
1.576,1.177,0.383,1.176,1.591,1.191,0.376,1.166,435,452,497,585,56
0.474,0.765,0.148,1.006,0.531,0.632,0.291,0.882,177,974,29,998,57
0.478,0.871,0.455,0.443,0.468,0.887,0.429,0.448,597,379,648,422,58
0.605,0.436,0.305,0.310,0.645,0.462,0.329,0.358,252,270,318,67,59
0.447,0.691,0.228,1.121,0.516,0.644,0.247,0.996,136,732,397,983,60
0.558,0.857,0.189,1.078,0.553,0.907,0.248,1.131,560,256,188,100,61
0.121,1.026,0.279,0.689,0.145,0.939,0.397,0.658,310,912,61,763,62
0.516,1.271,0.371,0.679,0.467,1.262,0.391,0.689,859,597,344,367,63
1.749,0.520,0.330,0.514,1.720,0.500,0.359,0.435,589,711,303,969,64
1.605,1.158,0.339,0.872,1.674,1.159,0.285,0.911,228,498,765,150,65
1.120,1.100,0.404,0.776,0.954,1.292,0.232,0.835,1000,2,996,81,66
1.956,1.449,0.415,0.930,1.843,1.389,0.403,0.902,906,831,544,745,67
0.396,0.516,0.439,0.544,0.319,0.583,0.371,0.529,885,129,789,615,68
1.632,1.435,0.329,1.170,1.689,1.352,0.393,1.124,278,896,144,835,69
1.253,1.206,0.116,0.559,1.352,1.127,0.204,0.574,74,902,101,318,70
0.816,1.405,0.054,0.390,0.881,1.357,0.129,0.362,95,814,33,876,71
1.040,0.710,0.087,0.352,1.206,0.639,0.169,0.368,11,972,63,315,72
0.647,1.215,0.268,1.106,0.588,1.289,0.199,1.093,887,164,829,623,73
0.373,1.401,0.079,1.042,0.392,1.309,0.193,1.062,346,896,53,336,74
0.406,1.054,0.371,1.124,0.382,1.142,0.292,1.113,716,165,824,562,75
0.867,0.500,0.468,0.599,0.811,0.536,0.400,0.556,821,204,920,792,76
1.088,1.272,0.244,0.330,1.032,1.319,0.276,0.338,847,248,346,365,77
0.252,0.807,0.324,0.696,0.242,0.901,0.267,0.738,607,120,723,182,78
1.143,0.780,0.423,1.049,1.108,0.771,0.409,0.972,710,600,621,931,79
1.809,1.116,0.062,0.918,1.821,1.033,0.137,0.860,431,915,63,926,80
0.380,1.246,0.408,0.975,0.325,1.263,0.384,0.945,848,422,615,723,81
0.339,1.425,0.128,0.335,0.429,1.323,0.209,0.348,25,961,163,329,82
1.700,0.860,0.303,0.421,1.798,0.812,0.340,0.434,174,766,291,372,83
0.676,1.437,0.350,0.503,0.703,1.350,0.428,0.488,281,957,52,677,84
1.508,0.908,0.064,0.436,1.356,0.880,0.109,0.409,991,714,126,718,85
1.307,0.663,0.065,0.556,1.342,0.667,0.141,0.580,309,462,35,215,86
0.808,1.196,0.296,1.148,0.861,1.221,0.234,1.134,132,352,793,683,87
0.274,0.679,0.446,0.876,0.270,0.768,0.409,0.914,566,54,658,247,88
1.241,0.463,0.343,0.364,1.289,0.455,0.358,0.406,264,635,362,102,89
0.908,0.568,0.206,0.753,0.922,0.574,0.196,0.857,424,469,559,13,90
0.991,0.626,0.319,1.157,0.934,0.641,0.276,1.116,809,407,783,817,91
1.237,0.973,0.068,0.815,1.409,0.928,0.144,0.860,4,777,65,139,92
1.496,1.087,0.313,0.436,1.531,1.081,0.329,0.441,335,556,395,432,93
1.249,1.120,0.179,1.120,1.221,1.180,0.142,1.133,702,150,743,347,94
1.638,0.698,0.214,0.547,1.618,0.721,0.227,0.590,606,332,428,127,95
1.573,0.994,0.241,0.491,1.575,1.033,0.255,0.476,487,282,441,700,96
0.813,0.909,0.098,0.505,0.874,0.868,0.203,0.583,131,750,50,4,97
1.245,1.321,0.211,0.827,1.373,1.297,0.340,0.853,30,658,56,202,98
1.737,1.241,0.465,0.837,1.695,1.323,0.389,0.864,703,97,897,293,99
1.993,0.642,0.352,1.103,1.844,0.756,0.213,1.079,986,19,997,688,100
