true_w_n_eff,true_a,true_t,true_w_s,posterior_mean_w_n_eff,posterior_mean_a,posterior_mean_t,posterior_mean_w_s,w_n_eff_rank,a_rank,t_rank,w_s_rank,sbc_iteration
1.616,0.675,0.167,0.624,1.114,0.913,0.338,0.775,802,241,72,131,1
0.487,0.862,0.491,1.107,0.998,0.965,0.208,1.022,185,316,999,805,2
