w_n_eff_rank,a_rank,t_rank,w_s_rank,sbc_iteration
60,909,563,336,1
94,813,346,692,2
698,588,234,13,3
783,326,873,248,4
382,699,146,165,5
604,14,989,321,6
830,382,754,209,7
22,969,8,932,8
221,381,509,127,9
553,478,403,912,10
970,222,810,362,11
906,446,928,220,12
819,307,652,951,13
722,565,777,869,14
713,539,620,571,15
1000,21,989,609,16
743,548,299,234,17
725,91,633,463,18
94,831,317,116,19
717,185,922,864,20
261,413,222,862,21
174,473,264,314,22
266,907,167,700,23
419,349,987,78,24
324,768,181,319,25
44,410,488,362,26
422,527,104,282,27
590,298,572,461,28
781,183,233,7,29
444,908,168,758,30
995,13,559,168,31
581,54,687,10,32
393,555,569,792,33
702,559,54,53,34
865,278,476,972,35
841,372,151,532,36
910,8,857,139,37
378,678,440,694,38
921,174,703,872,39
449,385,754,427,40
847,213,521,944,41
200,899,46,480,42
285,668,191,614,43
454,220,862,252,44
124,635,45,605,45
944,42,999,75,46
838,316,377,845,47
928,56,960,851,48
871,124,876,9,49
863,39,980,2,50
904,546,843,985,51
331,781,106,616,52
195,87,863,110,53
272,658,4,792,54
564,868,303,493,55
334,264,864,688,56
153,972,1,847,57
821,60,964,240,58
454,718,867,866,59
29,966,6,923,60
571,26,992,167,61
563,727,110,310,62
20,819,346,601,63
633,53,851,228,64
758,270,487,176,65
44,982,106,190,66
450,150,960,492,67
868,165,768,966,68
164,177,977,210,69
85,849,663,608,70
116,228,585,40,71
245,31,695,224,72
191,989,32,987,73
128,955,23,971,74
987,32,712,438,75
205,498,500,127,76
900,241,820,915,77
188,499,302,401,78
83,844,158,729,79
838,231,442,478,80
755,582,70,160,81
763,270,397,285,82
965,68,904,176,83
592,786,2,33,84
966,488,969,923,85
375,772,427,741,86
767,189,832,829,87
375,312,642,657,88
132,420,704,766,89
506,247,748,163,90
962,220,810,677,91
111,860,61,398,92
892,800,164,988,93
895,536,176,921,94
384,817,776,983,95
522,197,641,276,96
92,213,597,69,97
339,600,682,703,98
818,438,882,655,99
696,783,239,501,100
