w_n_eff_rank,a_rank,t_rank,w_s_rank,sbc_iteration
898,413,892,960,1
365,778,136,574,2
370,776,49,634,3
166,711,470,750,4
781,122,397,42,5
28,963,27,51,6
852,147,947,139,7
606,757,894,764,8
852,68,918,574,9
738,403,687,927,10
975,845,753,523,11
888,40,939,321,12
58,957,5,12,13
212,499,367,6,14
747,481,628,384,15
539,359,512,639,16
196,928,34,256,17
646,878,59,939,18
100,788,188,434,19
398,448,637,794,20
189,857,179,814,21
482,442,722,949,22
26,966,80,220,23
976,1,996,5,24
508,149,455,433,25
92,958,102,981,26
226,901,50,80,27
913,217,857,965,28
282,881,530,789,29
400,215,548,197,30
838,86,998,325,31
668,60,832,59,32
345,325,619,112,33
86,958,1,430,34
984,0,996,57,35
402,315,782,355,36
625,314,768,34,37
548,590,647,434,38
677,898,62,397,39
810,70,901,465,40
404,617,622,903,41
4,895,129,254,42
841,7,960,492,43
546,769,115,398,44
698,277,403,751,45
857,300,740,376,46
432,837,412,872,47
456,473,193,120,48
978,228,706,878,49
839,795,178,262,50
660,737,380,899,51
137,686,250,186,52
380,886,16,849,53
88,794,238,175,54
308,977,161,771,55
731,31,989,656,56
413,652,178,520,57
156,474,781,807,58
557,78,875,148,59
638,297,896,474,60
877,954,97,899,61
724,222,676,56,62
261,793,6,540,63
535,157,906,230,64
102,965,359,996,65
505,850,273,744,66
943,136,774,282,67
621,187,791,955,68
482,243,377,785,69
118,524,586,676,70
319,477,309,372,71
716,276,762,256,72
732,257,761,261,73
579,240,762,518,74
572,719,423,640,75
159,972,68,847,76
760,459,698,662,77
916,983,7,559,78
691,748,330,505,79
852,377,864,960,80
872,279,910,955,81
182,841,179,411,82
432,449,329,105,83
346,847,228,92,84
806,241,892,958,85
157,585,657,320,86
683,29,943,485,87
171,840,293,581,88
23,969,108,757,89
123,672,216,121,90
850,1,346,1,91
525,324,676,952,92
942,131,949,770,93
367,193,512,682,94
153,574,246,310,95
963,71,932,6,96
732,35,930,22,97
97,517,377,229,98
587,890,2,811,99
466,462,984,108,100
