true_w_n_eff,true_a,true_t,true_w_s,posterior_mean_w_n_eff,posterior_mean_a,posterior_mean_t,posterior_mean_w_s,w_n_eff_rank,a_rank,t_rank,w_s_rank,sbc_iteration
0.702,0.451,0.466,0.701,0.691,0.480,0.434,0.699,579,240,762,518,74
0.751,0.969,0.374,0.810,0.744,0.939,0.382,0.798,572,719,423,640,75
0.488,0.690,0.290,0.768,0.554,0.570,0.382,0.713,159,972,68,847,76
0.430,0.678,0.471,1.157,0.389,0.689,0.440,1.132,760,459,698,662,77
1.740,1.499,0.372,0.453,1.591,1.472,0.463,0.448,916,983,7,559,78
0.339,0.584,0.126,0.366,0.312,0.547,0.159,0.367,691,748,330,505,79
1.910,0.793,0.220,1.071,1.804,0.808,0.158,0.988,852,377,864,960,80
1.128,0.647,0.220,1.153,1.057,0.675,0.154,1.077,872,279,910,955,81
1.188,1.003,0.293,0.881,1.256,0.941,0.352,0.890,182,841,179,411,82
1.651,0.543,0.141,0.307,1.668,0.549,0.168,0.335,432,449,329,105,83
0.511,0.634,0.249,1.039,0.538,0.572,0.296,1.117,346,847,228,92,84
1.091,1.179,0.406,1.191,1.048,1.225,0.330,1.146,806,241,892,958,85
0.334,0.590,0.299,0.681,0.395,0.577,0.272,0.704,157,585,657,320,86
1.906,1.273,0.431,1.117,1.856,1.394,0.307,1.114,683,29,943,485,87
0.786,0.818,0.110,0.459,0.835,0.778,0.139,0.451,171,840,293,581,88
1.319,1.474,0.297,0.611,1.453,1.357,0.378,0.589,23,969,108,757,89
1.223,1.337,0.149,0.907,1.301,1.311,0.199,0.948,123,672,216,121,90
1.980,1.219,0.144,0.607,1.907,1.380,0.175,0.737,850,1,346,1,91
0.678,0.881,0.394,0.688,0.673,0.912,0.360,0.624,525,324,676,952,92
0.822,0.613,0.117,0.816,0.736,0.646,0.074,0.782,942,131,949,770,93
1.791,1.008,0.399,1.054,1.824,1.068,0.388,1.027,367,193,512,682,94
1.428,1.063,0.168,1.060,1.508,1.051,0.212,1.081,153,574,246,310,95
0.318,0.680,0.449,0.304,0.211,0.762,0.348,0.367,963,71,932,6,96
1.490,1.285,0.442,0.897,1.444,1.393,0.352,0.990,732,35,930,22,97
1.293,0.497,0.367,0.366,1.404,0.497,0.381,0.397,97,517,377,229,98
1.010,0.872,0.051,0.477,0.998,0.825,0.133,0.447,587,890,2,811,99
1.551,1.367,0.494,0.674,1.564,1.375,0.396,0.717,466,462,984,108,100
