behavioral_measure,r,p,n
gain_rt_speedup_obs,0.322470564223974,0.03074127859607566,45.0
rt_GvL_TC_obs,0.5661273390184961,5.049935166206966e-05,45.0
rt_GvL_NTC_obs,0.1634887868086684,0.28322858347736174,45.0
mean_rt_Gain_TC_obs,0.4699215730583059,0.0011260072203779614,45.0
mean_rt_Gain_NTC_obs,0.3538195237669967,0.017106959562977968,45.0
mean_rt_Loss_TC_obs,0.2034516368198058,0.18009639598042348,45.0
mean_rt_Loss_NTC_obs,0.2514486813130065,0.09567483419729035,45.0
