behavioral_measure,r,p,n
framing_effect_avg_obs,0.871165318586511,7.1726734317084e-15,45.0
delta_framing_obs,0.040895523168691,0.7896792022506636,45.0
prop_gamble_Gain_NTC_obs,-0.51584399173301,0.0002870041342784303,45.0
prop_gamble_Gain_TC_obs,-0.5761727723156345,3.447338637493316e-05,45.0
prop_gamble_Loss_NTC_obs,0.2138477734533055,0.1583791137726027,45.0
prop_gamble_Loss_TC_obs,0.26885253920569563,0.07413043779694178,45.0
