w_n_eff,a_nes,t_nes
1.2963414,0.6927375,0.48906922
0.6832078,1.0803361,0.22040096
0.9088761,0.5552798,0.3203293
0.9073858,0.8461516,0.26833928
1.1661546,0.7106588,0.32770285
0.8000296,0.9523617,0.37633586
0.8088888,0.70739305,0.37295693
1.3833907,0.7196186,0.37426504
1.3416516,0.75028884,0.2754766
1.0185652,1.0631509,0.36295053
0.7536933,0.8789711,0.124230705
0.78210664,1.1238604,0.25571287
1.08487,0.7253853,0.3432698
0.7105581,0.72921306,0.2818614
0.9276843,0.7856293,0.23013625
0.6646399,1.276283,0.35370466
1.0779394,0.5406053,0.16057244
0.5617442,0.74964035,0.17296341
1.1273168,0.96838975,0.28467178
0.6689277,1.073281,0.331771
0.6158587,1.4246501,0.14506686
0.74341804,0.6933316,0.37739527
0.6625859,0.9418568,0.26357374
0.6777054,0.88902634,0.22314787
1.0864797,0.5583479,0.41632053
1.0374284,0.7444733,0.08879073
0.9426934,0.8219178,0.46087256
1.6291007,0.8224207,0.39568982
1.0489913,0.75175947,0.3556375
0.6280503,1.151444,0.25889197
0.89283115,1.2558725,0.20932347
1.087712,1.049865,0.1950062
0.517838,1.0184947,0.23004936
1.2313701,0.63768005,0.22961913
0.80494595,1.2204685,0.2259787
1.1663893,0.8840349,0.45095345
1.032811,1.0353794,0.29438215
0.52655154,1.0876755,0.237007
1.3200024,0.5346336,0.1514849
0.52765155,1.3385174,0.3166258
0.45174238,1.0520235,0.3921365
0.7544353,1.1156249,0.17355026
0.9781996,1.304339,0.113341294
0.9459137,1.1699041,0.1881182
0.8866675,1.0087754,0.33581966
0.6484344,1.0423739,0.15199117
1.2596425,0.8569506,0.3190391
1.6217494,1.0361301,0.36480272
0.7762241,0.9697531,0.40867412
1.0430644,0.94661933,0.32547313
0.51285857,0.7788166,0.079578705
0.8641563,0.7889514,0.18588248
0.5915769,1.0870415,0.2531405
0.723708,1.1012124,0.28721645
0.8651824,0.85977346,0.3093833
0.78490096,0.7818787,0.23506634
1.097278,0.71332365,0.24695191
1.3795896,0.69971824,0.3614659
0.59130883,0.9707643,0.366932
0.49319038,1.1702379,0.25264204
1.1952958,0.8407927,0.102252506
0.62390256,0.97988653,0.33601567
1.1074913,1.0437927,0.3807467
0.23622856,0.8957882,0.2856167
0.9384061,1.2425599,0.3683571
0.92377365,1.2136561,0.33467105
0.90075344,1.1735833,0.4864831
0.4443033,0.9628978,0.3391776
0.51753587,1.2204734,0.32506377
1.1578403,0.9097556,0.33780348
0.8563874,1.1232542,0.37905324
0.39839473,1.4663007,0.1543731
0.7731884,1.3001984,0.40960044
0.5400037,0.83679396,0.3235205
1.0578369,0.5278463,0.14855509
0.9044874,0.8678643,0.39711878
0.8870659,0.90712965,0.42955974
0.82337964,0.9954603,0.3377368
0.7773234,0.971296,0.33873436
0.77443683,1.0131909,0.33224818
0.5252282,1.1325364,0.3565574
0.80389166,0.84210676,0.14672653
0.9881653,0.6883063,0.19894329
0.7596114,0.8850541,0.3532753
0.7314776,1.1387564,0.437315
0.68302643,1.3044918,0.23108004
1.0349827,0.8622822,0.35922554
1.070911,0.908867,0.1993787
0.7650043,0.9456226,0.30990145
1.1812975,0.9833435,0.33995286
0.6668645,0.8188897,0.16941275
1.0514232,1.0409465,0.27177578
0.555328,1.075712,0.2209492
0.6467616,1.0805787,0.22022237
1.0698512,0.9967682,0.37340555
0.62826043,0.62947017,0.23719618
0.6151027,1.1686596,0.4575674
0.6087943,0.9273103,0.3960794
0.38389307,1.2490238,0.17049234
1.0892844,0.92305255,0.32404783
