w_n_eff,a_nes,t_nes
0.65339696,0.936906,0.106037945
0.97710574,0.6200988,0.2835353
1.1046326,1.0385066,0.15996347
0.64944094,0.7278228,0.28368735
0.7586872,1.0261889,0.18791497
0.27362502,1.2894969,0.20113385
0.7329163,1.0539862,0.20813556
0.62892795,1.1251211,0.08212314
0.9746553,0.71394885,0.08040278
1.0092652,1.0305651,0.31825513
0.8892053,0.6947636,0.31784788
0.47282562,0.8661391,0.2651664
1.1240065,0.97050965,0.09627495
1.3057196,0.6889203,0.09378188
1.2601889,0.46107602,0.23369323
0.3003988,1.0277895,0.24429648
1.2360514,0.45381486,0.1258692
0.13821344,1.4217638,0.41851214
0.9101199,0.46930447,0.29803216
0.50330937,1.1430885,0.19400622
0.6428008,0.89994264,0.39188072
0.37338656,1.1643076,0.35197794
0.62100327,0.8457463,0.10196471
1.1076368,1.0253876,0.11574349
0.65243477,0.7412045,0.18862249
1.3303281,0.59455925,0.16206148
0.6934818,0.81766987,0.37855217
0.86086154,0.9063086,0.05024333
0.20727159,0.6540577,0.113653734
1.1543591,0.6320059,0.20934832
0.36437228,0.9271874,0.19254617
0.52923554,0.5858801,0.13197398
0.31084234,1.1495941,0.1772532
0.5046341,1.2141232,0.0926023
0.7636562,1.0715327,0.35545537
1.2760158,0.784608,0.15786795
1.0449401,0.64678824,0.14758123
0.6667095,0.9384431,0.080844894
0.98810726,1.0914669,0.45442665
1.1742432,0.748375,0.24983776
0.93280995,1.1551358,0.17010419
1.0020316,0.7022656,0.29226688
1.123368,0.9388525,0.06797223
0.7219211,0.6048484,0.17170149
0.41014728,1.3197825,0.17695402
0.63263345,0.9784939,0.2503605
1.0229586,0.7298227,0.15338688
1.1291904,0.9407702,0.16005136
0.9554266,0.79463756,0.17662151
0.6937637,0.70779854,0.07600377
0.8325879,0.87124926,0.17253166
1.2033436,0.5953123,0.20743386
0.5811132,0.92026794,0.06903228
0.7823154,1.212751,0.2470136
0.87488025,0.73799473,0.13653208
0.59560037,0.8390551,0.11988841
0.72878337,0.9791153,0.050988134
0.48073944,0.9092667,0.16273497
0.80521375,0.55006844,0.06887807
0.86917645,0.7481772,0.4468318
0.5452851,0.7684984,0.16367869
0.72826993,0.52077687,0.32588857
1.0690762,0.68870986,0.24348871
0.71655643,0.7407879,0.086803585
0.395293,1.1295538,0.072825715
1.1682227,0.8568815,0.14675158
0.8112013,1.2638977,0.21438813
0.74403787,0.49970537,0.10125283
1.2589839,1.095623,0.07851761
0.9722765,1.2463531,0.113833815
0.9019363,1.2290907,0.05709784
0.56947994,0.76726806,0.25347593
1.1884823,1.413135,0.3040001
0.52184725,0.95258844,0.14956138
0.107017234,1.2304711,0.31728074
0.72877675,0.790618,0.34625846
0.6682171,1.090956,0.24405265
0.8340504,0.7983178,0.42985705
0.88198394,0.7165504,0.1904328
1.2927916,0.702756,0.07808737
0.9102219,0.71606076,0.07001344
0.656726,0.7386648,0.08445631
1.124689,0.5702363,0.29720795
0.7055565,0.9136644,0.115682825
1.0671303,0.4269208,0.09765424
1.0849683,0.56713396,0.23552044
0.6592352,1.0669769,0.14127873
0.4276933,1.1217028,0.25191402
0.5988684,0.90665156,0.08726172
0.12359827,0.77225333,0.45826006
1.3428116,0.8957172,0.20808794
1.2251375,1.0842668,0.15764521
0.85056555,1.0837727,0.35373896
0.97525245,0.70587313,0.16742386
0.44293076,1.0570918,0.21606642
1.1940639,0.6395977,0.32376996
0.34425572,0.73416203,0.14981323
0.32001305,0.94310343,0.19867763
0.9925783,0.4659502,0.1771374
0.7314446,1.0654169,0.24721868
