v_norm,a_0,w_s_eff,t_0
342,369,246,164
349,455,32,328
395,145,242,100
175,26,91,451
164,483,274,331
119,250,45,299
446,458,254,222
269,290,156,306
429,355,31,357
500,335,235,159
169,297,88,299
92,366,11,156
438,459,43,194
215,116,256,348
86,315,331,56
494,358,492,25
234,437,242,160
487,436,412,337
49,162,148,205
427,477,480,280
325,266,381,406
245,428,338,154
396,262,264,327
79,76,279,195
483,490,419,375
407,235,177,269
299,460,390,307
239,247,444,283
255,220,17,327
300,260,167,336
369,488,473,428
500,66,221,360
451,198,355,365
168,467,270,52
285,23,51,404
325,415,187,367
168,358,397,196
223,93,331,125
192,81,194,200
137,274,460,378
83,29,24,328
366,76,34,301
496,405,457,192
322,360,218,335
165,156,79,133
151,389,308,35
160,128,157,311
257,57,5,43
306,43,24,143
348,388,316,253
95,75,195,101
492,71,193,93
492,123,346,115
85,288,114,86
127,381,257,306
167,312,383,350
88,125,35,391
450,158,283,120
261,137,259,245
372,60,149,193
341,356,166,26
416,273,454,255
355,290,325,340
260,406,299,454
471,148,365,150
206,447,94,345
220,102,200,270
269,361,169,216
155,362,405,172
473,440,361,230
154,121,299,104
170,139,229,347
176,149,14,195
157,271,287,280
409,275,61,425
56,396,62,254
308,110,184,68
309,455,445,301
450,454,423,274
87,51,107,174
356,455,443,264
393,469,399,419
151,141,164,299
279,183,313,300
370,361,52,310
493,405,199,266
47,297,256,334
174,92,134,311
488,396,228,378
415,46,283,323
349,456,430,443
132,34,56,429
495,359,496,144
152,237,213,355
396,224,321,37
268,221,169,402
86,296,298,192
33,187,67,310
205,455,259,356
10,132,48,86
118,417,69,284
235,328,328,203
452,119,414,282
489,301,412,387
20,319,154,248
188,365,254,311
142,490,350,465
485,67,204,23
237,121,270,162
449,228,269,239
412,493,442,444
443,454,481,409
459,241,388,314
168,135,0,132
446,215,373,65
266,204,199,187
135,486,500,267
494,378,78,396
405,488,495,321
358,500,369,217
71,86,134,386
232,316,339,381
432,438,356,19
235,163,93,251
19,111,343,412
343,414,99,326
12,497,495,344
250,356,340,438
328,184,440,299
203,100,107,66
401,241,120,419
407,54,47,113
293,453,488,367
331,223,348,180
1,401,289,266
492,29,225,138
447,304,404,243
483,460,223,293
361,178,227,114
314,467,17,233
46,451,228,363
138,125,250,247
169,54,72,380
204,65,244,172
310,348,258,448
175,6,27,257
295,492,224,254
435,192,369,330
28,204,194,319
279,283,308,146
414,276,374,329
109,353,132,110
11,49,103,69
38,144,1,365
280,222,270,271
398,409,381,278
387,284,385,251
17,2,58,314
467,266,317,270
370,494,471,346
167,90,158,236
491,137,226,358
480,297,492,123
57,333,320,226
469,16,406,405
235,152,341,135
190,65,65,356
298,483,470,341
197,25,251,375
462,246,230,323
204,412,362,182
396,193,225,51
356,153,150,252
186,103,270,178
413,224,443,32
115,76,27,431
300,454,404,392
367,186,278,244
194,145,213,338
274,128,167,448
144,118,138,208
460,496,475,409
382,265,434,66
447,297,316,66
220,164,267,242
299,500,449,235
485,481,434,116
487,216,463,332
481,440,179,127
227,86,100,340
107,60,280,223
188,245,168,427
406,430,472,168
475,296,397,184
63,115,109,439
205,416,75,361
402,296,467,57
142,273,152,304
446,293,433,255
10,463,51,404
495,6,457,498
384,301,301,109
366,414,389,126
414,89,17,148
140,103,154,204
175,430,454,339
192,120,349,340
266,446,440,284
489,355,143,341
451,389,442,327
277,16,45,478
427,390,269,373
56,473,443,326
34,38,30,419
201,449,446,314
87,412,253,179
300,285,360,135
437,98,400,15
366,22,30,24
492,456,241,390
376,41,238,51
196,209,211,343
471,433,146,70
499,249,9,393
349,404,320,282
85,410,252,93
417,62,3,366
420,500,293,384
83,416,199,456
206,349,445,74
320,148,26,314
41,148,479,366
157,212,62,249
419,177,236,371
233,286,267,144
454,389,411,106
138,1,11,338
482,401,284,382
334,61,206,246
203,434,440,244
99,117,28,73
38,36,7,239
201,70,240,267
457,342,480,356
71,284,116,216
276,136,110,367
458,30,228,314
212,151,311,382
376,163,251,361
335,368,195,364
310,210,285,221
285,290,301,318
201,308,102,417
155,491,243,376
5,428,80,322
353,148,62,324
142,361,50,221
397,119,164,325
196,89,253,149
368,106,9,391
319,402,446,429
430,164,136,220
425,327,41,75
195,473,398,3
345,354,231,267
331,449,485,186
45,462,382,381
36,402,347,267
376,487,8,331
388,403,485,402
352,174,211,66
297,486,362,225
408,126,154,393
81,354,200,81
397,323,256,79
146,268,372,314
266,191,143,108
105,492,387,112
223,400,497,167
61,229,315,258
249,167,75,337
204,61,354,154
486,383,493,326
198,133,71,252
114,300,256,358
471,414,491,273
431,474,442,218
272,352,131,269
113,467,364,135
384,327,487,350
109,124,42,97
140,396,331,97
427,323,462,413
258,288,94,120
381,221,141,409
179,218,213,288
462,13,47,329
473,329,313,68
465,252,148,95
218,188,309,270
