true_w_n,sbc_rank,posterior_mean_wn,n_posterior_samples
0.8116262258099887,994,0.34955897562312166,1000
1.581250573834733,991,0.7610526118500001,1000
1.1549648604098648,1000,-0.8487425173663105,1000
0.5344396936303553,873,0.3947148671052488,1000
1.11060723369096,1000,-0.44254123828041697,1000
1.2695973526749975,1000,-1.3459956443409071,1000
1.8059362632462386,1000,0.13433954979455132,1000
0.9812059957265502,1000,0.10210799724428299,1000
1.7379271256170055,1000,0.8780050368961406,1000
1.002476729706522,1000,0.038599661305941564,1000
1.5801694079302302,1000,-0.24758124034256201,1000
1.6385144538308338,1000,-1.0321314206006427,1000
1.5277456283748014,384,4.272726734840545,1000
0.8754010478555391,1000,0.1542671595168754,1000
0.1050808863713854,0,0.8356535761634285,1000
1.502624163264939,1000,-0.8107617200882289,1000
1.4004303757408973,1000,-0.20119067056414697,1000
1.4126041870055015,1000,-0.11719283415903353,1000
1.9390307747986113,1000,1.3655096522854655,1000
0.6414733830846072,181,0.7536167120766345,1000
