subject_id,mean_v_norm,median_v_norm,std_v_norm,mean_a_0,median_a_0,std_a_0,mean_w_s_eff,median_w_s_eff,std_w_s_eff,mean_t_0,median_t_0,std_t_0,framing_effect_ntc,framing_effect_tc,framing_effect_avg
114,0.8993,0.9091,0.1915,0.8267,0.7752,0.2189,0.6764,0.6073,0.3179,0.6634,0.6655,0.0250,0.0278,0.3705,0.1991
115,0.8821,0.8812,0.1685,0.8183,0.8030,0.2076,0.6571,0.6113,0.3450,0.6621,0.6617,0.0238,0.0556,0.3043,0.1800
