,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,5.849277491077747,0.11798945686745041,5.615526453910813,5.769912157513714,5.843738303030709,5.926881692273723,6.087702193680694,0.008982759068129875
a_std,0.17365020276246027,0.09569164492816958,0.034683071878348445,0.10667060535509257,0.158804275944646,0.22594640460510132,0.407318054419839,0.00607532567935977
a_subj.0,5.7209200251211,0.15562116824280614,5.390890214317166,5.622288907484502,5.731468062285534,5.826873804691648,6.006795086684882,0.009717260703847236
a_subj.1,6.016395207831538,0.18521197243055654,5.7198017243055155,5.879481405091138,5.999452236390901,6.131978489255492,6.407312483739724,0.012604063297486062
a_subj.2,5.983979777278207,0.1638810531595239,5.714694706721668,5.866717869818019,5.969407895252872,6.084891515091003,6.354106290400235,0.011020036013549098
a_subj.3,5.792162062734668,0.13869328795486793,5.51967425148271,5.7010271618257855,5.795036733830571,5.884662630213127,6.063334464060228,0.008835358123374914
a_subj.4,5.928851624282873,0.16425158561645062,5.645518875052913,5.812422185641654,5.918892771895661,6.025284856126008,6.2829337958415925,0.010740625033852367
a_subj.5,5.736862070991144,0.1506632037062582,5.428126170476241,5.6446530502332655,5.742127610680611,5.837145481563328,6.021850682226259,0.009309945794651251
a_subj.6,5.795477853275903,0.13489599817983466,5.526398565806916,5.707923884361035,5.797655860473944,5.883713783848732,6.057974871889796,0.008362525248201445
a_subj.7,5.803944262408175,0.14494772772203923,5.507500310423274,5.715052233344833,5.801051423419575,5.897731206143747,6.092398967167759,0.008803139782822393
a_subj.8,5.902490186070846,0.15003728971703748,5.633878652696236,5.796355530838022,5.895945657285991,5.996223659600547,6.238390571973127,0.009694524098297321
a_subj.9,5.897342180124045,0.15635743664518362,5.624272232042985,5.787943628539543,5.884040224470958,5.996920935133181,6.227362536913652,0.01008928461192017
v(L0_00),3.0801525699385754,0.07873541563119417,2.9319636105324296,3.022104132328773,3.082884976550537,3.1247538990655848,3.222444000065602,0.007783870501614358
v(L0_25),1.6409141154672284,0.05729744202876925,1.5254239309093143,1.6060434377718418,1.6361922572983316,1.680932834429998,1.7516357441866521,0.005626613834871022
v(L0_50),-0.35236874736250207,0.02054652717965713,-0.3894273478330774,-0.3656350670711581,-0.35242687742059525,-0.34315635881592244,-0.2986939056081592,0.0018109264231334558
v(L0_75),-0.4895929962937659,0.02240170757511044,-0.5267045105631303,-0.5070097981266388,-0.4914764178234069,-0.4730079497629565,-0.44484321293571666,0.0020388764828998237
v(L1_00),-0.48850891436960536,0.021573873558529827,-0.5313892640265151,-0.5040977080986041,-0.4850924097951464,-0.47379206838834903,-0.44562630031506034,0.001956696947410748
v_std,0.011855958086049173,0.007906993160073632,0.0015382755313550875,0.005578223298118832,0.010644178611369055,0.01571755028584769,0.03132363896494415,0.0007307867889517096
v_subj(L0_00).0,3.080470436367192,0.07931396380193381,2.930193347339647,3.0232801620995726,3.0795918686008106,3.1237951313073653,3.2260951886411315,0.0077331780429981635
v_subj(L0_00).1,3.075714196025229,0.07967664519923487,2.9198885532986454,3.0204735035622474,3.0769717646836434,3.1166172517996413,3.2211735262577648,0.007767674883364772
v_subj(L0_00).2,3.080082066657259,0.0801455868774596,2.931636959151617,3.0212984111794303,3.0811635529605557,3.1265696069811586,3.226179175962999,0.007805240636693187
v_subj(L0_00).3,3.0832136485470873,0.0796532821270106,2.9334055683084075,3.0260429017063575,3.0827333121587492,3.1285868826960717,3.229253351339036,0.007783222743090632
v_subj(L0_00).4,3.0807534230327893,0.07962904507905347,2.9297176819228867,3.024268781240304,3.080919959693979,3.1268849040309665,3.2269093565788376,0.007773740343991609
v_subj(L0_00).5,3.0801044176326178,0.07968693097788308,2.9305578212021532,3.023003014753848,3.0809067922109428,3.124382550617906,3.225231920507845,0.00774794137012415
v_subj(L0_00).6,3.0809195914780227,0.07983825795496517,2.9285351105215884,3.023831316041884,3.0802029968098656,3.1272930978859366,3.228691384124704,0.00778692983938591
v_subj(L0_00).7,3.080446229531348,0.07935610971091851,2.932370362751633,3.021299313663441,3.0819564368374217,3.125557975006195,3.22677717968195,0.007752588671895345
v_subj(L0_00).8,3.0791649182081033,0.080043030898666,2.925971705543218,3.022631899712737,3.0797815111974303,3.127108986017662,3.224976119202215,0.007808440303498308
v_subj(L0_00).9,3.0797839307189894,0.07994780865135528,2.9314143330001947,3.0221149714239757,3.080165705835421,3.125312975269868,3.224483321940965,0.007802339743200394
v_subj(L0_25).0,1.6408071565940086,0.058027596451313175,1.525428689259854,1.605389622125817,1.638707881714945,1.6781653395664595,1.7505962450030186,0.005561225523768744
v_subj(L0_25).1,1.6437226862419447,0.05911297386673859,1.526624409911528,1.6077921966632516,1.6388400095762734,1.6830886401043195,1.7588545580297663,0.005659322532697814
v_subj(L0_25).2,1.640346978925932,0.05916212887118243,1.5230000319591677,1.6037481249874228,1.6378810976614997,1.680790297883984,1.7498990133863064,0.005678195634594092
v_subj(L0_25).3,1.6419296562444239,0.05912418447474753,1.5275612508156713,1.60662776606485,1.6387823165077018,1.6808609740602278,1.756425186774035,0.005660066819346369
v_subj(L0_25).4,1.6385227856020523,0.05802284301320797,1.519873237129857,1.6043410926390662,1.6355660709986029,1.675132838402205,1.7500557402451196,0.005568436579965674
v_subj(L0_25).5,1.641816409199678,0.058801278836883526,1.524492104582801,1.6058660493530494,1.6370403654444978,1.6823000464894065,1.7525883709717773,0.005639661214598698
v_subj(L0_25).6,1.6422968242832456,0.058796806824230795,1.525296014845842,1.6067209526015083,1.6387708925149398,1.6821523142598171,1.755190901758013,0.005644968736776808
v_subj(L0_25).7,1.638699818057663,0.05809953068488136,1.5189529898557215,1.6040599202450576,1.6358359276936176,1.6752105605862093,1.7472054417817549,0.005540026648375243
v_subj(L0_25).8,1.6425407026687906,0.0590935183970918,1.5255200027141136,1.6062966419908407,1.6389818685661564,1.68092019147468,1.757662411802253,0.005657378625579083
v_subj(L0_25).9,1.639608469001827,0.0586698593370247,1.5172121144237394,1.6036076311949992,1.6368033054622344,1.6780679461364243,1.7512095641006682,0.005597142782684588
v_subj(L0_50).0,-0.34971464436167327,0.025059359442677277,-0.39169678900670113,-0.36591124405811204,-0.35078051707643626,-0.33821676897445413,-0.28948950993808287,0.0018806258651196805
v_subj(L0_50).1,-0.35432449984384606,0.023642058791271944,-0.40011208531967546,-0.36890853905749,-0.35409414737911776,-0.34211476444385047,-0.3000865265543265,0.0018036995335286125
v_subj(L0_50).2,-0.34965580750438785,0.0247275043320707,-0.3911613820440804,-0.36549544551616553,-0.35087346025461225,-0.3395584007125983,-0.2855996869683577,0.001914553820525337
v_subj(L0_50).3,-0.3552060877400105,0.022569842357815197,-0.3962600803048584,-0.3700437954739575,-0.3544334566458883,-0.34420901518805647,-0.29855900079573916,0.0016851334093235752
v_subj(L0_50).4,-0.35166963473765134,0.02369356088423288,-0.39359619518894295,-0.36712121042067136,-0.35191552344920013,-0.34036967927378375,-0.29242061961800436,0.001768318979088453
v_subj(L0_50).5,-0.35281122930126063,0.023024199200739524,-0.3939252719978703,-0.36734097156688955,-0.35272254993078367,-0.34145952014575853,-0.2965324964406919,0.0017061326521779646
v_subj(L0_50).6,-0.35071957201747256,0.024666303882115954,-0.39349748888709585,-0.3669616240659752,-0.3512400427832981,-0.33947903051125583,-0.29072602601980463,0.00187359930710588
v_subj(L0_50).7,-0.3542649916276973,0.02351612673679915,-0.39830961918658525,-0.3696809599183626,-0.3542559048613403,-0.34185358619831985,-0.30114722616784717,0.0017347492369445688
v_subj(L0_50).8,-0.35349063235489436,0.023196418008873253,-0.3959668039374816,-0.368431804969631,-0.35390652783066023,-0.342694427358362,-0.29488972757345594,0.0017441166911120695
v_subj(L0_50).9,-0.3519684156589518,0.023810480046059703,-0.3950591044980955,-0.36733367022289415,-0.3527145976826075,-0.3404778925966106,-0.2932280796057678,0.001816160365598072
v_subj(L0_75).0,-0.48926694244403096,0.025903022684082767,-0.5324757921838247,-0.5081855328544633,-0.4919970208337242,-0.47084998857985094,-0.43808807568437746,0.0020692644263567432
v_subj(L0_75).1,-0.4901762815150322,0.025013951181039898,-0.532481367407254,-0.5077858166650564,-0.49281204964577224,-0.4716711787157888,-0.44094776436664385,0.0020233005656031832
v_subj(L0_75).2,-0.4902384195767045,0.025107134329051917,-0.5301571026497727,-0.5081777539080881,-0.49277634149916105,-0.4721549754475086,-0.4410016690834695,0.002022965135143251
