trial,stimulus,outcome,choice,rt,trace,timeout,w_s,w_n,threshold_a,t,noise_std_dev,dt,max_time
0,go,Hit,1,0.5800,"[0.0, 0.057295506383652085, 0.10646942227599199, 0.16197486618811135, 0.1633610275469823, 0.15533815391807038, 0.18244983860048164, 0.17447819267528383, 0.1729857331003643, 0.1968529539537097, 0.18766346021737318, 0.17268080519067497, 0.18921946459218478, 0.19563010832163505, 0.19168696347224104, 0.18754940212118706, 0.20788374440902313, 0.22571140337890294, 0.23281931909417639, 0.24251265703876698, 0.22159437198279724, 0.23008805406344712, 0.2598523399872137, 0.27293880237222434, 0.30480437792537607, 0.318710033825109, 0.3338562177526403, 0.31220292785552556, 0.31046323021605904, 0.32630995175943234, 0.35050841827426066, 0.3705954805883488, 0.38345705228189225, 0.39402911100629984, 0.37628207445961587, 0.3748447992375003, 0.38781545274219664, 0.40687705184040046, 0.39742366311852817, 0.3932040978464969, 0.42785342172930196, 0.4202841889611485, 0.42842926425961914, 0.4148022814692938, 0.4300591621286893, 0.45834911333968714, 0.49828284478997714, 0.49701377461088314, 0.5267230690404775]",False,0.8000,0.1000,0.5000,0.1000,0.2000,0.0100,2.0000
1,go,Hit,1,0.7500,"[0.0, 0.023189341172472542, 0.0017364853515583305, 0.0010887037408183926, 0.014012294677278105, 0.042473318461255, 0.0967264682121605, 0.0784767683355547, 0.0965036826067824, 0.09240729509123453, 0.07666304587354503, 0.06738571717682555, 0.08963045857744761, 0.0786327101739581, 0.0851564366626679, 0.07236934954292916, 0.07568197830408416, 0.06240620980088451, 0.0829962621366877, 0.10903305159531892, 0.1196885291774754, 0.11759635232810817, 0.1339792373673045, 0.15343719548389412, 0.16278742392014592, 0.15244735845553636, 0.13570116172022134, 0.1498803922254274, 0.16721911225465527, 0.18775387902502189, 0.2185672826874877, 0.22453323043956483, 0.23162347051018897, 0.2241132647996311, 0.2155848078646098, 0.2079544302888062, 0.19080736277562726, 0.19839758797643406, 0.2378619886789041, 0.2400754851849312, 0.2551617328622298, 0.2870489150431687, 0.30231908624002074, 0.30580721048695353, 0.3055978608668549, 0.35187750878692176, 0.33804068307479757, 0.3414157317975778, 0.4013816481038065, 0.4102007432275048, 0.4139659868369525, 0.4340511416635392, 0.43262651441981026, 0.44143641651634624, 0.4518004419664105, 0.47029417101340243, 0.4562133918228659, 0.44968290376627423, 0.4661424870363757, 0.4671706227464325, 0.4904116945883064, 0.47660265607456426, 0.4789050354059671, 0.46652060766416753, 0.4660871515813676, 0.5164523901371982]",False,0.8000,0.1000,0.5000,0.1000,0.2000,0.0100,2.0000
2,go,Hit,1,0.7100,"[0.0, -0.021772104442148867, -0.010275707360356514, -0.019978864424968157, -0.04534574980945663, -0.05222480428978074, -0.0542810923992346, -0.03691208837339942, -0.01695814240429756, 0.004882743133843875, 0.03532827127619394, 0.03460493570618417, 0.07023540197329842, 0.0722023021283113, 0.08729690339899561, 0.09712864635152331, 0.10888570401998657, 0.10998942025996639, 0.1307177684011181, 0.1523180578471516, 0.13480078441212515, 0.11829934744501265, 0.11653334257522266, 0.12397971490813184, 0.14700307615798705, 0.10662619080002118, 0.11797008745547412, 0.17448682232150373, 0.2045647370852457, 0.2206113013890123, 0.18960641685261764, 0.21510389198751237, 0.22238390134155578, 0.26078859467581245, 0.2592640311012455, 0.2714860446343073, 0.33000638140419486, 0.3023347637738584, 0.30494363713857686, 0.3322075579339868, 0.2965229926542449, 0.2840031204144019, 0.3348090343044486, 0.34509446102758784, 0.35413334786099, 0.3868433619559277, 0.38766482393924967, 0.3715663534748671, 0.3617602613940397, 0.3633072642861556, 0.3655445157317284, 0.37651700923067355, 0.3821107048163424, 0.3751313613779585, 0.3655427611143941, 0.39692288541432535, 0.4290289180288862, 0.42734127246651465, 0.4245613753617933, 0.4827119379082742, 0.47523796791722167, 0.5174209076669624]",False,0.8000,0.1000,0.5000,0.1000,0.2000,0.0100,2.0000
3,nogo,Correct Rejection,0,2.0000,"[0.0, 0.02138147182602669, 0.0026899201936825302, 0.006454635412736619, -0.011046971507117882, -0.039783329438719636, -0.0151952735552641, -0.002033891639146886, 0.003870836388369479, 0.001882569417738727, 0.019048179070591524, 0.06353756818819126, 0.08559835114612385, 0.1154145984022473, 0.11451287108371003, 0.09407300601834204, 0.07845379870051275, 0.08494921392439457, 0.06200615349316069, 0.049828203804119627, 0.050731455804273476, 0.03439274677086897, 0.04685174624717754, 0.06581988789010836, 0.05277453952773462, 0.08751574797362272, 0.056809770582279505, 0.06057452119564505, 0.07141009931882289, 0.06762062945126947, 0.040126446027586825, 0.04193043598071286, 0.09784961095916819, 0.12099927688250638, 0.11755490446226471, 0.10794610585146623, 0.08002084250315258, 0.07139066034556879, 0.09185270269379742, 0.0887226607599213, 0.0911794537253057, 0.11651221428414682, 0.12728089548900978, 0.1089953298448844, 0.12071227043247983, 0.12827434191460282, 0.12951971833786324, 0.12497563221253494, 0.08878162152777481, 0.06626496280858135, 0.06582897453914066, 0.09234992583655145, 0.09359370117648698, 0.12561857231438128, 0.10773357730102645, 0.09932575224366783, 0.09129992359219526, 0.08972326710774488, 0.06777510427216171, 0.06966049222327887, 0.07087861651312963, 0.07868392802896705, 0.08845996198395878, 0.11844123476207188, 0.14687467539359647, 0.1487572979181802, 0.13243835803951404, 0.1361184047999395, 0.1090599446654116, 0.1286420125906817, 0.13824751130531646, 0.11714722354473735, 0.0913066670999247, 0.09312104371480907, 0.10514556263495803, 0.07834693063716199, 0.08817470814869204, 0.10282227647267123, 0.08631001648102266, 0.09328108194894776, 0.1216254950141549, 0.15290142748668756, 0.17470576970898039, 0.15107585823961292, 0.13525113241002124, 0.09978839361219208, 0.08287017786479671, 0.09554760956063583, 0.08726033787384922, 0.0965360509688044, 0.11178897133776035, 0.11133671324965402, 0.12452550425689624, 0.12594639497809798, 0.1175466669881984, 0.10689231488087839, 0.12334670685009559, 0.13121941850344215, 0.12680471366481472, 0.1253812499920547, 0.137170645980652, 0.16063735028349102, 0.15869173957080981, 0.1577306708148356, 0.1890481345423672, 0.1621712452970978, 0.17690893400818558, 0.21072079190871337, 0.20135823876114284, 0.19457018524229952, 0.1829853977480237, 0.1807356484511956, 0.16732327829874274, 0.1349008827770421, 0.13093301062962645, 0.13099175319644124, 0.0994653258470172, 0.08607292842853727, 0.07714574232162519, 0.1037249366924937, 0.0855673339857037, 0.10038322933505993, 0.07904805340227605, 0.054788928699908666, 0.10201898659954864, 0.14462694614046848, 0.15222359351899709, 0.1516662046096295, 0.16829525698307823, 0.19006690529599066, 0.235672629785383, 0.2359239950053554, 0.20281074232637022, 0.18308413536501775, 0.14391066292260704, 0.15397942316549304, 0.17155499176512004, 0.16302098657717629, 0.16473615109327414, 0.16876205213219866, 0.17035515698408632, 0.1695505605208411, 0.17440552964088024, 0.17514273806791322, 0.15456424815371161, 0.14491276443723444, 0.17292968992150404, 0.18252091720635577, 0.1889739719923881, 0.22378481262554553, 0.2418850864944452, 0.2643493485682269, 0.2514642600612347, 0.23716554713166765, 0.2861297577148145, 0.26771030624227055, 0.26916946184185014, 0.26387221247024323, 0.2737730525631982, 0.2981054439647637, 0.27259922485814064, 0.28779908581770364, 0.29940713544332004, 0.28756208915640435, 0.2911257125033892, 0.297108210802854, 0.29225235786789855, 0.25806705513153655, 0.27096089056546024, 0.28006724353640766, 0.26969596788043665, 0.28518531547673753, 0.29017448188423717, 0.30706584890559674, 0.36067207608463114, 0.3872915019377766, 0.41587813094992376, 0.41977744998047456, 0.42655459258930123, 0.42413975011667604, 0.378905897635113, 0.3853940239345157, 0.3885452649893608, 0.3853117632092159, 0.4002972425099349, 0.4227137399169488, 0.4069216048481107, 0.40503453060305344, 0.4339190979234401, 0.42400396471548696, 0.43949040139477796]",True,0.8000,0.1000,0.5000,0.1000,0.2000,0.0100,2.0000
4,go,Hit,1,0.6500,"[0.0, 0.01666505141268381, 0.012536017501081244, 0.023726854164176032, 0.015001116600861966, 0.004508941354571635, 0.03959294594536085, 0.049923690544775225, 0.030068491989747582, 0.036399543969709305, 0.008302084731090432, 0.0025722822322694072, 0.015713227659147302, 0.04735717501486744, 0.04367896420890549, 0.07875042645159057, 0.11628959216520454, 0.13893721945933996, 0.11713854139656268, 0.13026244349749788, 0.15022808201420354, 0.15649295002818361, 0.14633661284559257, 0.13486973905380573, 0.14890292856673454, 0.154644042793835, 0.16547872859037308, 0.1616559249960314, 0.17898200330798802, 0.1820112154123074, 0.22383437733288597, 0.20468513907859276, 0.21170440293638876, 0.24234408279562603, 0.2605123130851698, 0.26804126501505243, 0.28771106271003716, 0.28092403406111366, 0.2630006703161764, 0.2912658049747205, 0.3121910896514984, 0.28723582394784447, 0.3056294281097218, 0.30869871757877, 0.3345009510150106, 0.37896106669909524, 0.3944498989572696, 0.41698257606419153, 0.4569354442453755, 0.4564918949397495, 0.4422845808525638, 0.4569476030411666, 0.4593451356508307, 0.45842574583869183, 0.46835538240956476, 0.5180172283006353]",False,0.8000,0.1000,0.5000,0.1000,0.2000,0.0100,2.0000
5,go,Hit,1,0.5900,"[0.0, 0.03688192174630224, 0.048012840470035456, 0.07145227246589236, 0.06208227992361359, 0.105955226794815, 0.13126966432416293, 0.1409197570245364, 0.1386713525157976, 0.15193649237094667, 0.16230176396473206, 0.1754975962451809, 0.1911999511869894, 0.19504735562064668, 0.19329044283455724, 0.19013581973041865, 0.20882134724301676, 0.21548298720244052, 0.2529112879649526, 0.24901583409606437, 0.25198883488262175, 0.24248166028039328, 0.25736226458524236, 0.24361854070271674, 0.27242518572772156, 0.2762878448094787, 0.26685769045057506, 0.27994078750787904, 0.24845845245700185, 0.273336929998316, 0.26506612844255606, 0.3269729231222668, 0.3437996040356657, 0.3769767242504334, 0.3993452885453378, 0.42246170633905367, 0.4270804401289116, 0.42062019049223537, 0.40641840067833124, 0.40393282075446785, 0.3908542680305013, 0.4001294806345979, 0.4003949128204276, 0.3861965501642415, 0.4196354087822206, 0.4328118309424327, 0.451161549321816, 0.4858368470775539, 0.49949754765373344, 0.5316256127904793]",False,0.8000,0.1000,0.5000,0.1000,0.2000,0.0100,2.0000
6,nogo,Correct Rejection,0,2.0000,"[0.0, -0.029466671596031894, -0.036747938483873296, -0.06442746220809423, -0.08830975322270868, -0.07194099410722807, -0.0744811080008065, -0.09142444260273583, -0.10441526126266729, -0.08669416950863365, -0.08694408551196153, -0.06476406752784988, -0.07980654025283246, -0.07847149007613378, -0.08644828728029798, -0.11632549209593022, -0.10591850133362155, -0.11809633561975093, -0.13076646327468758, -0.13725140966155547, -0.127496688033002, -0.16841164347539458, -0.1710366346063609, -0.20839917915287237, -0.20659269712208816, -0.19813137040022918, -0.25251490689567413, -0.2517227702000391, -0.2611875446861885, -0.27479976059498235, -0.3027723659797511, -0.3346347497060215, -0.29671375333927424, -0.2877871909766839, -0.2719323112430905, -0.29506010877185823, -0.28451094979918484, -0.2924990279464256, -0.27456357166070244, -0.2363843684106532, -0.23858393658041147, -0.22217645379977188, -0.20427443144180624, -0.22743171539179224, -0.28544883337470217, -0.2533304942798513, -0.26652285323541053, -0.25665052503694125, -0.27124235118302065, -0.27728797397746957, -0.2614531819793151, -0.24447065192295572, -0.25738686624380863, -0.24871105630457999, -0.2352967802095937, -0.20580371461954738, -0.18530249899132714, -0.18057219103880287, -0.2175067647365097, -0.2117471820879103, -0.20471351655693296, -0.22451562460379412, -0.23192153600259915, -0.21497644219888618, -0.2317779770876368, -0.22393481140262197, -0.2173089402378781, -0.20737769927858085, -0.20413754808292725, -0.19734396029685347, -0.1781286118129168, -0.17801476941224592, -0.16639649967832337, -0.18101909067104233, -0.19318919688720093, -0.1897361738416691, -0.18228630848677602, -0.19248127566997, -0.178991836900181, -0.16772264118313204, -0.15811203253208692, -0.16191557933012363, -0.1655606463825566, -0.18677631349421456, -0.19768792762283854, -0.17623599831630776, -0.18645670579885107, -0.1653904761474814, -0.15543967624825025, -0.1386837652708261, -0.15208717635168661, -0.19190484625315107, -0.1851553343833156, -0.1795798293243879, -0.18474489591486673, -0.17033255334591693, -0.16560489525028152, -0.179677726330419, -0.1723596501195136, -0.16285474992160834, -0.15856292570543343, -0.14182878655843476, -0.12733587608787586, -0.10771508794209644, -0.10748654173317171, -0.10406253243739165, -0.11698953443575447, -0.0882958139858748, -0.08908624556748394, -0.11044047337269682, -0.09596129258233953, -0.06557197217736292, -0.07698554197143623, -0.052155025459601864, -0.03734571272487013, -0.023514033718368268, -0.05645587767795468, -0.03612292458339471, -0.01730764637385771, -0.029341905985965377, -0.04643836422195357, -0.05370876780368005, -0.042280548252304866, -0.039706196279271896, -0.07178564909830648, -0.08265520897074678, -0.08262009420319841, -0.07599451302807474, -0.09493219408900003, -0.08961832237269703, -0.08125921792655579, -0.08942769675786284, -0.08566108926293747, -0.0782462693774656, -0.07953062189938007, -0.10366068236561006, -0.112632640368091, -0.11323848772201683, -0.14261304237265698, -0.14230893766116873, -0.1251822978051733, -0.13149171279878108, -0.10883353345648861, -0.13807354269544905, -0.12084694073028182, -0.1290298771675653, -0.15332819436712644, -0.19345827684658337, -0.18276739477143733, -0.17899734829911698, -0.19014855860417446, -0.18404175035825396, -0.16237452832639485, -0.17431067792755603, -0.15323278785296346, -0.15545646622069537, -0.16029916592203677, -0.154652437271206, -0.13279372100772546, -0.10056156771235011, -0.11972628211264313, -0.12171135458840372, -0.10451442244038876, -0.1151073032120723, -0.11748260687072151, -0.14967958299642303, -0.12038169062245047, -0.16355511493868155, -0.15593475782435648, -0.17928401918483547, -0.17657365039729997, -0.17986701419571566, -0.12522209862303957, -0.1308658133865796, -0.07951402959646331, -0.081350342609048, -0.08717652348515108, -0.085976261213228, -0.06777266670406656, -0.06445438780663815, -0.08049857682717215, -0.0701281168155236, -0.04446791045349797, -0.06007032049347864, -0.053820695722476705, -0.051410893968611725, -0.04830216558122639, -0.050479502863736175, -0.012322432716702747, -0.020603407341722745, -0.00585137596757849]",True,0.8000,0.1000,0.5000,0.1000,0.2000,0.0100,2.0000
7,nogo,Correct Rejection,0,2.0000,"[0.0, -0.03584611057634553, -0.02644538266539726, -0.023676391063198125, -0.0003558652857554717, -0.028006952928668637, 0.007361129755700094, 0.0492051683826039, 0.04515709311500626, 0.03312843915530858, -0.0017623123362792287, -0.009022941549979742, -0.003713870336040255, 0.051329983955503825, 0.05224128047485011, 0.042812434239917985, 0.03705939708302416, 0.02581411411627206, 0.005568987159117814, -0.03154682051011702, -0.050958633756759034, -0.028183628921805814, 0.02509621274245094, 0.048493853464983604, 0.05851568792196534, 0.05416601522065432, 0.04423331440362699, 0.04034165092695667, 0.016598710877717058, 0.04889453623146747, 0.04780270509306589, 0.023192242039142934, 0.002605762645904435, -0.00719732781228145, -0.0033373590399671913, 0.012750524747667195, -0.0006444813886016254, 0.0332102431996109, 0.0228977965877239, -0.01053602443804803, -0.008606456021484082, 0.005487140014729719, 0.03214602718709028, 0.022471858625936193, 0.0675024141858399, 0.07159914419611851, 0.07145806083675774, 0.0629838361275644, 0.07692034729581897, 0.09950400666898315, 0.07601685236687418, 0.041691203323032416, 0.06446647074767249, 0.05812518049670405, 0.04988238869232043, 0.036124673637127444, 0.0041089634023507016, 0.006500630066965872, -0.02597573985901956, -0.04438896411629843, -0.09053910215490359, -0.08122694819496787, -0.08667476589740668, -0.06381102087179916, -0.08467231600114189, -0.10444006374079993, -0.1739583686931802, -0.17000817428143028, -0.15536469878685155, -0.14851063767808212, -0.16946585375993792, -0.17528725789854882, -0.20006766614415314, -0.2224093496082634, -0.1831491284593759, -0.16634062132329502, -0.1692709814070104, -0.16743037253301654, -0.14265064725982465, -0.15117268379752485, -0.18020825477136154, -0.18476187815526066, -0.13887533695873874, -0.1440154656805278, -0.13766756073089284, -0.13646435557219447, -0.18523862328870688, -0.18848770447306828, -0.215986400672815, -0.208880084861085, -0.23370355169197188, -0.22871164278839126, -0.21386767845211924, -0.21440438936941558, -0.2174828974544893, -0.20896632932074016, -0.1982014028109681, -0.17754338143375734, -0.20897575289648113, -0.20859757821347408, -0.17447269709564023, -0.12644045339599133, -0.12344839588445916, -0.1062890647274942, -0.10279407269044549, -0.10517494670323196, -0.11300399029407818, -0.1199100686179675, -0.11439678097461416, -0.07372538184783865, -0.06721218348730704, -0.08927631251857632, -0.09094179301948069, -0.09861839727194428, -0.10921165929706098, -0.1269768445568167, -0.11974208087738458, -0.10324237550265325, -0.09961522681688058, -0.10007922743387268, -0.12568408778670984, -0.14215283214988358, -0.1598120010045767, -0.16072691072682194, -0.1388100113494244, -0.15299232904183474, -0.16571634142113081, -0.1589753836797255, -0.17070986632888688, -0.1504127984020308, -0.12653049371160063, -0.14635388875051453, -0.11862294274166028, -0.13862446248577664, -0.13687019428690964, -0.1429484999832445, -0.13282220800950215, -0.14000199314313497, -0.11297293396259253, -0.12396241212537668, -0.15207178198960863, -0.1197481676283825, -0.07983870023662393, -0.0914481046364507, -0.12008786381240012, -0.14861785018382567, -0.1393290061839414, -0.13468089829164157, -0.13537149995546233, -0.1610081105205062, -0.1409808934029887, -0.16020824333164713, -0.13924298747529623, -0.16587538339939636, -0.15897391920225218, -0.15137856463060767, -0.17117693917671686, -0.1356494096777171, -0.09187682671459363, -0.0714211167618928, -0.06203478470432196, -0.043657511415711295, -0.042371207364826746, -0.0360479915243735, -0.021331562742134005, -0.015059608760006862, -0.03919659106829808, -0.03770816064200969, -0.05516809245766337, -0.08121754954109855, -0.06589233935693348, -0.09821429184944758, -0.09144026195348504, -0.1289830432810591, -0.07545992803946103, -0.07756257390533966, -0.0762995399575577, -0.04483906360194703, -0.0678828386275022, -0.0979511104642067, -0.09335155195012612, -0.0962897895687591, -0.10736913182656888, -0.08884638159731058, -0.11133718769539395, -0.15340862233185165, -0.19341296966682486, -0.15533498423561534, -0.17377575931591166, -0.17502746006082381, -0.19108889852014788]",True,0.8000,0.1000,0.5000,0.1000,0.2000,0.0100,2.0000
8,go,Hit,1,0.7500,"[0.0, 0.012857535294073647, 0.02026259520924092, 0.061055845048152965, 0.05013291996029221, 0.04179337833414057, 0.018749551677606165, 0.018429024852167866, 0.04199944545321153, 0.08695490777764324, 0.09038858445099751, 0.09531699274619536, 0.09833970897163392, 0.0857152167633988, 0.09042120214072256, 0.10223499937108863, 0.11476384719568425, 0.143146891109355, 0.15187380095667607, 0.16943979512301957, 0.19921028153130732, 0.21405405831645546, 0.22536167192715828, 0.20178055781546855, 0.1892766627885936, 0.18748969266567747, 0.20545018191876785, 0.21578840212603187, 0.2218115477772715, 0.2312011485284961, 0.20889666922115088, 0.21560527703060361, 0.19212197301033296, 0.18828859994213568, 0.22029090791224404, 0.23164020749819852, 0.26671955759118954, 0.2849448142891844, 0.314910519896623, 0.33960985500580576, 0.32545243941303353, 0.33631499249992397, 0.3620074998434089, 0.3734195070658351, 0.37774221287589343, 0.40404590771024224, 0.4220605152631398, 0.4352729622891189, 0.4372327481804332, 0.4170183714918707, 0.43007240657695756, 0.4152911872407153, 0.4205581160837751, 0.4242179789177554, 0.4437566398886272, 0.4709432066298803, 0.45849624781667075, 0.44068449337313065, 0.4269331962172802, 0.4001312797752275, 0.42069684419718584, 0.4161626886948522, 0.4278425647749818, 0.44790050282537747, 0.4794552445188224, 0.5009449767478945]",False,0.8000,0.1000,0.5000,0.1000,0.2000,0.0100,2.0000
9,go,Hit,1,1.0400,"[0.0, 0.01678252960436833, 0.0012407009185132697, -0.005918360789969591, -0.03371674616847775, -0.020043650056270457, -0.04163769721858679, -0.02031075070575744, -0.022916011308619054, -0.029846803266173023, -0.0024537235063097525, 0.027040707656260102, 0.009186840053646714, 0.06319847437691914, 0.07052222875883941, 0.07664208792592, 0.0794494530545517, 0.09576304136643905, 0.12621062707506914, 0.1483247821873425, 0.15742062698507775, 0.15618309106756534, 0.16629188230384356, 0.18843737971618277, 0.2015128151991028, 0.21947279723052435, 0.23376182675260687, 0.19875240468320168, 0.19587418441093435, 0.2061714013669691, 0.20308025135009494, 0.19249361652873723, 0.1936466748540819, 0.17441323691551555, 0.22075708277765377, 0.2327901883506225, 0.2900982298222833, 0.2819530399311033, 0.2676594863467245, 0.3041256815647409, 0.27460701172800883, 0.26171309190647496, 0.28029114948790823, 0.2649003322711812, 0.2370810108569582, 0.28066884488726995, 0.26874437519233485, 0.29441182724380516, 0.328431689940152, 0.358470362956922, 0.3636721878534463, 0.34520925433293953, 0.327754031106522, 0.32024659843895814, 0.3456421381003636, 0.3383483834800397, 0.33927769590949786, 0.3177998822323332, 0.3198498940607603, 0.3156952405306038, 0.3016821383738347, 0.29953227398047505, 0.2942706388486626, 0.30395404536620635, 0.32843901991480007, 0.3477724178040582, 0.3550540191714921, 0.35530100153643623, 0.364979161626925, 0.38699070841047367, 0.37907723518805037, 0.36434328914631897, 0.3360438922702361, 0.3432164689619737, 0.32752367494630963, 0.35306870926608014, 0.3291613290960884, 0.32810582427416896, 0.3476778638996774, 0.35352275707750097, 0.3561072444962851, 0.37781095137086396, 0.3980023406018996, 0.4181988166990802, 0.4200007430757978, 0.4304309463365142, 0.43267267036730006, 0.4341716013286106, 0.4555884151290898, 0.4618276727061065, 0.4581762405743875, 0.4656367655939233, 0.4757800663396064, 0.48905331130632146, 0.5179090668858255]",False,0.8000,0.1000,0.5000,0.1000,0.2000,0.0100,2.0000
