trial,stimulus,outcome,choice,rt,trace,timeout,w_s,w_n,threshold_a,t,noise_std_dev,dt,max_time
0,go,Hit,1,0.4900,"[0.0, 0.024756946937011415, 0.0033116708327189485, 0.02243297701195097, 0.05879854758292681, 0.08862680238307978, 0.10140169481504512, 0.10436767098298427, 0.12250878553907264, 0.09031552185837638, 0.11963869055578745, 0.15689577432587792, 0.15682399315919596, 0.165706918033431, 0.18042853190545505, 0.1919474184348811, 0.23464325675490527, 0.2514799363016491, 0.2640299490024147, 0.23904636701740128, 0.2706379834605863, 0.27851154381547316, 0.34312300923295164, 0.36647394066641553, 0.3528998494823121, 0.3438992552523664, 0.34890779740223266, 0.36867854520636034, 0.36772018436258586, 0.34911437981357524, 0.347598884817188, 0.37006836525434145, 0.39500344176104024, 0.4356579449873372, 0.4233569244571679, 0.4429535979101208, 0.4484304835077432, 0.45381764175923217, 0.4934563694819778, 0.5045266365291372]",False,0.8000,0.8000,0.5000,0.1000,0.2000,0.0100,2.0000
1,go,Hit,1,0.7000,"[0.0, -0.005308979327067021, -0.021763954596308168, -0.02140967884423977, -0.052519923075043266, -0.08424502116533965, -0.055363067552057034, -0.0491946631826007, -0.010613136213522792, -0.016687081228005187, -0.009306275908900976, -0.002656326122239679, -0.03075356645222909, -0.028121703540960316, 0.029544356103263454, 0.0025329687227313782, -0.010596694720563897, 0.006227782754517963, 0.015128956748414676, 0.0157125977877537, 0.011607965460491892, 0.03402723943454383, 0.062018390366125144, 0.07862975633063433, 0.047309075321243545, 0.05222106852649354, 0.06178637213809511, 0.08595149859364416, 0.09650163889488292, 0.11895264041700784, 0.11841284768196543, 0.11804287223488202, 0.14498014016336866, 0.129423044108883, 0.13412600895449364, 0.13725220267836322, 0.13463923639873016, 0.1556624599331066, 0.189118716579088, 0.19107377890763966, 0.19224990244308227, 0.20269611198132695, 0.21353215797498745, 0.2071918609794908, 0.2175651504025617, 0.2345297352260763, 0.2518904900632017, 0.27825533304137945, 0.30505354140202257, 0.3317941628413005, 0.34795164755520225, 0.3818917601490144, 0.42116755240762493, 0.4329572304901015, 0.4517672763448204, 0.4165809206366253, 0.4456873966351461, 0.4581946307319658, 0.48249418860256876, 0.4892206261572797, 0.5178201871149689]",False,0.8000,0.8000,0.5000,0.1000,0.2000,0.0100,2.0000
2,go,Hit,1,0.6700,"[0.0, -0.006629496316485387, 0.030443572557137442, 0.010605425292288927, -0.0013630200146541455, -0.00225900883483879, 0.03245340635482237, 0.05109436547159937, 0.06378799048613196, 0.03994009392062196, 0.05996535724102456, 0.0647883346574417, 0.08439618507998273, 0.08867544243204967, 0.08394000782211883, 0.10108268678515761, 0.12160885855575204, 0.12156228194181237, 0.11739795497437594, 0.13459375116012473, 0.18480097315796448, 0.18719648778086678, 0.16143673658812935, 0.13439108506376554, 0.15503602373349398, 0.16732077560859526, 0.16813753446016294, 0.1614008018108135, 0.1794546652285907, 0.21645824800003907, 0.2334265176162515, 0.2475062857129738, 0.2498011311031813, 0.2553897722706086, 0.2511301891530445, 0.25680752495309933, 0.2829518708082881, 0.25700801230922043, 0.2734387530803469, 0.27263238575169024, 0.29012162637653305, 0.2884156080285878, 0.3220368099901627, 0.3332723539748641, 0.35288476329499296, 0.38332974302156714, 0.391907765263776, 0.40473250695486923, 0.4254715197588155, 0.4027692398257385, 0.4038500237364681, 0.42901298547042643, 0.43804289574481126, 0.4585355084866187, 0.4783351273650886, 0.4859249864931231, 0.49160953780710426, 0.5022716355745401]",False,0.8000,0.8000,0.5000,0.1000,0.2000,0.0100,2.0000
3,go,Hit,1,0.8500,"[0.0, 0.007679083612979402, 0.041526109520820476, 0.030112121693867372, 0.009274374767092045, 0.018565695038018627, 0.02201074702683475, 0.016546056116157212, -0.009296106109142319, -0.01586389696733305, -0.02067444468743596, -0.05576917270436248, -0.06150533296078076, -0.03158255454979952, -0.02481785466787223, -0.02072406460066193, 0.006092441831491699, 0.017644420857079166, -0.011629235284032848, -0.00639232204479376, 0.006507733931254018, 0.046085866301038336, 0.058139432568440744, 0.06743794147768378, 0.062389709130003496, 0.1020534217536548, 0.11457160563273969, 0.1296096260709601, 0.1457066244524406, 0.1480950411561909, 0.16097823488353608, 0.16909333257777956, 0.18587244423100874, 0.22936362047369369, 0.2355491357957295, 0.19663238946164543, 0.21120250743440916, 0.1999818318177117, 0.1939064853049058, 0.21581983771957666, 0.208093013069888, 0.22243977381984956, 0.2540982843989686, 0.2562847023640396, 0.2415860429143929, 0.22891171237359745, 0.20408579734481425, 0.23609817305189204, 0.27333512943698546, 0.29036305434657905, 0.2946352660092453, 0.27185277495855326, 0.280808850107986, 0.3359287844790101, 0.3664933338350753, 0.380974449250369, 0.3766436208963468, 0.428018178089607, 0.3943325890851977, 0.4278992201066094, 0.44409527177938674, 0.449330504065702, 0.4621619592983166, 0.4672932538785594, 0.4399944595945108, 0.4538450405638504, 0.4304692985215991, 0.4401762266625729, 0.45460620092170684, 0.4410926537130258, 0.4798707106055759, 0.4676066216814548, 0.4772015933656291, 0.4834045134833689, 0.485000085673228, 0.5147001007857352]",False,0.8000,0.8000,0.5000,0.1000,0.2000,0.0100,2.0000
4,go,Hit,1,0.8100,"[0.0, 0.02354187550144674, 0.06922417614984022, 0.03646316547098332, 0.057955284481258695, 0.03919600411295448, 0.04431743818367523, 0.05947136758187463, 0.07287417932936088, 0.09063948909947339, 0.07569535358877089, 0.10821284718928274, 0.09585356862960022, 0.0864942215934554, 0.10139879800109279, 0.09482464555981887, 0.09274415816126877, 0.0884674238350733, 0.1014499614730747, 0.11436429778997222, 0.09505657063080077, 0.11956982831398016, 0.11440534490744639, 0.12614062527329037, 0.1331510679829734, 0.1481248153534893, 0.15996717220722523, 0.1950262532193612, 0.21991000651975334, 0.24491565068837381, 0.2249483314216238, 0.2190140868467767, 0.2407155159966462, 0.25646134746063226, 0.2613052924979284, 0.27427344332066955, 0.2605798605940851, 0.23506057853570708, 0.2623047378247034, 0.27729192683500664, 0.3243891261884285, 0.33839047375625336, 0.31314016235423225, 0.3316867245676146, 0.34296528838725837, 0.3574957113221195, 0.3444187436850153, 0.3499275175905888, 0.34358806390353147, 0.32992874312744874, 0.2917025238352386, 0.29087273425819404, 0.2948123337308147, 0.29330935524699453, 0.3205343390741917, 0.3297009791718911, 0.34536127626672947, 0.36021106573534967, 0.3705364739760168, 0.4052585460381728, 0.41551834197377957, 0.40867630991874904, 0.4145592523359791, 0.4317828145238779, 0.45237774190401436, 0.4892732172904022, 0.4641678290652842, 0.4504868600615872, 0.47814721539578725, 0.45129856991788586, 0.4759130786402466, 0.5083800253944113]",False,0.8000,0.8000,0.5000,0.1000,0.2000,0.0100,2.0000
5,go,Hit,1,0.7000,"[0.0, -0.0032660975162419528, 0.020665485686455015, 0.0362302713435985, 0.05530782765743333, 0.004346417122663093, -0.007025952147897151, 0.007648820470679654, 0.008281763178612653, 0.004192460315189689, 0.04400597735310734, 0.059501417174916915, 0.09619518095930867, 0.11205747833829831, 0.10599243415030939, 0.12853181828983756, 0.1554654328209069, 0.14616784679162503, 0.18191327730155227, 0.2244770432083129, 0.23938971671767528, 0.25937545511749566, 0.2597263035889247, 0.26405595049486813, 0.3003881465105718, 0.30091317770989595, 0.28930681435057354, 0.286236158707037, 0.3109478893147899, 0.29068120263727515, 0.2838141790679628, 0.28329147146918926, 0.296438923661001, 0.28400347160707684, 0.27611651460892217, 0.30205155053852484, 0.3015929282352136, 0.31353531918630134, 0.344506429603313, 0.33418634431026906, 0.33049297128696475, 0.3591075972094261, 0.3833656627968455, 0.41221935561068784, 0.433325474624463, 0.4388380768157746, 0.4310516041146357, 0.43221488038338735, 0.42102699304188035, 0.42459220587065744, 0.43385626787549036, 0.4494057206559602, 0.47014545340338243, 0.48260754646492265, 0.45704553570527495, 0.472742128640195, 0.4833273111331054, 0.4874490017877377, 0.48678408038410736, 0.4720270809443069, 0.5005329120810842]",False,0.8000,0.8000,0.5000,0.1000,0.2000,0.0100,2.0000
6,go,Hit,1,0.7300,"[0.0, 0.005160910941482164, 0.005462318730584094, 0.0215651596195564, 0.02463562224881887, 0.049403954401437127, 0.05918398160824125, 0.048104703885010466, 0.04952610025390295, 0.07248099833147117, 0.08847696731054595, 0.12246544795287982, 0.14103934451359712, 0.18389620487501473, 0.161906056762278, 0.15341406581899175, 0.18670745998945285, 0.21506840750740122, 0.22050908614089124, 0.2583727544546797, 0.2812178188709915, 0.2408626454482948, 0.2282713213159353, 0.2311923129768506, 0.21386123107503674, 0.23328866563249667, 0.216158432012321, 0.2346922409680179, 0.23479317033527475, 0.25598521805451857, 0.25354334200038847, 0.24597065156141687, 0.23906686989824255, 0.2425102456185693, 0.23894961637249906, 0.19837275370838436, 0.21579855787537225, 0.22645325443081754, 0.20394496395683143, 0.20138354250139506, 0.18273279853969046, 0.17815868661201795, 0.21564718348304523, 0.23299347563337316, 0.2368476920615862, 0.2739267035653199, 0.2693001782733439, 0.2848835326952175, 0.27011005525629095, 0.30907941008707834, 0.3116733869472155, 0.3265488649314665, 0.38234160071834744, 0.4158135084973415, 0.4118001269007075, 0.4308781438142726, 0.48461175868494616, 0.48983397069383494, 0.4892086577395954, 0.47598160708295856, 0.4541338157562597, 0.45254759576931153, 0.45726213353621437, 0.503038525680477]",False,0.8000,0.8000,0.5000,0.1000,0.2000,0.0100,2.0000
7,go,Hit,1,0.5200,"[0.0, 0.02415769320617675, 0.031216729563468222, 0.024093169830340152, 0.03504257013868583, 0.0560609608445881, 0.05820210046900012, 0.07395588526722072, 0.10135569503399924, 0.0881315511943337, 0.11364102688346556, 0.14417272740084305, 0.17083930523399113, 0.18316131786339254, 0.16557329232253384, 0.17478815779933327, 0.17223465986289477, 0.14611495655974777, 0.1878623308892493, 0.22010352622257967, 0.24601364574726453, 0.24739920823479658, 0.26416616862861547, 0.27613222190148673, 0.282641693762358, 0.2626246028806172, 0.2648086736766592, 0.26709761646255137, 0.2823332427647334, 0.28440289147148695, 0.28253923508454387, 0.30189278140402565, 0.3179449835073643, 0.3599374860108387, 0.3537933909455533, 0.3489019602366475, 0.34742645234769515, 0.38660362224193745, 0.427295950623922, 0.44948016127614326, 0.44290532968078955, 0.4516008375930758, 0.5084664791394109]",False,0.8000,0.8000,0.5000,0.1000,0.2000,0.0100,2.0000
8,go,Hit,1,0.8300,"[0.0, 0.0077504851968458605, 0.04717112226073723, 0.024663664184786452, 0.034373090293012325, 0.033210423496243244, 0.06775487947322416, 0.07621145132082276, 0.05065362657484641, 0.05151790617456651, 0.08069584514397829, 0.07977213353600306, 0.08221449312475528, 0.08417168486419183, 0.07147463011575436, 0.08185933057194188, 0.10881953058567234, 0.11629737577906588, 0.1589704787315694, 0.17504439025750923, 0.19086351397293963, 0.16008759855647145, 0.18626817929261458, 0.1977158663638651, 0.20925889973500864, 0.21717764362172964, 0.2562218286103155, 0.2680451868286255, 0.26227008965092147, 0.23615918404506364, 0.22435671401268842, 0.2618709814542472, 0.2583125184085559, 0.24529892459494884, 0.20816618407246476, 0.2276872524586317, 0.19015266370833597, 0.1993542315338707, 0.2245935532208295, 0.2246555675409971, 0.2217022711868361, 0.2367040873423991, 0.2137003088621464, 0.22203361134523358, 0.23660380992891633, 0.26539649189651326, 0.27231568707486886, 0.26971549919290727, 0.25277099542945813, 0.25223101320948743, 0.24349924674220508, 0.286128527230668, 0.2624432629541948, 0.29392817399626514, 0.30991369576063665, 0.28224957085741975, 0.2633974037543695, 0.2772125938020725, 0.2868199199483847, 0.2919748018074966, 0.3118524379522627, 0.3736361115299923, 0.3876601739322507, 0.4048296479879134, 0.44267297749824486, 0.4401838122376455, 0.4753251522062715, 0.47690875622236983, 0.4804804671583146, 0.4695469245700453, 0.46376497452997384, 0.47385343590005113, 0.47942638836253604, 0.5149540520475282]",False,0.8000,0.8000,0.5000,0.1000,0.2000,0.0100,2.0000
9,go,Hit,1,0.8200,"[0.0, -0.01519786173705507, -0.02688916982037902, -0.0161838301112079, -0.013388781409681387, -0.055772019272988714, -0.04012406067013914, -0.06095297485689232, -0.07644646026145488, -0.0605716412047986, -0.03696144117368241, -0.015948448944229726, -0.02965876441517863, -0.03931699151324415, -0.0364884042055968, -0.02019993547818181, -0.01734626140617561, 0.0004801310201746102, -0.0003113781024422571, 0.01614605640111904, 0.04090981940310849, 0.03893385333697871, 0.060467662437489744, 0.06466660764255806, 0.05735696455587502, 0.038599833024216476, 0.03522551262344471, 0.03133760320671714, 0.07154838719192527, 0.0630790483578581, 0.08859550680664621, 0.12355499504750132, 0.12148529456400978, 0.11224300252748044, 0.13814765910118793, 0.16098705258968865, 0.16862276309769003, 0.16601371204911156, 0.17821019550798445, 0.1905046913262903, 0.18663819686550318, 0.17265597548075187, 0.172915944321399, 0.1769632129173725, 0.14429950195855373, 0.12495871861343881, 0.10694045501951938, 0.13646206921039292, 0.13867015451908885, 0.17023231316261378, 0.21003404847848112, 0.25418299359433605, 0.27838467419976337, 0.3124116876451415, 0.31100449326564894, 0.3161340416392759, 0.3408285836072154, 0.36242418915280683, 0.37684904405666614, 0.3739074104505443, 0.40390921842824257, 0.42938402973170275, 0.432632664105738, 0.47514348448566635, 0.4619244995003248, 0.46481964432640716, 0.4702052282617063, 0.46203717584288917, 0.48010384862754346, 0.4868932668775243, 0.4865384018308052, 0.48585200421359137, 0.5069590956456069]",False,0.8000,0.8000,0.5000,0.1000,0.2000,0.0100,2.0000
