trial,stimulus,outcome,choice,rt,trace,timeout,w_s,w_n,threshold_a,t,noise_std_dev,dt,max_time
0,go,Hit,1,0.8800,"[0.0, 0.002299905418579144, -0.03489759216756342, -0.04948314149063956, -0.0714602578107422, -0.07304351032789533, -0.0637720528344897, -0.06838101104332041, -0.06596113139307869, -0.11406884518588549, -0.10906916038902552, -0.09665365485278346, -0.12781563284981512, -0.1087869399186325, -0.05319212410561637, -0.06624466621893972, -0.05669878278390937, -0.056704455485846406, -0.06285274936564142, -0.05846890082003361, -0.026413445794657577, 0.0023563035871482924, 0.05095411309912166, 0.026475160772921377, 0.03354706283970263, 0.027508162899971163, 0.05835394607698401, 0.04815006650257826, 0.07175524470541811, 0.09386571994054527, 0.07579831951017729, 0.07509806893060658, 0.08655028577858102, 0.10242132493496107, 0.12819115624388341, 0.17218961012777217, 0.16309983350606505, 0.17050271760035363, 0.16765319180246083, 0.15033250436300116, 0.15756735461856863, 0.1353794855201068, 0.11889884391695923, 0.15391793645556184, 0.14325807056128098, 0.13680649496528507, 0.13843909253596465, 0.15065517419753977, 0.17429603771640206, 0.20059802469624796, 0.20526204385287497, 0.23581939217573283, 0.2242492952214312, 0.23019860475093212, 0.19259710348054795, 0.18771364205104618, 0.16424093226483513, 0.16985376473601993, 0.21890495059354195, 0.22250774978077736, 0.24235922937749937, 0.23727797387446964, 0.2550944783243335, 0.28842509068610134, 0.2886930729368363, 0.272403960739094, 0.2864558924338642, 0.30145069774177147, 0.3279021519476504, 0.3246277962201225, 0.32743457813411353, 0.36353563409063616, 0.3939126865492273, 0.37777739703571117, 0.4069242398206852, 0.4621746425576644, 0.485827759408064, 0.49119031250972284, 0.5151555043755299]",False,0.8000,0.2000,0.5000,0.1000,0.2000,0.0100,2.0000
1,go,Hit,1,0.5200,"[0.0, 0.03375565068628893, 0.06254136276767827, 0.08900200251389469, 0.11872180147005276, 0.12431760413793, 0.14233322313632424, 0.179551612032039, 0.1948405464314329, 0.19450174843134468, 0.1809871691910001, 0.185433383425926, 0.14796652141743127, 0.1449891938964199, 0.14032025401041348, 0.1278230413417329, 0.15086881173646002, 0.16174920179677102, 0.1612944047500284, 0.18492001307163405, 0.19607332429774088, 0.21231519639704716, 0.20737840371732902, 0.20501107122673418, 0.21537425673824656, 0.24585346454513932, 0.2575829155730745, 0.31792024120740375, 0.34697273177498095, 0.3689836683736715, 0.35515068030150765, 0.3650395161931265, 0.380033059574955, 0.40160934631081935, 0.38328817324032416, 0.43643897196890147, 0.45752016005880075, 0.4614973693910585, 0.4907478328031394, 0.48303484832250887, 0.456169506237764, 0.45439860784920805, 0.5051642737145043]",False,0.8000,0.2000,0.5000,0.1000,0.2000,0.0100,2.0000
2,go,Hit,1,0.8100,"[0.0, -0.006426567882041233, -0.010683808400483255, -0.00895088235133703, -0.005325763733868931, -0.001778833422269815, 0.023155825008616883, 0.008212338003243353, 0.028378626896812198, 0.043658116393571554, 0.06689722968346486, 0.08296792676432749, 0.09830716866553933, 0.11465989755725811, 0.12141527913295014, 0.13477343293077482, 0.1714030118868542, 0.17059864331544924, 0.16449367561037123, 0.14936893581884994, 0.14313388818787287, 0.1905597208146535, 0.19494592813208722, 0.1848153299711764, 0.1865708046902175, 0.18386081733393506, 0.21805658853407403, 0.21557455959724744, 0.21865991755196437, 0.23498681198350702, 0.2602308934339498, 0.2833560717164893, 0.2816974601075055, 0.3215899179662936, 0.34307965549457, 0.3341491216119877, 0.31199071361334285, 0.3097219266123081, 0.3114040030875291, 0.28763266640908675, 0.28391775527975976, 0.2881418935490778, 0.26148039832784126, 0.28284278792044304, 0.2856047086460134, 0.29959914055689607, 0.27719871660677875, 0.2997997351448659, 0.28364235331337445, 0.2800180992428768, 0.3038869666990612, 0.3359962193893407, 0.31889499491017537, 0.32351074866238216, 0.31511683223948483, 0.3066726555659859, 0.3137270146425233, 0.34797001841761593, 0.39055516883901437, 0.38833388089148363, 0.4074559292802563, 0.40885743293305843, 0.41688795266471784, 0.4545161085110298, 0.48976996422072583, 0.4486661175282556, 0.43496746972357153, 0.42759087614358193, 0.43792872655491694, 0.4570755603834201, 0.49638117914661156, 0.5245281328844181]",False,0.8000,0.2000,0.5000,0.1000,0.2000,0.0100,2.0000
3,nogo,Correct Rejection,0,2.0000,"[0.0, 0.029415501751489184, 0.00639019574896367, -0.031978304794581774, -0.05130984281101205, -0.0171431199638672, -0.01004751197960552, -0.015445138799662793, -0.02927021276414779, -0.017327042099036107, -0.006955831168613811, -0.0005326580375534015, 0.004162269641206352, 0.018450547425196865, 0.03823374730910099, 0.060403188496869965, 0.08682586964685828, 0.08094552372313212, 0.06192642203968152, 0.052536808212059846, 0.04520463762738931, 0.030939305298728122, 0.06347926758815141, 0.06089338941146307, 0.09517103921508474, 0.09450547164075519, 0.06820509368707828, 0.04773070621545457, 0.03799024132178077, 0.0417321675861927, 0.02983556918601521, 0.03331968904213142, 0.03780583174242377, 0.07603358818701149, 0.08029351249765442, 0.0793290002222222, 0.06370725322111626, 0.05580909074070148, 0.04334122089592854, 0.05759445504551169, 0.06041529514308021, 0.05492642051151398, 0.05262343231393084, 0.07533351538708483, 0.12554617151529696, 0.13334090799488424, 0.13762344983000704, 0.1282723784309357, 0.10720143956780508, 0.08680508673519395, 0.09203451811723273, 0.08532307323172611, 0.058156845899985515, 0.06152889725689878, 0.043988050480726244, 0.055841591840190934, 0.007331798506513908, 0.014726824298117629, -0.012601524366321318, -0.02998766738737775, -0.07664734333022882, -0.06558658896609171, -0.02588427596221679, -0.026103573057810293, -0.0396915775742574, -0.049166721740963495, -0.05115163283544522, -0.04663388553195529, -0.035448704806634576, -0.03375561552287498, -0.032865653888616286, -0.07055841899410989, -0.07406512035134297, -0.07265926242734916, -0.08523845379588534, -0.07693484774288005, -0.10362151008134378, -0.13090596658264686, -0.20860043407864054, -0.2019642663779794, -0.22087596634870518, -0.259430373067058, -0.24119188763748864, -0.2424636808535906, -0.22224064066790852, -0.2297210484309798, -0.19832504626433162, -0.17563010258661538, -0.17330829341666912, -0.18476060977659547, -0.19581877651361282, -0.18597872102864293, -0.1927503798457947, -0.19257558484448936, -0.20233724531632336, -0.23294729177071227, -0.19891862972258798, -0.20062382082939406, -0.21760701522092324, -0.18437140270952165, -0.1680184915631672, -0.18128472919030983, -0.18098999446947844, -0.17458870779816368, -0.18592584336796628, -0.19804487456478825, -0.16152070333450555, -0.18407591132667894, -0.20070181554463412, -0.20216458853629116, -0.17362598914896898, -0.1847605870377648, -0.21036365468504623, -0.1994904728227635, -0.19868309513747012, -0.18489460023177506, -0.19809222121294018, -0.20059550908933296, -0.18958279145267481, -0.20192373519436688, -0.23176489752442717, -0.22900639790828958, -0.2497120411399485, -0.2571513355625882, -0.2616264889841903, -0.27145819483996453, -0.26894279482503053, -0.27202079612027735, -0.22303067536606713, -0.21271257109199967, -0.2421641184939626, -0.22864100604172444, -0.2368419344063957, -0.2500665579679579, -0.24822621301247416, -0.24906354463250488, -0.23138348310374754, -0.2510786160529181, -0.23574421786706248, -0.22443358048582704, -0.2007952355180004, -0.18971141590833962, -0.20935832106340016, -0.18789426613450988, -0.18984928492488146, -0.17227381190212115, -0.17208663171325778, -0.1517789835347223, -0.13083005718224583, -0.13284154416696012, -0.15572129809681168, -0.18446474919705438, -0.18833483088684555, -0.21067213789949063, -0.2342410865892788, -0.2209517842209473, -0.20270152800391267, -0.17755021527629666, -0.1944293533733338, -0.1959057284799493, -0.18415822370085283, -0.18149088050143197, -0.19040457428847382, -0.184984852538618, -0.13247565481506385, -0.12017712933907136, -0.14417305571057024, -0.11267401195626559, -0.14316667947224215, -0.16579969653131302, -0.2054622154575525, -0.21605187012535004, -0.20004887821990894, -0.17865961408661163, -0.18740445503389383, -0.16252197502471458, -0.16633878263047108, -0.16258240086036654, -0.17690121809343146, -0.1869850134072137, -0.154982822260911, -0.14644662225251537, -0.13518770857888035, -0.15178652934276946, -0.1358435222065094, -0.1592659823526682, -0.16969209443574185, -0.12766382013280905, -0.13770545217431843, -0.1450917608794281, -0.13814841358136]",True,0.8000,0.2000,0.5000,0.1000,0.2000,0.0100,2.0000
4,go,Hit,1,0.4400,"[0.0, 0.007173017524141056, 0.033629051156342585, 0.04297962827423646, 0.06977532985956202, 0.05648471309083017, 0.02894252722022842, 0.04098377132781007, 0.021370744192753064, 0.013799559689457255, 0.06731417422698091, 0.0415111894318382, 0.09721822288810364, 0.13305645737625116, 0.13839565348153976, 0.15537838684474153, 0.14381247064821973, 0.19870971017570077, 0.18659657726369985, 0.20187948324963811, 0.1886194019143807, 0.19957304908967466, 0.20930256747714515, 0.2301422028488253, 0.21617469015573967, 0.2291669612904806, 0.23955434467206504, 0.2611122230184299, 0.3106249584084047, 0.3358145478559433, 0.36244027965498704, 0.39798120050743147, 0.4308267416893562, 0.4637843053165253, 0.5071919763430834]",False,0.8000,0.2000,0.5000,0.1000,0.2000,0.0100,2.0000
5,go,Hit,1,0.6000,"[0.0, 0.025871527757505453, 0.030195637442771126, 0.05218806496479585, 0.03865527732999625, 0.019618920301411383, 0.045525703984209076, 0.07524712506074341, 0.10164113186108599, 0.10444887204842127, 0.1316035984097534, 0.1281689959432761, 0.134085926325613, 0.1840721850664448, 0.19505401098063496, 0.20524126392798753, 0.24421086935095193, 0.24252557569268585, 0.2502399948497751, 0.24708301260267315, 0.28235624525295, 0.2549638273047265, 0.2693611491733028, 0.2990916343547979, 0.2878438840686383, 0.3175664101584265, 0.2946911602538917, 0.3570340697399813, 0.3938552328387813, 0.4171654982959297, 0.4254371998009735, 0.43652028576662466, 0.4610401894692694, 0.47675192464466376, 0.4760421447298456, 0.4671249841450953, 0.45597040340956957, 0.4483431559904213, 0.4671789388162971, 0.44738136918884647, 0.4458109547866539, 0.46975218749326253, 0.48945442528512795, 0.4865970197179078, 0.48488357809824534, 0.47309673122698986, 0.4663775704362078, 0.45982399499593046, 0.47790294818734885, 0.482365399620404, 0.5079147007575271]",False,0.8000,0.2000,0.5000,0.1000,0.2000,0.0100,2.0000
6,nogo,Correct Rejection,0,2.0000,"[0.0, -0.0023705629089472834, 0.02689945219274876, -0.002032505775313196, -0.04999450678099336, -0.07852291388883234, -0.06432887233652579, -0.047909750256610054, -0.06555347153124308, -0.08775990110747912, -0.10875416675308558, -0.1447044778965453, -0.1227029095752912, -0.12078257914549999, -0.09784343062345582, -0.10163960941633096, -0.10589146530212934, -0.09261208440117917, -0.0803055189778973, -0.06113189797469376, -0.07143919449568667, -0.08919171746505081, -0.08325166998483127, -0.06744204815173349, -0.057060605978601686, -0.05279760431474062, -0.06716499600469444, -0.07305379501462653, -0.09124698549601214, -0.09045675341802878, -0.1236217504594863, -0.08769461093082902, -0.09413325238594217, -0.05899447516138321, -0.047788536198774934, -0.05882917030795122, -0.06319378617942616, -0.05796321798300254, -0.04085352335749162, -0.04393411706840517, -0.08096394596843026, -0.06569594511328039, -0.04686216041552592, -0.07769321001028434, -0.032127368120804516, -0.06624025439259734, -0.03001878743160466, -0.017821318193267467, 0.006187167692819098, -0.03910481432182007, -0.05892715245908557, -0.042199616717502136, -0.06417662547852968, -0.04674278581684238, -0.04537275557266156, -0.04903432948802757, -0.07530297867857935, -0.06785115602274897, -0.0725536871401468, -0.03416341268058287, -0.03349504594921963, -0.026382788783670893, -0.038894413392389304, -0.05780421370320954, -0.061136937795090704, -0.06420986819459401, -0.04574629232312563, -0.0296551794389783, -0.019968352677981797, -0.014021229051313894, -0.017513258022067525, -0.03719489776109418, -0.03996515409077467, -0.06394432221421266, -0.04694553187263015, -0.03905077524807025, -0.028200160966339618, -0.006300842149696086, -0.021816008771943448, -0.011445475577494518, -0.010418778189674042, -0.035019650248943594, -0.02920425230316425, -0.014019608370408377, 0.005476296539507285, 0.017137048593007596, 0.023642548918928745, 0.06226316522247903, 0.03667536834565043, 0.037248533144060805, 0.056458822850975254, 0.04927997426416435, 0.059770780884673566, 0.06902316180927014, 0.0778227114354698, 0.08643169828125939, 0.08413050191456081, 0.07562835349498408, 0.0888767235472548, 0.08278107009013402, 0.08509630579036893, 0.08100045415913523, 0.0828065035044732, 0.0561135601912104, 0.0667657887873587, 0.04285753709953133, 0.039911980163451245, 0.03532097765612519, -0.006331771018222139, -0.001244148538745632, -0.011201897635941137, -0.015141512695810957, 0.013704216940684345, -0.0008143781005867066, 0.011473424802686144, -0.0012311876109281725, -0.010099871880114873, -0.01845465754586502, -0.015286420866473197, -0.007391354693966703, -0.023742989784727633, -0.06972460520051776, -0.09210168497986908, -0.06735541772395354, -0.06634287507466359, -0.06405578846274672, -0.04434445462745777, -0.05757738642070982, -0.07280673208479878, -0.07677316116317716, -0.060940345749671436, -0.07352376502522953, -0.09206114840600275, -0.09393043213537985, -0.052801795041464566, -0.06796418269029447, -0.07643285983746141, -0.06087856764396571, -0.07432960253907961, -0.08970894110666465, -0.14695021416385384, -0.1529358488746746, -0.12520008643921757, -0.13759553621191004, -0.1329091249232435, -0.13671032901307226, -0.11900431682032814, -0.16147736050521794, -0.14357210040759033, -0.1176412988997057, -0.10395029737374478, -0.0822798613931604, -0.08171804943231507, -0.10343042682302017, -0.06989679379111785, -0.041071183111109036, -0.054398846421531824, -0.0505426903274315, -0.028077561785856655, -0.03217333233211243, 0.005452128916832895, 0.010809845817928111, 0.03025304516772201, 0.01229960564895384, -0.0125699806934674, -0.013749629446736494, -0.02052319701207865, -0.028167246090619658, -0.054859055380882316, -0.09488710219919796, -0.041642738066746406, -0.031151496320037927, -0.07563993711974401, -0.10924717808725677, -0.11396070298134629, -0.10090061343254794, -0.10697304983114428, -0.11592818400711487, -0.1316378455179052, -0.10900479767084487, -0.11264141762260851, -0.11502247544026213, -0.10891782020678736, -0.09454743680853891, -0.07584917211249334, -0.07955335022961968, -0.030693671176281828, -0.015882259185656184, -0.008524603176196487, 0.011173641698085074, -0.005326480290446169]",True,0.8000,0.2000,0.5000,0.1000,0.2000,0.0100,2.0000
7,go,Hit,1,0.4500,"[0.0, 0.06191027152957403, 0.07978779526145846, 0.06459565565657835, 0.08198651288329752, 0.10444468289366135, 0.1332755876821392, 0.09389291045297542, 0.0927683316883113, 0.10141397210246568, 0.13655894937315113, 0.1349361105999608, 0.11749811599809158, 0.16448964973181607, 0.1885260151140753, 0.18793811437942787, 0.15339410388649188, 0.17633500000246746, 0.21080955279723573, 0.2877882824006782, 0.3017986312253772, 0.3245964043361386, 0.31849721973669765, 0.35839706740417604, 0.35224050785901484, 0.35492044734384814, 0.3662330060260666, 0.3523588887132505, 0.36638525701763064, 0.3882280035732877, 0.40715180936856993, 0.43597444065994123, 0.4405428289779418, 0.47383814164964483, 0.4626523158188849, 0.5008284576702015]",False,0.8000,0.2000,0.5000,0.1000,0.2000,0.0100,2.0000
8,go,Hit,1,0.6800,"[0.0, 0.009359490160352877, 0.01656262171429879, 0.030106523481390677, 0.04592464065448454, 0.06885530497337385, 0.14042856670661086, 0.1533972562289057, 0.167538675376402, 0.2015511686387671, 0.22641145835200477, 0.20130944213028873, 0.230177234139788, 0.2331529443205767, 0.2450900492135015, 0.2271019648807303, 0.2593058625380771, 0.24976208299776054, 0.26632803816661416, 0.26853914947047536, 0.2892977186619947, 0.3021666752669718, 0.29760842831730216, 0.253502921330019, 0.23242737525858645, 0.21852741448652735, 0.2324331972739608, 0.2188674400214304, 0.26695423671907015, 0.26403946051143995, 0.3072255520220274, 0.31758416779831855, 0.31950292564903854, 0.3441705222667433, 0.3544609992791175, 0.34480832420186613, 0.3771255962291573, 0.3821889338407962, 0.3777996984578454, 0.3884249662667867, 0.4008671967564364, 0.4276923449200517, 0.4283041170178397, 0.42342943345759754, 0.4334041867767294, 0.4332287171583957, 0.4202254034436601, 0.45226913497426335, 0.4383455717692202, 0.4337535625743548, 0.492618355172953, 0.4847537905931112, 0.49083546742056694, 0.47804613358672776, 0.46563090149010605, 0.4636512011603677, 0.493860839778228, 0.49816232147990536, 0.5227574565248052]",False,0.8000,0.2000,0.5000,0.1000,0.2000,0.0100,2.0000
9,go,Hit,1,0.5500,"[0.0, -0.004992097055796264, 0.009343045772757219, 0.016265898504633343, 0.010436315326907768, 0.05768826766315628, 0.03973487630677558, 0.06097065684691995, 0.11042547743139788, 0.09835799077095227, 0.1181163838642554, 0.13064113334675054, 0.14906073095947797, 0.17329739012426926, 0.18048837102801246, 0.1600036215851281, 0.17485281920065948, 0.19453146627044107, 0.2536511757537713, 0.26408225106022803, 0.2827719662649121, 0.3140661895872531, 0.31741475607705144, 0.3060910074359875, 0.2950343917881805, 0.3041730389365011, 0.3059693268116582, 0.3197585202906814, 0.3272579651722023, 0.3350959330374879, 0.34167188902401585, 0.33032194804834625, 0.3383198548423681, 0.36324909212051276, 0.3806162538275888, 0.3999071233318544, 0.4492655486918779, 0.44056578782274125, 0.4557499935235151, 0.46945353757339214, 0.470649664358786, 0.48442924886425714, 0.49819008339941895, 0.49574949095302645, 0.4905762605045495, 0.5118533288179431]",False,0.8000,0.2000,0.5000,0.1000,0.2000,0.0100,2.0000
