trial,stimulus,outcome,choice,rt,trace,timeout,w_s,w_n,threshold_a,t,noise_std_dev,dt,max_time,affect_stress
0,go,Hit,1,0.2200,"[0.0, 0.03294355048655992, 0.0419739722482566, 0.062254320392102186, 0.07859703685425086, 0.07140027906921234, 0.043444890695704515, 0.04778705025991179, 0.04885433365775779, 0.058480147798220965, 0.07798985205656096, 0.07453313310893454, 0.1260597033563862]",False,0.8000,0.6000,0.4000,0.1000,0.2000,0.0100,2.0000,True
1,go,Hit,1,0.1800,"[0.0, -0.04181224887287129, -0.031188113425237092, -0.011502617776689317, 0.03646658896204887, 0.06804711645145342, 0.05966244346951736, 0.08028034868502297, 0.10159232083558697]",False,0.8000,0.6000,0.4000,0.1000,0.2000,0.0100,2.0000,True
2,nogo,Correct Rejection,0,2.0000,"[0.0, -0.05403150713435773, -0.05663214936015516, -0.08148214052071817, -0.06309660187216497, -0.029534187188233356, -0.02292085435228926, -0.0065175477283787, -0.018600772064147487, -0.0315803593653492, -0.043120677487353085, -0.05892497529733866, -0.052423907148316136, -0.05675910848370815, -0.0740808042556572, -0.07951171689424778, -0.09019981053495901, -0.10525444191360316, -0.10967009561048449, -0.15320666729825702, -0.15347826682763777, -0.14428326593017876, -0.14630445529615585, -0.1665921126046879, -0.18897363890874638, -0.19982786134818992, -0.21470652585244737, -0.21744427542943506, -0.24039725841367238, -0.23610461119851447, -0.24370272162583115, -0.2578494674983574, -0.23527173134588317, -0.23263423579409637, -0.26938957792224805, -0.2992507564928693, -0.31107491222281, -0.3417693263684294, -0.3564835026178175, -0.3683479376308603, -0.41720500517302156, -0.4277273924732092, -0.4615304481408914, -0.48621849349275226, -0.5065553000822135, -0.5058110929607953, -0.5443718000365594, -0.5351746943411194, -0.5397710924010674, -0.514033703603197, -0.5021972741751832, -0.4888480714162663, -0.4741105154063732, -0.49266964771152794, -0.5011626207230915, -0.4958930603635125, -0.5227692732990196, -0.521496929158478, -0.4968824989414034, -0.5027250745695351, -0.542323673800948, -0.5462165872296226, -0.5688688646517477, -0.6042979510599727, -0.5716456597378431, -0.561827343340596, -0.5729458057259984, -0.5487265987673444, -0.5776978592651607, -0.5907597097144619, -0.5955944377666564, -0.6169578001578215, -0.6094092774808686, -0.6013224132004674, -0.5899961842291427, -0.6305454319490316, -0.6332559796468517, -0.6378210247633953, -0.6108812051053846, -0.6277784902216018, -0.6708242991184877, -0.6475477092714528, -0.6572168713079086, -0.6591074245054408, -0.6590020742572467, -0.6815435655083032, -0.7002237335771283, -0.7132203444111712, -0.7518750786262456, -0.762331256346318, -0.7595297342625179, -0.7657193971616744, -0.7585037784130464, -0.8004111489412725, -0.7857947981787344, -0.7833540968917668, -0.7824403273317136, -0.8044393897506222, -0.8056912472086637, -0.8066546895956618, -0.8262577308392901, -0.8670130744013829, -0.8936104324045815, -0.8994393418038044, -0.9036148170468239, -0.8844244232711677, -0.8806344854556907, -0.8587669198362509, -0.9106532256240848, -0.9197159402596908, -0.9133248747771371, -0.9193359321092145, -0.9492889552953121, -0.9429586758434868, -0.922510810843463, -0.9620191609088934, -0.9663951782973742, -0.9617861810609706, -1.0030829591398664, -1.0184701703805135, -1.0257195180587197, -1.0306887246730132, -1.0109118469233875, -1.078077215058415, -1.066808402586188, -1.0503095447078294, -1.0804992932267548, -1.0713877151123616, -1.0812192067470934, -1.0563213964509175, -1.0847758239770697, -1.0892509693462127, -1.112802723614273, -1.1085392315784972, -1.11213803594877, -1.1179708421388213, -1.1178352523302093, -1.1535977833326583, -1.154061008292451, -1.1429022263289694, -1.14890532428165, -1.1504606622865818, -1.1619356640529046, -1.1772880542471995, -1.1820447002745296, -1.1873054817057267, -1.1849882156038127, -1.1937252649577161, -1.1906193664680076, -1.2277612458024754, -1.2261887483408869, -1.2498394278374945, -1.244413271162821, -1.2349243506216099, -1.2588396460044515, -1.254336659312945, -1.2503171841322238, -1.2549390857204064, -1.278656463121001, -1.2744548594450482, -1.2654923662967077, -1.28274431395965, -1.277973109176996, -1.2809124396244942, -1.2926035616189757, -1.2809124241227199, -1.273492717064531, -1.268925252585956, -1.3041076726801553, -1.308218151451433, -1.3284698699972308, -1.30480708886155, -1.2980692714965294, -1.304921653392122, -1.3195118444303622, -1.3007627046179773, -1.3004885366252985, -1.3205998831634103, -1.2895127247262461, -1.3115817393110194, -1.297223355089441, -1.2833143340159783, -1.295180093965522, -1.3287570641796953, -1.3400203359100267, -1.3389148516250682, -1.3454486583319851, -1.3521708854290517, -1.3346713866691093, -1.343441044616602, -1.322830372828166]",True,0.8000,0.6000,0.4000,0.1000,0.2000,0.0100,2.0000,True
3,go,Hit,1,0.1600,"[0.0, 0.02087351412921031, 0.030221210203564455, 0.06082501665227179, 0.046088712650039276, 0.06629412894042125, 0.11203646624039656]",False,0.8000,0.6000,0.4000,0.1000,0.2000,0.0100,2.0000,True
4,go,Hit,1,0.4400,"[0.0, 0.04023322949971805, 0.05613824580747494, 0.06692952575900557, 0.04267682760723163, 0.04543723492890217, 0.01792852955684643, -0.001254014063134988, 0.014349284264942821, 0.02015914869825293, 0.02450011550316905, -0.01339460585351996, -0.017652971886627872, -0.0335329037518453, -0.02068649607296303, -0.006561459435221906, -0.009202779688639943, -0.01852350057536932, -0.029586669377637587, -0.029336312903009476, -0.031377007608845396, -0.03201032179422999, -0.003121141087299009, 0.05534991639072622, 0.0653510039062336, 0.05703099478607808, 0.05725828408940778, 0.07113359204747044, 0.041256670718457504, 0.029489676522298457, 0.018629767037453233, 0.06724969206797607, 0.07398892551759119, 0.08963090025367097, 0.1435723892581905]",False,0.8000,0.6000,0.4000,0.1000,0.2000,0.0100,2.0000,True
5,nogo,Correct Rejection,0,2.0000,"[0.0, 0.007860378260901572, 0.03678779186966566, 0.02098594381895683, 0.024910592946940254, -0.004205484677178097, 0.0016707242825440395, 0.04434664732902912, 0.044507672774455026, 0.0067403097704852935, 0.009864345235627178, 0.012557000036755674, 0.009200085245019418, 0.014251435750855919, 0.0012754711612214913, 0.018737688879958365, 0.006679731146204841, 0.022058789999438985, 0.03301336615984933, 0.03288414569030333, 0.016619235296456026, -0.0034611902550388714, -0.046019090494252166, -0.044468166246782216, -0.03498279589789792, -0.03310421457302999, -0.0292069422166373, -0.04548982428996827, -0.04466609108875222, -0.0585064876420144, -0.04441885986926057, -0.04995844540065512, -0.04427697511413034, -0.04910637702808169, -0.06757029575379012, -0.027222208461667424, -0.029369423932744814, -0.046900365579567393, -0.05906142486378972, -0.04277036244737698, -0.08187837778707358, -0.08408374046748035, -0.10449281500066276, -0.11100825426846314, -0.08757772232056707, -0.060662328060380424, -0.10697633048940723, -0.09384942824781478, -0.1417611508918849, -0.16022077558434528, -0.16198020435279678, -0.18316582940116627, -0.1941869354137742, -0.21683263782404916, -0.21745031435532822, -0.21780285153139964, -0.22612868401710345, -0.2636556583883111, -0.28619271417670733, -0.2791891613828545, -0.29441953404129256, -0.31289361595662574, -0.28964312517221535, -0.33430214902313793, -0.3317887621582298, -0.3569636019307454, -0.34202015079515824, -0.35402750600126365, -0.3621622961323864, -0.34257615768312266, -0.3144382228571458, -0.3386203311489794, -0.33705816242176373, -0.3095258556706018, -0.3107061159039795, -0.30449920348133885, -0.30316636121716906, -0.29329612872139454, -0.25331944660134015, -0.27460217511428414, -0.25327343571979366, -0.2744042714781121, -0.25449157512689735, -0.28707056418873755, -0.3235712813226003, -0.3585113268844172, -0.3596337431863534, -0.36542602495581356, -0.40091367290101004, -0.39131143044627226, -0.3755465625801583, -0.3719326774264336, -0.38132875899574187, -0.4060337131617001, -0.4233745993882602, -0.4264725060959318, -0.4390061200080079, -0.43253566825578954, -0.4380046369405583, -0.4707011540279937, -0.5182198744598678, -0.5197823522467409, -0.5328261862980356, -0.574372508167027, -0.621471742060344, -0.6508778716576893, -0.669092112886082, -0.6724685430599207, -0.6985909121340684, -0.7000700786260179, -0.7214003245137713, -0.7076037681912981, -0.711978204836088, -0.7277017055033822, -0.731886688351703, -0.7165218666445893, -0.7299461121469163, -0.733461965398271, -0.7366053064328814, -0.7137845952947609, -0.6925377499174173, -0.6840785939094909, -0.6669311060393283, -0.6916393711898186, -0.6828478449265195, -0.6786152252575782, -0.650750729571696, -0.646997028704495, -0.6560769302200357, -0.6727243216550041, -0.6946654342113835, -0.6887619521862832, -0.6908304512218462, -0.7213235906409055, -0.7190709814672851, -0.7295983030262454, -0.7601163746608198, -0.7629186063114715, -0.7757752136228447, -0.784322394950635, -0.7891494811090449, -0.8195834855539365, -0.8089435918097414, -0.8247264557104701, -0.8133507461691939, -0.833310905278718, -0.8656925064346417, -0.8806890178469378, -0.8893019617300201, -0.8576522637797986, -0.8884728483166432, -0.8609059134298376, -0.8358642878995401, -0.8505217257815645, -0.8700215366083311, -0.9308692033324725, -0.9290202832197952, -0.9049080973076187, -0.9154524580391029, -0.8814232323187656, -0.8851950263906323, -0.9139175691888145, -0.9112929468959357, -0.9382058349108082, -0.9591360288394697, -0.9749071060945892, -0.9925395219621677, -1.0202824707299873, -1.0198314518200378, -1.0296142810913533, -1.0040034396096498, -1.0143586705725463, -0.9840257516952836, -0.9931200455387934, -0.9923917905398837, -0.97351534069599, -1.007062661300988, -1.0149455323862777, -1.0279793750480877, -1.0319391797178576, -1.0783045905749227, -1.099381735099148, -1.0748306648360029, -1.123144109256994, -1.149311717451968, -1.1573081111086625, -1.18979980136772, -1.2045565007541725, -1.13541928725776, -1.1491462510596078, -1.1456197915011221]",True,0.8000,0.6000,0.4000,0.1000,0.2000,0.0100,2.0000,True
6,go,Hit,1,0.2200,"[0.0, 0.018338907644298016, 0.012402192408568505, 0.002633616148617686, 0.009806210430539813, 0.009415052701484539, 0.03845605628005858, 0.043538527565624485, 0.07402231713156901, 0.09108363374743922, 0.08780723611876276, 0.08153095375294003, 0.11134198921270433]",False,0.8000,0.6000,0.4000,0.1000,0.2000,0.0100,2.0000,True
7,go,Hit,1,0.1600,"[0.0, 0.03049335489744136, 0.027702476433395143, 0.03949011920676762, 0.052140083528648046, 0.07334913245884644, 0.10653178378872927]",False,0.8000,0.6000,0.4000,0.1000,0.2000,0.0100,2.0000,True
8,go,Hit,1,0.3500,"[0.0, -0.006461334041788997, 0.044989395332001726, 0.04121898877023875, 0.02907572846152196, 0.00519122265490813, -0.010240741276117914, 0.0075665100550290874, 0.0098499794140895, 0.03196227605345517, 0.04180193919416343, 0.05867807727604725, 0.06342914064401178, 0.04392783028349747, 0.056386391482178624, 0.0677982667538398, 0.03276541052004779, 0.008829428811315182, 0.040316188653365156, 0.025853186929494065, 0.022021824603565505, 0.03437966475075153, 0.045124773802329286, 0.08135232811370618, 0.09777947541138529, 0.10764657022608853]",False,0.8000,0.6000,0.4000,0.1000,0.2000,0.0100,2.0000,True
9,go,Hit,1,0.2900,"[0.0, 0.00023707593236739835, -0.010575816703343763, 0.0015183331142018426, 0.0044139483401107234, 0.013854883669819235, 0.008908858145330233, 0.030848098876373905, 0.020073953258043262, 0.050046034729153116, 0.057014536742315026, 0.03523832917225808, 0.01918299756959974, 0.021217001939446572, 0.010650320746726168, 0.03200116830801335, 0.0697257630429398, 0.07750518576397676, 0.09067573082337557, 0.1120510566899394]",False,0.8000,0.6000,0.4000,0.1000,0.2000,0.0100,2.0000,True
